期間,合計_原始值,合計_年增率(%),貼現_原始值,貼現_年增率(%),進口押匯_原始值,進口押匯_年增率(%),短期放款與透支-計_原始值,短期放款與透支-計_年增率(%),短期放款與透支-無擔保_原始值,短期放款與透支-無擔保_年增率(%),短期放款與透支-擔保_原始值,短期放款與透支-擔保_年增率(%),中長期放款-計_原始值,中長期放款-計_年增率(%),中長期放款-無擔保_原始值,中長期放款-無擔保_年增率(%),中長期放款-擔保_原始值,中長期放款-擔保_年增率(%)
2001M05,"12,985,720",1.66,504,-53.20,"2,592",-5.44,"3,881,673",-10.01,"2,152,682",-6.15,"1,728,991",-14.39,"9,100,951",7.62,"3,034,916",19.49,"6,066,035",2.52
2001M06,"13,078,217",1.39,506,-45.77,"2,385",26.59,"3,937,335",-10.15,"2,189,642",-6.37,"1,747,693",-14.48,"9,137,991",7.33,"3,061,597",19.32,"6,076,394",2.16
2001M07,"13,032,408",0.66,510,-52.73,"2,435",15.68,"3,906,473",-10.86,"2,216,123",-7.10,"1,690,350",-15.36,"9,122,990",6.56,"3,094,147",20.05,"6,028,843",0.75
2001M08,"12,858,742",-0.28,959,-7.79,"1,958",-4.77,"3,810,626",-11.89,"2,164,816",-7.90,"1,645,810",-16.65,"9,045,199",5.58,"3,039,732",17.51,"6,005,467",0.42
2001M09,"12,941,194",-0.11,764,-18.11,769,-66.94,"3,823,768",-11.93,"2,198,979",-7.51,"1,624,789",-17.29,"9,115,893",5.87,"3,069,553",18.05,"6,046,340",0.60
2001M10,"12,843,074",-1.68,766,-15.73,749,-71.14,"3,799,749",-12.36,"2,214,074",-7.07,"1,585,675",-18.81,"9,041,810",3.65,"3,040,259",13.32,"6,001,551",-0.65
2001M11,"12,789,108",-2.34,772,-13.84,"1,100",-48.19,"3,778,544",-11.39,"2,218,636",-5.20,"1,559,908",-18.91,"9,008,692",2.04,"3,049,261",10.13,"5,959,431",-1.66
2001M12,"13,094,597",-1.51,871,13.41,503,-82.31,"3,951,227",-6.54,"2,343,057",1.92,"1,608,170",-16.63,"9,141,996",0.86,"3,132,580",7.18,"6,009,416",-2.15
2002M01,"13,007,393",-1.65,871,37.60,603,-78.76,"3,845,835",-6.56,"2,344,633",2.99,"1,501,202",-18.38,"9,160,084",0.58,"3,222,015",7.79,"5,938,069",-2.94
2002M02,"12,919,598",-1.64,818,--,783,-75.71,"3,806,916",-5.89,"2,335,159",4.26,"1,471,757",-18.48,"9,111,081",0.27,"3,215,725",7.44,"5,895,356",-3.25
2002M03,"12,802,650",-2.58,816,31.83,614,-72.42,"3,705,790",-8.05,"2,259,141",1.29,"1,446,649",-19.62,"9,095,430",-0.14,"3,223,001",7.05,"5,872,429",-3.69
2002M04,"12,807,741",-1.79,"1,120",104.75,999,-60.07,"3,713,422",-5.96,"2,303,521",5.22,"1,409,901",-19.87,"9,092,200",0.02,"3,230,115",7.51,"5,862,085",-3.67
2002M05,"12,734,970",-1.93,999,98.21,657,-74.65,"3,700,170",-4.68,"2,303,624",7.01,"1,396,546",-19.23,"9,033,144",-0.75,"3,183,491",4.90,"5,849,653",-3.57
2002M06,"12,762,660",-2.41,"1,996",294.47,"1,105",-53.67,"3,676,441",-6.63,"2,273,766",3.84,"1,402,675",-19.74,"9,083,118",-0.60,"3,218,678",5.13,"5,864,440",-3.49
2002M07,"12,675,978",-2.73,"2,300",350.98,782,-67.89,"3,645,513",-6.68,"2,290,998",3.38,"1,354,515",-19.87,"9,027,383",-1.05,"3,192,038",3.16,"5,835,345",-3.21
2002M08,"12,702,760",-1.21,"2,398",150.05,823,-57.97,"3,692,028",-3.11,"2,365,094",9.25,"1,326,934",-19.38,"9,007,511",-0.42,"3,177,605",4.54,"5,829,906",-2.92
2002M09,"12,739,383",-1.56,"2,249",194.37,"1,037",34.85,"3,692,258",-3.44,"2,378,146",8.15,"1,314,112",-19.12,"9,043,839",-0.79,"3,208,872",4.54,"5,834,967",-3.50
2002M10,"12,656,153",-1.46,"1,727",125.46,861,14.95,"3,658,642",-3.71,"2,366,521",6.89,"1,292,121",-18.51,"8,994,923",-0.52,"3,154,370",3.75,"5,840,553",-2.68
2002M11,"12,666,824",-0.96,"1,634",111.66,785,-28.64,"3,644,824",-3.54,"2,353,427",6.08,"1,291,397",-17.21,"9,019,581",0.12,"3,164,133",3.77,"5,855,448",-1.74
2002M12,"12,872,922",-1.69,"1,209",38.81,825,64.02,"3,732,280",-5.54,"2,370,296",1.16,"1,361,984",-15.31,"9,138,608",-0.04,"3,203,373",2.26,"5,935,235",-1.23
2003M01,"12,847,078",-1.23,"1,190",36.62,615,1.99,"3,691,300",-4.02,"2,443,454",4.21,"1,247,846",-16.88,"9,153,973",-0.07,"3,236,438",0.45,"5,917,535",-0.35
2003M02,"12,810,141",-0.85,"1,397",70.78,870,11.11,"3,674,881",-3.47,"2,449,049",4.88,"1,225,832",-16.71,"9,132,993",0.24,"3,240,835",0.78,"5,892,158",-0.05
2003M03,"12,747,154",-0.43,"1,371",68.01,681,10.91,"3,666,582",-1.06,"2,449,276",8.42,"1,217,306",-15.85,"9,078,520",-0.19,"3,204,780",-0.57,"5,873,740",0.02
2003M04,"12,800,232",-0.06,"1,302",16.25,603,-39.64,"3,724,504",0.30,"2,521,065",9.44,"1,203,439",-14.64,"9,073,823",-0.20,"3,211,424",-0.58,"5,862,399",0.01
2003M05,"12,811,317",0.60,"1,284",28.53,747,13.70,"3,756,374",1.52,"2,570,024",11.56,"1,186,350",-15.05,"9,052,912",0.22,"3,180,374",-0.10,"5,872,538",0.39
2003M06,"13,018,637",2.01,"1,321",-33.82,"1,435",29.86,"3,869,514",5.25,"2,628,614",15.61,"1,240,900",-11.53,"9,146,367",0.70,"3,230,876",0.38,"5,915,491",0.87
2003M07,"12,956,446",2.21,"1,134",-50.70,646,-17.39,"3,826,400",4.96,"2,615,141",14.15,"1,211,259",-10.58,"9,128,266",1.12,"3,197,522",0.17,"5,930,744",1.63
2003M08,"12,977,910",2.17,"1,041",-56.59,641,-22.11,"3,845,723",4.16,"2,640,702",11.65,"1,205,021",-9.19,"9,130,505",1.37,"3,172,164",-0.17,"5,958,341",2.20
2003M09,"13,086,452",2.72,929,-58.69,719,-30.67,"3,900,707",5.65,"2,715,324",14.18,"1,185,383",-9.80,"9,184,097",1.55,"3,178,701",-0.94,"6,005,396",2.92
2003M10,"13,055,303",3.15,874,-49.39,735,-14.63,"3,868,640",5.74,"2,717,078",14.81,"1,151,562",-10.88,"9,185,054",2.11,"3,162,341",0.25,"6,022,713",3.12
2003M11,"13,202,942",4.23,"1,010",-38.19,941,19.87,"3,913,843",7.38,"2,753,051",16.98,"1,160,792",-10.11,"9,287,148",2.97,"3,238,898",2.36,"6,048,250",3.29
2003M12,"13,504,740",4.91,"1,060",-12.32,877,6.30,"4,031,170",8.01,"2,772,802",16.98,"1,258,368",-7.61,"9,471,633",3.64,"3,349,037",4.55,"6,122,596",3.16
2004M01,"13,557,171",5.53,"1,087",-8.66,830,34.96,"3,892,478",5.45,"2,728,007",11.65,"1,164,471",-6.68,"9,662,776",5.56,"3,532,645",9.15,"6,130,131",3.59
2004M02,"13,636,398",6.45,"1,100",-21.26,"1,067",22.64,"3,891,601",5.90,"2,740,406",11.90,"1,151,195",-6.09,"9,742,630",6.68,"3,571,479",10.20,"6,171,151",4.73
2004M03,"13,746,522",7.84,954,-30.42,"1,628",139.06,"3,928,614",7.15,"2,765,342",12.90,"1,163,272",-4.44,"9,815,326",8.12,"3,590,428",12.03,"6,224,898",5.98
2004M04,"13,891,515",8.53,949,-27.11,"1,591",163.85,"3,988,050",7.08,"2,833,368",12.39,"1,154,682",-4.05,"9,900,925",9.12,"3,609,899",12.41,"6,291,026",7.31
2004M05,"14,097,001",10.04,"1,029",-19.86,"2,072",177.38,"4,038,166",7.50,"2,875,006",11.87,"1,163,160",-1.95,"10,055,734",11.08,"3,711,602",16.70,"6,344,132",8.03
2004M06,"14,144,940",8.65,921,-30.28,861,-40.00,"4,007,321",3.56,"2,816,191",7.14,"1,191,130",-4.01,"10,135,836",10.82,"3,742,273",15.83,"6,393,563",8.08
2004M07,"14,216,853",9.73,767,-32.36,988,52.94,"4,043,686",5.68,"2,886,624",10.38,"1,157,062",-4.47,"10,171,412",11.43,"3,764,159",17.72,"6,407,253",8.03
2004M08,"14,263,503",9.91,699,-32.85,"1,162",81.28,"4,010,127",4.27,"2,850,517",7.95,"1,159,610",-3.77,"10,251,516",12.28,"3,810,075",20.11,"6,441,441",8.11
2004M09,"14,334,628",9.54,873,-6.03,"1,203",67.32,"3,972,858",1.85,"2,803,986",3.27,"1,168,872",-1.39,"10,359,694",12.80,"3,872,344",21.82,"6,487,350",8.03
2004M10,"14,378,043",10.13,776,-11.21,"1,285",74.83,"3,973,158",2.70,"2,820,315",3.80,"1,152,843",0.11,"10,402,823",13.26,"3,857,627",21.99,"6,545,196",8.68
2004M11,"14,607,097",10.64,657,-34.95,777,-17.43,"4,014,635",2.58,"2,846,846",3.41,"1,167,789",0.60,"10,591,028",14.04,"4,002,304",23.57,"6,588,724",8.94
2004M12,"14,862,514",10.05,540,-49.06,"1,177",34.21,"3,975,674",-1.38,"2,746,848",-0.94,"1,228,826",-2.35,"10,885,123",14.92,"4,188,297",25.06,"6,696,826",9.38
2005M01,"14,865,789",9.65,599,-44.89,"1,069",28.80,"3,888,188",-0.11,"2,732,426",0.16,"1,155,762",-0.75,"10,975,933",13.59,"4,249,653",20.30,"6,726,280",9.72
2005M02,"14,913,350",9.36,450,-59.09,587,-44.99,"3,860,372",-0.80,"2,719,362",-0.77,"1,141,010",-0.88,"11,051,940",13.44,"4,315,719",20.84,"6,736,221",9.16
2005M03,"15,130,497",10.07,564,-40.88,878,-46.07,"3,901,930",-0.68,"2,750,547",-0.54,"1,151,383",-1.02,"11,227,126",14.38,"4,382,531",22.06,"6,844,595",9.96
2005M04,"15,108,676",8.76,453,-52.27,919,-42.24,"3,832,758",-3.89,"2,704,781",-4.54,"1,127,977",-2.31,"11,274,546",13.87,"4,373,644",21.16,"6,900,902",9.69
2005M05,"15,283,823",8.42,295,-71.33,805,-61.15,"3,877,616",-3.98,"2,743,139",-4.59,"1,134,477",-2.47,"11,405,106",13.42,"4,459,941",20.16,"6,945,165",9.47
2005M06,"15,439,755",9.15,337,-63.41,982,14.05,"3,920,999",-2.15,"2,745,946",-2.49,"1,175,053",-1.35,"11,516,281",13.62,"4,490,408",19.99,"7,025,873",9.89
2005M07,"15,438,195",8.59,399,-47.98,"1,030",4.25,"3,894,066",-3.70,"2,738,806",-5.12,"1,155,260",-0.16,"11,542,700",13.48,"4,479,562",19.01,"7,063,138",10.24
2005M08,"15,498,318",8.66,405,-42.06,948,-18.42,"3,889,380",-3.01,"2,758,138",-3.24,"1,131,242",-2.45,"11,607,585",13.23,"4,459,051",17.03,"7,148,534",10.98
