期間,總計_原始值,總計_年增率(%),人為縱火_原始值,人為縱火_年增率(%),自殺_原始值,自殺_年增率(%),燈燭_原始值,燈燭_年增率(%),爐火烹調_原始值,爐火烹調_年增率(%),敬神掃墓祭祖_原始值,敬神掃墓祭祖_年增率(%),菸蒂_原始值,菸蒂_年增率(%),電氣設備_原始值,電氣設備_年增率(%),機械設備_原始值,機械設備_年增率(%),玩火_原始值,玩火_年增率(%),烤火_原始值,烤火_年增率(%),燒什草垃圾_原始值,燒什草垃圾_年增率(%),施工不慎_原始值,施工不慎_年增率(%),易燃品自(復)燃_原始值,易燃品自(復)燃_年增率(%),瓦斯漏氣或爆炸_原始值,瓦斯漏氣或爆炸_年增率(%),化學物品_原始值,化學物品_年增率(%),燃放爆竹_原始值,燃放爆竹_年增率(%),交通事故_原始值,交通事故_年增率(%),天然災害_原始值,天然災害_年增率(%),原因不明_原始值,原因不明_年增率(%),其他_原始值,其他_年增率(%)
2007M03,338,-20.84,39,21.88,6,-33.33,4,-20.00,22,29.41,22,-26.67,44,-27.87,91,-30.53,11,-38.89,11,266.67,0,--,-,--,8,-11.11,0,-100.00,2,-60.00,0,-100.00,2,100.00,1,-66.67,0,--,1,-66.67,74,-22.92
2007M04,300,-30.23,32,-27.27,6,100.00,1,0.00,20,0.00,13,-75.93,35,-7.89,103,-12.71,12,-52.00,5,66.67,0,--,-,--,9,28.57,0,-100.00,4,-20.00,1,-75.00,0,-100.00,2,-50.00,0,-100.00,3,-86.36,54,-29.87
2007M05,262,-15.76,38,-7.32,4,-55.56,0,-100.00,14,-44.00,3,-40.00,37,27.59,82,-24.77,12,-58.62,5,0.00,1,--,-,--,7,40.00,0,--,5,66.67,0,-100.00,0,-100.00,8,300.00,0,--,1,-90.00,45,28.57
2007M06,240,-22.08,30,-28.57,2,100.00,0,-100.00,11,-52.17,5,25.00,15,-37.50,103,-3.74,11,-67.65,5,25.00,0,-100.00,-,--,3,-66.67,1,-50.00,5,-16.67,1,-66.67,1,--,1,-75.00,0,-100.00,1,-75.00,45,21.62
2007M07,279,-16.22,50,16.28,3,50.00,0,-100.00,21,31.25,1,-80.00,21,-30.00,79,-32.48,11,-64.52,4,33.33,0,-100.00,-,--,8,33.33,0,--,2,-33.33,2,100.00,1,-50.00,4,0.00,0,-100.00,2,100.00,70,20.69
2007M08,258,-26.29,22,-45.00,2,0.00,3,50.00,20,-35.48,3,-25.00,16,-56.76,121,6.14,12,-47.83,0,-100.00,0,-100.00,-,--,3,-70.00,0,--,3,-40.00,2,100.00,1,--,2,-66.67,3,200.00,1,-80.00,44,-21.43
2007M09,223,-20.64,24,-46.67,4,300.00,2,-33.33,13,8.33,2,-33.33,11,-59.26,83,-17.82,6,-64.71,1,-85.71,0,-100.00,-,--,5,-54.55,0,-100.00,4,-20.00,1,-50.00,4,300.00,3,-25.00,0,-100.00,1,-50.00,59,59.46
2007M10,285,-21.05,38,15.15,1,-88.89,3,200.00,13,-31.58,4,0.00,31,-40.38,99,2.06,15,-46.43,7,0.00,0,-100.00,-,--,5,-64.29,0,-100.00,2,-33.33,1,0.00,1,-92.86,1,-75.00,0,-100.00,9,-30.77,55,-6.78
2007M11,260,-16.93,32,-23.81,3,-40.00,3,200.00,13,18.18,8,60.00,14,-46.15,85,-19.05,10,11.11,3,0.00,0,-100.00,-,--,9,80.00,1,0.00,3,50.00,1,0.00,0,-100.00,3,200.00,0,--,4,-84.00,68,0.00
2007M12,281,-24.26,37,-17.78,1,-75.00,3,-40.00,12,-40.00,1,-83.33,34,30.77,83,-34.13,10,-58.33,7,250.00,0,--,-,--,9,125.00,0,--,1,-85.71,2,0.00,0,--,1,-80.00,0,--,8,-20.00,72,-15.29
2008M01,270,-20.12,33,-19.51,2,-50.00,3,0.00,18,12.50,2,-81.82,18,-35.71,98,-9.26,8,-11.11,6,50.00,0,--,-,--,6,-50.00,0,--,0,-100.00,4,100.00,8,166.67,0,-100.00,0,--,0,-100.00,64,-27.27
2008M02,286,-12.80,29,-19.44,2,-66.67,6,-14.29,14,-36.36,5,-16.67,30,-37.50,108,27.06,4,-50.00,7,0.00,1,-50.00,-,--,1,-85.71,0,-100.00,6,50.00,2,100.00,8,-27.27,3,--,0,--,2,-75.00,58,-15.94
2008M03,266,-21.30,33,-15.38,4,-33.33,2,-50.00,16,-27.27,9,-59.09,35,-20.45,89,-2.20,6,-45.45,5,-54.55,0,--,-,--,13,62.50,0,--,2,0.00,0,--,2,0.00,2,100.00,0,--,0,-100.00,48,-35.14
2008M04,204,-32.00,27,-15.62,6,0.00,2,100.00,5,-75.00,9,-30.77,14,-60.00,60,-41.75,8,-33.33,4,-20.00,0,--,-,--,6,-33.33,1,--,3,-25.00,0,-100.00,0,--,0,-100.00,0,--,18,500.00,41,-24.07
2008M05,218,-16.79,22,-42.11,3,-25.00,1,--,10,-28.57,4,33.33,15,-59.46,79,-3.66,6,-50.00,2,-60.00,0,-100.00,-,--,10,42.86,0,--,4,-20.00,1,--,2,--,1,-87.50,0,--,0,-100.00,58,28.89
2008M06,211,-12.08,27,-10.00,2,0.00,3,--,10,-9.09,2,-60.00,12,-20.00,79,-23.30,10,-9.09,2,-60.00,0,--,-,--,5,66.67,1,0.00,2,-60.00,0,-100.00,1,0.00,1,0.00,1,--,3,200.00,49,8.89
2008M07,212,-24.01,21,-58.00,4,33.33,2,--,9,-57.14,0,-100.00,13,-38.10,89,12.66,8,-27.27,4,0.00,0,--,-,--,6,-25.00,1,--,2,0.00,0,-100.00,0,-100.00,2,-50.00,0,--,0,-100.00,51,-27.14
2008M08,236,-8.53,44,100.00,3,50.00,3,0.00,5,-75.00,6,100.00,20,25.00,85,-29.75,5,-58.33,0,--,0,--,-,--,5,66.67,0,--,0,-100.00,0,-100.00,0,-100.00,2,0.00,0,-100.00,2,100.00,56,27.27
