期間,期末營業車輛(輛)_原始值,期末營業車輛(輛)_年增率(%),行車次數(次)_原始值,行車次數(次)_年增率(%),行車里程(千車公里)_原始值,行車里程(千車公里)_年增率(%),貨運噸數(千公噸)_原始值,貨運噸數(千公噸)_年增率(%),延噸公里(千噸公里)_原始值,延噸公里(千噸公里)_年增率(%),平均每噸貨物運距(公里)_原始值,平均每噸貨物運距(公里)_年增率(%),貨運收入(千元)_原始值,貨運收入(千元)_年增率(%)
2007M09,"77,029",-20.84,"3,856,136",0.47,"396,522",-2.63,"50,764",1.20,"2,521,688",-2.74,49.7,-3.88,"9,189,819",-3.14
2007M10,"77,179",-20.56,"3,889,245",1.30,"403,339",-1.18,"51,296",2.54,"2,549,639",-1.06,49.7,-3.52,"9,348,490",-0.50
2007M11,"76,603",-5.25,"3,834,679",-0.55,"399,446",-2.18,"50,834",0.39,"2,527,729",-2.79,49.7,-3.17,"9,271,254",-2.37
2007M12,"76,294",-5.50,"3,895,488",0.31,"402,660",-2.51,"51,350",0.58,"2,543,777",-2.29,49.5,-2.86,"9,335,454",-1.92
2008M01,"76,267",-5.27,"3,959,680",0.65,"404,934",-1.74,"51,572",0.52,"2,557,491",-1.53,49.6,-2.04,"9,551,133",-0.21
2008M02,"76,169",-4.94,"3,641,460",0.69,"375,746",-1.78,"48,695",-0.11,"2,431,104",0.55,49.9,0.66,"8,585,235",-1.79
2008M03,"75,868",-5.44,"3,879,815",-1.15,"404,594",-2.52,"51,184",-1.24,"2,556,325",-1.11,49.9,0.13,"9,366,399",0.12
2008M04,"75,576",-5.73,"3,886,384",-0.16,"400,590",-2.33,"51,071",-2.59,"2,563,109",-0.73,50.2,1.91,"9,374,172",-0.20
2008M05,"75,285",-4.93,"3,954,430",0.27,"408,943",-1.66,"51,615",-1.43,"2,554,723",-1.17,49.5,0.27,"9,299,214",-2.37
2008M06,"75,019",-4.88,"3,880,264",-0.48,"400,956",-1.06,"50,796",-2.85,"2,535,473",-1.26,49.9,1.64,"9,304,228",-0.54
2008M07,"74,467",-3.64,"3,894,422",-0.74,"397,445",-3.13,"50,732",-2.94,"2,527,539",-0.27,49.8,2.75,"9,266,444",0.27
2008M08,"74,111",-3.82,"3,887,202",-0.73,"394,791",-3.78,"50,725",-2.62,"2,537,385",0.08,50.0,2.78,"9,299,947",0.20
2008M09,"74,023",-3.90,"3,818,688",-0.97,"390,267",-1.58,"49,663",-2.17,"2,498,050",-0.94,50.3,1.26,"9,094,839",-1.03
2008M10,"73,814",-4.36,"3,830,165",-1.52,"390,014",-3.30,"49,666",-3.18,"2,473,286",-2.99,49.8,0.19,"9,066,076",-3.02
2008M11,"73,340",-4.26,"3,746,394",-2.30,"381,302",-4.54,"49,074",-3.46,"2,458,125",-2.75,50.1,0.73,"8,881,037",-4.21
