期間,授信部門-公營事業_原始值,授信部門-公營事業_年增率(%),授信部門-民營企業_原始值,授信部門-民營企業_年增率(%),授信部門-家庭及非營利團體_原始值,授信部門-家庭及非營利團體_年增率(%),授信部門-國外_原始值,授信部門-國外_年增率(%),受信部門-公營事業_原始值,受信部門-公營事業_年增率(%),受信部門-民營企業_原始值,受信部門-民營企業_年增率(%),受信部門-家庭及非營利團體_原始值,受信部門-家庭及非營利團體_年增率(%),受信部門-國外_原始值,受信部門-國外_年增率(%)
2006,"153,239",-12.03,"7,184,069",2.61,"2,280,706",-13.27,"1,527,768",30.53,"321,179",1.47,"8,272,732",-4.26,"395,464",9.29,"2,156,407",30.17
2007,"166,823",8.86,"7,689,054",7.03,"2,385,366",4.59,"1,681,723",10.08,"324,577",1.06,"8,711,551",5.30,"386,881",-2.17,"2,499,956",15.93
2008,"129,309",-22.49,"6,832,762",-11.14,"2,561,391",7.38,"1,347,337",-19.88,"269,596",-16.94,"8,155,414",-6.38,"322,035",-16.76,"2,123,754",-15.05
