期間,合計_原始值,合計_年增率(%),亞洲_原始值,亞洲_年增率(%),亞洲-香港、澳門_原始值,亞洲-香港、澳門_年增率(%),亞洲-中國大陸_原始值,亞洲-中國大陸_年增率(%),亞洲-日本_原始值,亞洲-日本_年增率(%),美洲_原始值,美洲_年增率(%),歐洲_原始值,歐洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),非洲_原始值,非洲_年增率(%),未列明_原始值,未列明_年增率(%)
1989M05,"161,782",2.08,"125,587",3.41,...,...,...,...,"78,903",8.40,"20,994",3.37,"9,452",-2.91,"2,129",7.36,"1,152",-19.16,"2,468",-31.22
1989M06,"171,655",5.25,"131,069",4.76,...,...,...,...,"83,662",10.62,"25,292",9.84,"8,713",1.91,"2,137",17.87,"1,213",-12.17,"3,231",0.47
1989M07,"153,117",-3.84,"115,632",-4.38,...,...,...,...,"66,312",-1.35,"22,399",-3.13,"7,915",-2.57,"1,702",2.53,893,-29.69,"4,576",10.83
1989M08,"159,067",2.84,"126,536",2.95,...,...,...,...,"72,535",4.82,"18,825",-1.78,"7,749",5.49,"1,617",-6.85,"1,011",-32.73,"3,329",66.20
1989M09,"155,715",9.32,"122,261",8.46,...,...,...,...,"74,868",8.17,"19,038",15.52,"8,241",4.24,"1,991",6.64,"1,289",-3.59,"2,895",35.79
1989M10,"178,058",-0.67,"134,353",1.68,...,...,...,...,"76,734",5.43,"23,806",-10.00,"13,736",-1.96,"2,173",-7.92,"1,498",-16.22,"2,492",-1.46
1989M11,"188,755",3.67,"150,736",6.76,...,...,...,...,"98,385",11.48,"21,211",-6.78,"11,522",-7.55,"2,200",5.31,"1,188",-27.91,"1,898",-1.56
1989M12,"156,604",-0.93,"123,438",-1.76,...,...,...,...,"74,005",-0.38,"21,159",-1.34,"6,222",2.89,"1,987",6.71,"1,237",-10.49,"2,561",52.26
1990M01,"168,870",-3.39,"135,540",-2.67,...,...,...,...,"79,911",-12.62,"20,836",-3.29,"7,087",-16.38,"1,885",-11.63,842,-27.41,"2,680",20.18
1990M02,"171,586",13.32,"139,005",15.07,...,...,...,...,"90,282",23.98,"17,981",14.30,"8,770",21.08,"1,763",11.94,854,-19.13,"3,213",-35.78
1990M03,"180,514",-4.51,"142,312",-6.08,...,...,...,...,"93,299",-6.47,"20,782",1.33,"11,245",14.48,"2,395",4.18,"1,106",-24.92,"2,674",-21.49
1990M04,"165,769",1.00,"128,509",3.09,...,...,...,...,"78,054",3.79,"20,704",-3.22,"10,768",-11.61,"2,091",-10.37,"1,051",-13.64,"2,646",12.88
1990M05,"162,304",0.32,"125,004",-0.46,...,...,...,...,"75,430",-4.40,"21,646",3.11,"9,797",3.65,"2,095",-1.60,"1,121",-2.69,"2,641",7.01
1990M06,"163,766",-4.60,"125,602",-4.17,...,...,...,...,"79,484",-4.99,"24,271",-4.04,"8,490",-2.56,"1,866",-12.68,983,-18.96,"2,554",-20.95
1990M07,"149,175",-2.57,"111,529",-3.55,...,...,...,...,"64,632",-2.53,"23,399",4.46,"8,372",5.77,"1,593",-6.40,"1,033",15.68,"3,249",-29.00
1990M08,"147,668",-7.17,"113,924",-9.97,...,...,...,...,"65,240",-10.06,"20,743",10.19,"7,655",-1.21,"1,592",-1.55,972,-3.86,"2,782",-16.43
1990M09,"143,630",-7.76,"111,036",-9.18,...,...,...,...,"67,214",-10.22,"18,644",-2.07,"8,405",1.99,"1,750",-12.10,"1,170",-9.23,"2,625",-9.33
