期間,權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%)
2002M02,0,--,913,--,0,--,0,--,0,--,"8,928",69.67,0,--,0,--
2002M03,0,--,"5,323",--,0,--,0,--,0,--,0,-100.00,0,--,0,--
2002M04,0,--,"2,929",--,0,--,0,--,0,--,"1,596",--,0,--,0,--
2002M05,0,--,896,-13.26,0,--,0,--,0,--,"2,184",-44.13,0,--,0,--
2002M06,0,--,632,--,0,--,0,--,0,--,"2,492",829.85,0,--,0,--
2002M07,332,--,"1,076",--,0,--,0,--,0,--,"3,135",444.27,0,--,"3,135",--
2002M08,0,--,"1,322",--,0,--,0,-100.00,0,--,"8,828",483.09,0,--,0,--
2002M09,0,--,"4,455",--,0,--,0,--,0,--,"14,772",206.41,0,--,0,--
2002M10,0,--,775,30.03,0,--,0,--,0,--,"9,422",15.32,0,--,0,--
2002M11,0,--,619,--,0,--,0,--,0,--,"5,525",427.19,0,--,0,--
2002M12,0,-100.00,0,-100.00,0,--,0,--,0,--,0,--,0,--,0,--
2003M01,0,--,"2,709",--,0,--,0,--,0,--,"33,475","20,311.59",0,--,0,--
2003M02,0,--,"2,773",203.72,0,--,0,--,0,--,"1,094",-87.75,0,--,0,--
2003M03,0,--,"3,622",-31.96,0,--,862,--,0,--,"1,434",--,0,--,0,--
2003M04,413,--,"1,713",-41.52,0,--,"1,650",--,0,--,764,-52.13,0,--,0,--
2003M05,0,--,"2,455",174.00,0,--,"2,139",--,0,--,144,-93.41,0,--,0,--
2003M06,0,--,"1,463",131.49,0,--,"7,767",--,0,--,"8,306",233.31,0,--,0,--
2003M07,0,-100.00,"2,986",177.51,0,--,"9,165",--,0,--,"10,310",228.87,0,--,0,-100.00
2003M08,0,--,"1,673",26.55,0,--,"2,943",--,0,--,"22,265",152.21,0,--,0,--
2003M09,195,--,"1,754",-60.63,0,--,94,--,0,--,"26,890",82.03,0,--,0,--
2003M10,0,--,"3,414",340.52,0,--,0,--,0,--,"2,302",-75.57,0,--,0,--
2003M11,420,--,"5,159",733.44,168,--,27,--,0,--,"17,244",212.11,0,--,0,--
2003M12,0,--,"1,515",--,501,--,84,--,0,--,"1,650",--,0,--,0,--
2004M01,114,--,"4,637",71.17,269,--,47,--,0,--,"27,384",-18.20,0,--,0,--
2004M02,"2,166",--,"4,055",46.23,85,--,"11,432",--,0,--,34,-96.89,0,--,0,--
2004M03,694,--,"9,806",170.73,"1,525",--,"22,150","2,469.61",0,--,"20,562","1,333.89",0,--,0,--
2004M04,332,-19.61,"4,603",168.71,916,--,"24,780","1,401.82",0,--,"17,044","2,130.89",0,--,0,--
2004M05,410,--,"2,995",22.00,908,--,"2,832",32.40,0,--,"24,144","16,666.67",0,--,0,--
2004M06,267,--,"3,292",125.02,106,--,76,-99.02,0,--,"20,935",152.05,0,--,0,--
2004M07,"1,647",--,"3,235",8.34,"1,406",--,"19,209",109.59,0,--,0,-100.00,0,--,0,--
2004M08,189,--,"3,363",101.02,"6,235",--,0,-100.00,"10,000",--,"40,382",81.37,0,--,0,--
2004M09,167,-14.36,"1,233",-29.70,"1,664",--,58,-38.30,0,--,"1,048",-96.10,0,--,0,--
2004M10,50,--,615,-81.99,933,--,19,--,0,--,"36,672","1,493.05",0,--,0,--
2004M11,167,-60.24,464,-91.01,"1,173",598.21,30,11.11,0,--,"36,139",109.57,0,--,0,--
2004M12,275,--,225,-85.15,446,-10.98,19,-77.38,0,--,0,-100.00,0,--,0,--
2005M01,"6,105","5,255.26","3,132",-32.46,"4,049","1,405.20",9,-80.85,0,--,34,-99.88,0,--,0,--
2005M02,"2,190",1.11,354,-91.27,"2,349","2,663.53",0,-100.00,0,--,"21,972","64,523.53",0,--,0,--
2005M03,623,-10.23,"4,608",-53.01,"10,955",618.36,19,-99.91,0,--,"37,775",83.71,0,--,0,--
2005M04,185,-44.28,257,-94.42,"7,106",675.76,9,-99.96,0,--,"16,294",-4.40,0,--,0,--
2005M05,82,-80.00,339,-88.68,"8,335",817.95,112,-96.05,0,--,"37,751",56.36,0,--,0,--
2005M06,286,7.12,626,-80.98,"7,919","7,370.75",315,314.47,0,--,446,-97.87,0,--,0,--
2005M07,"3,951",139.89,457,-85.87,"5,796",312.23,30,-99.84,0,--,472,--,0,--,0,--
2005M08,528,179.37,935,-72.20,"6,391",2.50,131,--,0,-100.00,"16,062",-60.22,0,--,0,--
2005M09,934,459.28,131,-89.38,"4,665",180.35,20,-65.52,194,--,458,-56.30,0,--,0,--
2005M10,"1,474","2,848.00","1,205",95.93,"4,906",425.83,60,215.79,0,--,"48,296",31.70,0,--,0,--
2005M11,650,289.22,396,-14.66,"6,496",453.79,"1,962","6,440.00",0,--,6,-99.98,0,--,0,--
2005M12,640,132.73,0,-100.00,"5,991","1,243.27",306,"1,510.53",0,--,24,--,0,--,0,--
2006M01,201,-96.71,"8,500",171.39,"2,944",-27.29,31,244.44,0,--,0,-100.00,0,--,0,--
2006M02,23,-98.95,384,8.47,"4,375",86.25,0,--,0,--,"14,432",-34.32,0,--,0,--
