期間,收受部門--中央銀行,存款部門--存款貨幣機構,存款部門--其他金融機構
1997,"998,530","84,532","913,998"
1998,"1,002,821","83,759","919,062"
1999,"1,197,227","180,090","1,017,137"
2000,"1,184,695","139,312","1,045,383"
2001,"1,636,384","459,935","1,176,449"
2002,"1,867,362","580,421","1,286,941"
2003,"2,081,808","712,338","1,369,470"
2004,"1,900,991","549,761","1,351,230"
