期間,合計_原始值,合計_年增率(%),貼現_原始值,貼現_年增率(%),進口押匯_原始值,進口押匯_年增率(%),短期放款與透支-計_原始值,短期放款與透支-計_年增率(%),短期放款與透支-無擔保_原始值,短期放款與透支-無擔保_年增率(%),短期放款與透支-擔保_原始值,短期放款與透支-擔保_年增率(%),中長期放款-計_原始值,中長期放款-計_年增率(%),中長期放款-無擔保_原始值,中長期放款-無擔保_年增率(%),中長期放款-擔保_原始值,中長期放款-擔保_年增率(%)
2005M09,"15,693,025",9.48,426,-51.20,"1,013",-15.79,"3,981,072",0.21,"2,843,932",1.42,"1,137,140",-2.71,"11,710,515",13.04,"4,507,912",16.41,"7,202,603",11.03
2005M10,"15,631,581",8.72,338,-56.44,950,-26.07,"3,879,541",-2.36,"2,750,927",-2.46,"1,128,614",-2.10,"11,750,752",12.96,"4,502,901",16.73,"7,247,851",10.74
2005M11,"15,778,699",8.02,436,-33.64,821,5.66,"3,931,371",-2.07,"2,795,667",-1.80,"1,135,704",-2.75,"11,846,071",11.85,"4,529,404",13.17,"7,316,667",11.05
2005M12,"16,098,378",8.32,592,9.63,925,-21.41,"4,119,240",3.61,"2,908,221",5.87,"1,211,019",-1.45,"11,977,621",10.04,"4,577,526",9.29,"7,400,095",10.50
2006M01,"16,173,181",8.79,453,-24.37,629,-41.16,"4,116,558",5.87,"2,950,492",7.98,"1,166,066",0.89,"12,055,541",9.84,"4,601,615",8.28,"7,453,926",10.82
2006M02,"16,174,133",8.45,356,-20.89,"1,023",74.28,"4,139,169",7.22,"2,956,654",8.73,"1,182,515",3.64,"12,033,585",8.88,"4,587,454",6.30,"7,446,131",10.54
2006M03,"16,146,052",6.71,992,75.89,831,-5.35,"4,096,241",4.98,"2,909,309",5.77,"1,186,932",3.09,"12,047,989",7.31,"4,540,688",3.61,"7,507,301",9.68
2006M04,"16,157,925",6.94,431,-4.86,634,-31.01,"4,093,606",6.81,"2,911,019",7.62,"1,182,587",4.84,"12,063,253",7.00,"4,523,200",3.42,"7,540,053",9.26
2006M05,"16,258,311",6.38,353,19.66,857,6.46,"4,149,061",7.00,"2,939,138",7.15,"1,209,923",6.65,"12,108,040",6.16,"4,497,606",0.84,"7,610,434",9.58
2006M06,"16,280,713",5.45,392,16.32,981,-0.10,"4,110,824",4.84,"2,864,671",4.32,"1,246,153",6.05,"12,168,516",5.66,"4,472,270",-0.40,"7,696,246",9.54
2006M07,"16,169,536",4.74,360,-9.77,708,-31.26,"4,001,459",2.76,"2,785,363",1.70,"1,216,096",5.27,"12,167,009",5.41,"4,409,235",-1.57,"7,757,774",9.83
2006M08,"16,169,445",4.33,363,-10.37,"1,154",21.73,"3,969,371",2.06,"2,751,906",-0.23,"1,217,465",7.62,"12,198,557",5.09,"4,374,119",-1.90,"7,824,438",9.46
2006M09,"16,257,758",3.60,607,42.49,"1,003",-0.99,"4,033,885",1.33,"2,804,843",-1.37,"1,229,042",8.08,"12,222,263",4.37,"4,360,463",-3.27,"7,861,800",9.15
2006M10,"16,258,424",4.01,987,192.01,676,-28.84,"4,023,229",3.70,"2,805,414",1.98,"1,217,815",7.90,"12,233,532",4.11,"4,329,086",-3.86,"7,904,446",9.06
2006M11,"16,314,402",3.40,431,-1.15,833,1.46,"4,041,331",2.80,"2,805,538",0.35,"1,235,793",8.81,"12,271,807",3.59,"4,287,065",-5.35,"7,984,742",9.13
2006M12,"16,501,113",2.50,509,-14.02,"1,034",11.78,"4,087,932",-0.76,"2,781,766",-4.35,"1,306,166",7.86,"12,411,639",3.62,"4,341,098",-5.16,"8,070,541",9.06
2007M01,"16,565,127",2.42,588,29.80,692,10.02,"4,104,788",-0.29,"2,834,540",-3.93,"1,270,248",8.93,"12,459,058",3.35,"4,334,744",-5.80,"8,124,314",8.99
2007M02,"16,645,515",2.91,610,71.35,"1,350",31.96,"4,159,407",0.49,"2,902,291",-1.84,"1,257,116",6.31,"12,484,148",3.74,"4,314,137",-5.96,"8,170,011",9.72
2007M03,"16,644,077",3.08,615,-38.00,938,12.88,"4,193,990",2.39,"2,918,418",0.31,"1,275,572",7.47,"12,448,535",3.32,"4,247,416",-6.46,"8,201,119",9.24
2007M04,"16,664,719",3.14,705,63.57,634,0.00,"4,236,279",3.49,"2,969,911",2.02,"1,266,368",7.08,"12,427,102",3.02,"4,183,094",-7.52,"8,244,008",9.34
2007M05,"16,698,934",2.71,597,69.12,867,1.17,"4,269,832",2.91,"2,970,733",1.07,"1,299,099",7.37,"12,427,637",2.64,"4,144,784",-7.84,"8,282,853",8.84
2007M06,"16,685,247",2.48,731,86.48,"1,083",10.40,"4,217,356",2.59,"2,889,342",0.86,"1,328,014",6.57,"12,466,077",2.45,"4,082,024",-8.73,"8,384,053",8.94
2007M07,"16,764,536",3.68,601,66.94,904,27.68,"4,270,700",6.73,"2,926,432",5.06,"1,344,268",10.54,"12,492,330",2.67,"4,036,422",-8.46,"8,455,908",9.00
2007M08,"16,745,740",3.56,555,52.89,921,-20.19,"4,179,593",5.30,"2,857,174",3.83,"1,322,419",8.62,"12,564,671",3.00,"4,024,487",-7.99,"8,540,184",9.15
2007M09,"16,818,155",3.45,621,2.31,669,-33.30,"4,240,956",5.13,"2,926,976",4.35,"1,313,980",6.91,"12,575,909",2.89,"4,007,161",-8.10,"8,568,748",8.99
2007M10,"16,779,098",3.20,"1,217",23.30,"1,272",88.17,"4,193,732",4.24,"2,871,357",2.35,"1,322,375",8.59,"12,582,878",2.86,"4,003,244",-7.53,"8,579,634",8.54
2007M11,"16,772,693",2.81,830,92.58,"1,209",45.14,"4,159,186",2.92,"2,818,463",0.46,"1,340,723",8.49,"12,611,468",2.77,"4,000,873",-6.68,"8,610,595",7.84
2007M12,"16,944,572",2.69,528,3.73,472,-54.35,"4,149,855",1.51,"2,786,053",0.15,"1,363,802",4.41,"12,793,717",3.08,"4,066,071",-6.34,"8,727,646",8.14
2008M01,"17,018,645",2.74,883,50.17,671,-3.03,"4,211,918",2.61,"2,864,293",1.05,"1,347,625",6.09,"12,805,174",2.78,"4,044,901",-6.69,"8,760,273",7.83
2008M02,"16,984,176",2.03,684,12.13,232,-82.81,"4,208,050",1.17,"2,876,078",-0.90,"1,331,972",5.95,"12,775,210",2.33,"4,012,347",-7.00,"8,762,863",7.26
2008M03,"17,041,086",2.39,627,1.95,667,-28.89,"4,280,171",2.05,"2,937,153",0.64,"1,343,018",5.29,"12,759,621",2.50,"3,982,031",-6.25,"8,777,590",7.03
2008M04,"17,038,160",2.24,320,-54.61,360,-43.22,"4,286,066",1.18,"2,948,121",-0.73,"1,337,945",5.65,"12,751,414",2.61,"3,954,588",-5.46,"8,796,826",6.71
2008M05,"17,140,426",2.64,417,-30.15,379,-56.29,"4,367,489",2.29,"2,995,972",0.85,"1,371,517",5.57,"12,772,141",2.77,"3,929,919",-5.18,"8,842,222",6.75
2008M06,"17,241,592",3.33,509,-30.37,420,-61.22,"4,404,644",4.44,"2,990,657",3.51,"1,413,987",6.47,"12,836,019",2.97,"3,937,159",-3.55,"8,898,860",6.14
2008M07,"17,310,048",3.25,645,7.32,286,-68.36,"4,409,556",3.25,"3,014,062",2.99,"1,395,494",3.81,"12,899,561",3.26,"3,921,889",-2.84,"8,977,672",6.17
2008M08,"17,302,581",3.33,590,6.31,480,-47.88,"4,419,786",5.75,"3,043,911",6.54,"1,375,875",4.04,"12,881,724",2.52,"3,869,290",-3.86,"9,012,434",5.53
2008M09,"17,399,432",3.46,344,-44.61,320,-52.17,"4,449,306",4.91,"3,064,566",4.70,"1,384,740",5.39,"12,949,462",2.97,"3,917,338",-2.24,"9,032,124",5.41
