期間,原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%)
2007M05,"478,457",2.10,"237,465",1.75,"240,992",2.46,"225,285",2.16,"113,326",1.75,"111,959",2.58,"253,172",2.05,"124,139",1.74,"129,033",2.35
2007M06,"479,216",2.08,"237,776",1.72,"241,440",2.43,"225,649",2.10,"113,446",1.65,"112,203",2.56,"253,567",2.05,"124,330",1.78,"129,237",2.32
2007M07,"480,000",2.08,"238,105",1.72,"241,895",2.43,"225,980",2.07,"113,564",1.61,"112,416",2.54,"254,020",2.09,"124,541",1.83,"129,479",2.34
2007M08,"481,119",2.05,"238,582",1.71,"242,537",2.39,"226,469",2.02,"113,756",1.57,"112,713",2.47,"254,650",2.09,"124,826",1.84,"129,824",2.33
2007M09,"482,000",2.01,"238,953",1.66,"243,047",2.36,"226,911",2.00,"113,949",1.55,"112,962",2.47,"255,089",2.02,"125,004",1.76,"130,085",2.27
2007M10,"482,798",2.03,"239,279",1.67,"243,519",2.38,"227,257",2.01,"114,091",1.55,"113,166",2.49,"255,541",2.04,"125,188",1.78,"130,353",2.28
2007M11,"483,459",2.00,"239,533",1.65,"243,926",2.34,"227,613",1.98,"114,220",1.52,"113,393",2.45,"255,846",2.01,"125,313",1.76,"130,533",2.25
2007M12,"484,174",1.95,"239,832",1.62,"244,342",2.27,"227,960",1.94,"114,371",1.52,"113,589",2.38,"256,214",1.95,"125,461",1.72,"130,753",2.18
2008M01,"484,906",1.96,"240,158",1.64,"244,748",2.27,"228,260",1.94,"114,513",1.54,"113,747",2.34,"256,646",1.97,"125,645",1.74,"131,001",2.20
2008M02,"485,687",2.02,"240,470",1.69,"245,217",2.35,"228,644",2.01,"114,651",1.60,"113,993",2.44,"257,043",2.03,"125,819",1.77,"131,224",2.27
2008M03,"486,469",1.98,"240,783",1.65,"245,686",2.31,"229,083",1.99,"114,848",1.61,"114,235",2.39,"257,386",1.98,"125,935",1.69,"131,451",2.25
2008M04,"487,205",1.99,"241,113",1.66,"246,092",2.31,"229,478",2.02,"115,020",1.63,"114,458",2.41,"257,727",1.96,"126,093",1.69,"131,634",2.22
2008M05,"487,863",1.97,"241,373",1.65,"246,490",2.28,"229,825",2.02,"115,172",1.63,"114,653",2.41,"258,038",1.92,"126,201",1.66,"131,837",2.17
2008M06,"488,773",1.99,"241,787",1.69,"246,986",2.30,"230,238",2.03,"115,333",1.66,"114,905",2.41,"258,535",1.96,"126,454",1.71,"132,081",2.20
2008M07,"489,663",2.01,"242,152",1.70,"247,511",2.32,"230,645",2.06,"115,487",1.69,"115,158",2.44,"259,018",1.97,"126,665",1.71,"132,353",2.22
2008M08,"490,765",2.00,"242,624",1.69,"248,141",2.31,"231,200",2.09,"115,720",1.73,"115,480",2.45,"259,565",1.93,"126,904",1.66,"132,661",2.19
2008M09,"491,722",2.02,"243,058",1.72,"248,664",2.31,"231,642",2.08,"115,918",1.73,"115,724",2.45,"260,080",1.96,"127,140",1.71,"132,940",2.19
2008M10,"492,548",2.02,"243,380",1.71,"249,168",2.32,"232,031",2.10,"116,052",1.72,"115,979",2.49,"260,517",1.95,"127,328",1.71,"133,189",2.18
2008M11,"493,285",2.03,"243,682",1.73,"249,603",2.33,"232,371",2.09,"116,187",1.72,"116,184",2.46,"260,914",1.98,"127,495",1.74,"133,419",2.21
