期間,授信部門-中央銀行_原始值,授信部門-中央銀行_年增率(%),授信部門-其他貨幣機構_原始值,授信部門-其他貨幣機構_年增率(%),授信部門-保險公司及退休基金_原始值,授信部門-保險公司及退休基金_年增率(%),授信部門-其他金融機構_原始值,授信部門-其他金融機構_年增率(%),受信部門-其他貨幣機構_原始值,受信部門-其他貨幣機構_年增率(%),受信部門-保險公司及退休基金_原始值,受信部門-保險公司及退休基金_年增率(%),受信部門-其他金融機構_原始值,受信部門-其他金融機構_年增率(%),受信部門-政府_原始值,受信部門-政府_年增率(%),受信部門-公營事業_原始值,受信部門-公營事業_年增率(%),受信部門-民營企業_原始值,受信部門-民營企業_年增率(%),受信部門-家庭及非營利團體_原始值,受信部門-家庭及非營利團體_年增率(%),受信部門-國外_原始值,受信部門-國外_年增率(%)
2003,-,--,"16,519,783",2.51,"1,028,477",-4.58,"392,744",19.27,"12,751",-50.41,"109,014",-12.37,"500,708",7.91,"1,953,329",-0.39,"463,874",-3.04,"5,375,882",-1.34,"8,434,614",5.77,"1,090,832",4.03
2004,-,--,"17,367,562",5.13,"995,821",-3.18,"432,425",10.10,"6,628",-48.02,"127,237",16.72,"444,703",-11.19,"1,920,234",-1.69,"483,166",4.16,"5,688,965",5.82,"9,104,407",7.94,"1,020,468",-6.45
2005,-,--,"18,644,401",7.35,"984,632",-1.12,"435,666",0.75,"4,486",-32.32,"150,114",17.98,"493,509",10.98,"1,785,416",-7.02,"527,221",9.12,"6,003,883",5.54,"9,828,287",7.95,"1,271,781",24.63
