期間,應提繳單位(家)_原始值,應提繳單位(家)_年增率(%),已繳納單位(家)_原始值,已繳納單位(家)_年增率(%),已繳率(%)_原始值,已繳率(%)_年增率(%),累計已繳納金額(千元)_原始值,累計已繳納金額(千元)_年增率(%),累計提繳本息(千元)_原始值,累計提繳本息(千元)_年增率(%),當期已墊付-事業單位(家)_原始值,當期已墊付-事業單位(家)_年增率(%),當期已墊付-人數(人)_原始值,當期已墊付-人數(人)_年增率(%),當期已墊付-金額(千元)_原始值,當期已墊付-金額(千元)_年增率(%),累計已墊付金額(千元)_原始值,累計已墊付金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
1999M02,"359,390",113.99,"338,400",115.90,94.16,-,"3,300,109",10.27,"4,670,708",13.35,...,...,...,...,...,...,"325,708",24.93,"4,345,000",12.56
1999M03,"352,886",67.72,"332,802",68.54,94.31,-,"3,330,698",10.49,"4,698,736",12.76,...,...,...,...,...,...,"330,736",25.22,"4,368,000",11.91
1999M04,"354,242",48.80,"333,101",50.93,94.03,-,"3,351,948",10.32,"4,763,965",13.24,...,...,...,...,...,...,"336,965",26.22,"4,427,000",12.36
1999M05,"354,750",48.45,"335,328",49.47,94.53,-,"3,390,484",10.69,"4,814,890",13.37,...,...,...,...,...,...,"346,890",29.94,"4,468,000",12.26
1999M06,"355,315",48.42,"334,581",49.97,94.16,-,"3,420,571",10.79,"4,866,960",13.46,...,...,...,...,...,...,"356,960",33.36,"4,510,000",12.13
1999M07,"355,966",41.57,"332,276",41.09,93.34,-,"3,450,474",10.83,"4,912,679",13.05,...,...,...,...,...,...,"358,679",33.95,"4,554,000",11.67
1999M08,"356,578",41.21,"333,867",41.57,93.63,-,"3,481,115",10.87,"4,958,844",12.96,...,...,...,...,...,...,"360,844",33.65,"4,598,000",11.60
1999M09,"355,934",40.24,"333,993",39.83,93.84,-,"3,511,696",10.96,"5,016,043",13.14,...,...,...,...,...,...,"376,043",36.93,"4,640,000",11.57
1999M10,"356,731",40.15,"333,532",39.04,93.50,-,"3,542,395",11.04,"5,064,393",13.01,...,...,...,...,...,...,"376,393",35.77,"4,688,000",11.51
1999M11,"357,238",40.19,"334,811",39.24,93.72,-,"3,573,315",11.12,"5,113,475",12.96,...,...,...,...,...,...,"382,475",34.35,"4,731,000",11.53
1999M12,"357,278",40.03,"332,461",39.38,93.05,-,"3,604,279",11.20,"5,160,874",12.87,...,...,...,...,...,...,"408,874",38.48,"4,752,000",11.11
2000M01,"357,825",-3.37,"334,655",-4.18,93.52,-,"3,635,763",11.16,"5,210,745",13.19,...,...,...,...,...,...,"415,745",34.75,"4,795,000",11.64
2000M02,"357,303",-0.58,"335,725",-0.79,93.96,-,"3,667,139",11.12,"5,252,942",12.47,...,...,...,...,...,...,"417,942",28.32,"4,835,000",11.28
2000M03,"358,340",1.55,"335,065",0.68,93.50,-,"3,698,683",11.05,"5,308,620",12.98,...,...,...,...,...,...,"450,620",36.25,"4,858,000",11.22
2000M04,"358,912",1.32,"336,475",1.01,93.75,-,"3,730,336",11.29,"5,370,014",12.72,...,...,...,...,...,...,"468,014",38.89,"4,902,000",10.73
