期間,提繳事業單位家數(家)_原始值,提繳事業單位家數(家)_年增率(%),家數提繳率(%)_原始值,家數提繳率(%)_年增率(%),提繳人數(人)_原始值,提繳人數(人)_年增率(%),人數提繳率(%)_原始值,人數提繳率(%)_年增率(%),提繳人數(人)-男_原始值,提繳人數(人)-男_年增率(%),提繳人數(人)-女_原始值,提繳人數(人)-女_年增率(%),平均提繳工資(元)_原始值,平均提繳工資(元)_年增率(%),實計提繳金額(千元)_原始值,實計提繳金額(千元)_年增率(%),實計核發退休金-件數(件)_原始值,實計核發退休金-件數(件)_年增率(%),實計核發退休金-金額(千元)_原始值,實計核發退休金-金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
2012M04,"438,214",3.38,94.30,-,"5,517,491",4.31,87.46,-,"2,829,082",4.13,"2,688,409",4.50,"33,815",2.06,"12,391,147",12.40,"2,935",-23.15,"316,994",17.09,"784,113,584",21.84
2012M05,"439,252",3.34,94.37,-,"5,526,999",4.40,87.53,-,"2,833,393",4.21,"2,693,606",4.60,"33,851",2.11,"12,602,641",6.61,"3,992",5.30,"440,299",74.65,"798,618,850",21.55
2012M06,"440,203",3.26,94.40,-,"5,544,712",4.54,87.38,-,"2,848,942",4.32,"2,695,770",4.78,"34,023",2.68,"11,796,778",4.43,"2,900",13.50,"305,347",34.11,"811,374,981",21.02
2012M07,"440,878",2.99,94.40,-,"5,588,104",3.60,87.33,-,"2,879,149",3.40,"2,708,955",3.82,"33,778",2.77,"12,810,876",15.69,"4,337",10.44,"419,082",48.45,"826,062,580",20.70
2012M08,"442,478",3.02,94.56,-,"5,613,174",3.96,87.81,-,"2,879,155",3.71,"2,734,019",4.23,"33,970",2.67,"12,642,667",4.65,"7,507",-7.29,"509,601",13.11,"840,122,286",20.92
2012M09,"443,537",2.92,94.62,-,"5,651,526",4.00,87.91,-,"2,893,369",3.74,"2,758,157",4.28,"34,184",2.41,"11,756,993",0.72,"6,947",6.55,"513,117",27.54,"847,394,203",18.62
2012M10,"443,392",2.54,94.70,-,"5,659,566",3.45,88.05,-,"2,897,981",3.24,"2,761,585",3.66,"34,195",2.33,"13,074,563",10.18,"8,152",49.03,"615,383",84.56,"859,145,448",19.50
2012M11,"443,372",2.22,94.79,-,"5,674,835",3.26,88.13,-,"2,906,421",3.11,"2,768,414",3.41,"34,233",2.34,"12,489,321",6.43,"9,431",63.22,"782,612",123.27,"869,536,373",18.82
2012M12,"443,008",1.99,94.89,-,"5,641,538",2.89,88.09,-,"2,893,920",2.82,"2,747,618",2.98,"34,314",2.40,"12,973,218",3.82,"7,717",49.93,"630,445",75.70,"884,124,826",19.03
2013M01,"443,800",2.07,94.98,-,"5,678,396",4.10,88.13,-,"2,918,062",4.18,"2,760,334",4.01,"34,316",1.65,"13,479,293",15.68,"6,430",140.28,"739,314",168.12,"905,081,099",20.99
2013M02,"444,379",1.99,95.03,-,"5,633,382",3.05,88.11,-,"2,886,105",2.97,"2,747,277",3.13,"34,581",2.25,"11,057,840",-2.58,"2,400",-9.54,"333,388",11.35,"922,175,801",21.37
2013M03,"445,446",1.90,95.10,-,"5,653,957",2.57,88.36,-,"2,897,747",2.52,"2,756,210",2.63,"34,576",2.44,"13,248,096",4.43,"5,001",48.93,"726,583",90.62,"940,517,400",21.41
2013M04,"446,793",1.96,95.19,-,"5,666,859",2.71,88.44,-,"2,904,466",2.66,"2,762,393",2.75,"34,716",2.66,"13,207,785",6.59,"4,181",42.45,"598,772",88.89,"951,932,851",21.40
2013M05,"447,753",1.94,95.26,-,"5,668,854",2.57,88.43,-,"2,906,416",2.58,"2,762,438",2.56,"34,743",2.64,"13,145,420",4.31,"5,559",39.25,"645,163",46.53,"971,256,326",21.62
2013M06,"448,640",1.92,95.30,-,"5,658,652",2.05,88.16,-,"2,911,353",2.19,"2,747,299",1.91,"34,826",2.36,"11,921,536",1.06,"3,632",25.24,"498,970",63.41,"983,702,316",21.24
2013M07,"449,616",1.98,95.31,-,"5,722,939",2.41,88.09,-,"2,951,675",2.52,"2,771,264",2.30,"34,584",2.39,"13,657,761",6.61,"7,208",66.20,"876,541",109.16,"1,000,358,601",21.10
2013M08,"451,536",2.05,95.43,-,"5,755,583",2.54,88.56,-,"2,954,256",2.61,"2,801,327",2.46,"34,694",2.13,"12,581,963",-0.48,"7,131",-5.01,"732,813",43.80,"1,012,357,683",20.50
2013M09,"452,010",1.91,95.47,-,"5,760,804",1.93,88.60,-,"2,950,785",1.98,"2,810,019",1.88,"34,936",2.20,"12,796,220",8.84,"6,728",-3.15,"724,275",41.15,"1,023,993,505",20.84
2013M10,"453,086",2.19,95.52,-,"5,797,392",2.44,88.67,-,"2,969,478",2.47,"2,827,914",2.40,"34,903",2.07,"13,854,835",5.97,"8,014",-1.69,"833,703",35.48,"1,035,660,393",20.55
2013M11,"454,482",2.51,95.56,-,"5,827,338",2.69,88.65,-,"2,984,888",2.70,"2,842,450",2.67,"34,932",2.04,"12,612,349",0.99,"6,968",-26.12,"713,450",-8.84,"1,054,159,899",21.23
