期間,新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%)
1991M08,"1,706",12.16,136,36.00,166,-6.21,124,-6.06,49,48.48,107,2.88,39,85.71,68,21.43,140,14.75,"6,394",14.59,511,39.02,623,-4.14,463,-4.07,185,53.07,402,5.70,146,92.81,256,23.96,523,16.59
1991M09,"1,676",10.26,146,25.86,170,-10.53,132,2.33,48,37.14,114,6.54,37,94.74,52,-3.70,144,25.22,"6,315",13.23,550,29.00,639,-8.39,499,5.25,180,39.89,430,10.04,139,97.29,195,-1.10,541,28.24
1991M10,"1,671",2.58,153,16.79,165,-2.94,133,-2.92,51,37.84,113,2.73,31,24.00,54,-6.90,128,-9.22,"6,336",5.97,579,20.12,625,0.49,504,-0.07,194,43.09,428,6.36,119,29.24,207,-2.89,487,-6.07
1991M11,"1,670",3.47,130,15.04,154,-8.33,123,-6.82,49,19.51,114,-0.87,39,30.00,55,-5.17,126,-12.50,"6,434",8.40,501,20.82,592,-4.12,473,-2.87,189,26.67,437,3.11,150,33.98,212,-0.19,486,-8.17
1991M12,"1,639",8.90,133,14.66,161,-5.29,119,-1.65,42,-6.67,110,7.84,39,30.00,56,-5.08,134,12.61,"6,379",14.91,518,21.23,626,0.05,465,4.24,164,-1.49,429,13.54,152,36.02,219,1.15,520,18.43
1992M01,"1,620",2.86,137,18.10,168,-10.64,116,-0.85,45,4.65,101,3.06,35,40.00,53,-10.17,140,12.90,"6,438",10.85,545,27.33,668,-3.57,460,6.73,180,13.94,402,11.47,141,54.97,209,-4.56,555,21.97
1992M02,"1,361",-6.84,123,17.14,145,-22.46,105,3.96,42,23.53,93,-5.10,33,50.00,41,-18.00,100,-11.50,"5,451",1.08,494,26.86,580,-15.81,422,13.05,168,34.60,371,2.73,131,64.62,165,-10.65,402,-3.52
1992M03,"1,721",-1.26,144,24.14,182,-5.21,149,1.36,46,24.32,123,-3.15,37,19.35,64,6.67,137,-9.27,"6,795",5.93,569,33.14,719,1.97,589,8.94,183,34.26,484,4.09,146,25.94,251,13.37,540,-2.97
1992M04,"1,817",6.69,149,22.13,203,3.57,137,-2.14,44,12.82,113,3.67,44,46.67,63,31.25,146,-5.19,"7,188",14.89,588,31.45,804,11.87,543,5.79,173,20.88,446,11.25,173,55.33,251,41.17,577,2.09
1992M05,"1,735",-2.64,136,7.94,175,-5.91,129,-1.53,46,2.22,126,-4.55,35,-5.41,70,34.62,145,-6.45,"6,936",6.05,544,17.19,702,2.71,514,6.99,183,11.03,502,3.79,140,2.10,281,48.42,578,1.45
