期間,經常帳,經常帳--商品--出口f.o.b,經常帳--商品--進口f.o.b,經常帳--商品貿易淨額,經常帳--服務--收入,經常帳--服務--支出,經常帳--商品與服務收支淨額,經常帳--所得--收入,經常帳--所得--支出,經常帳--商品、服務與所得收支淨額,經常帳--經常移轉--收入,經常帳--經常移轉--支出,資本帳,資本帳--收入,資本帳--支出,合計--經常帳+資本帳,金融帳,金融帳--對外直接投資,金融帳--來台直接投資,金融帳--證券投資(資產),金融帳--證券投資(資產)--股權證券,金融帳--證券投資(資產)--債權證券,金融帳--證券投資(負債),金融帳--證券投資(負債)--股權證券,金融帳--證券投資(負債)--債權證券,金融帳--衍生性金融商品,金融帳--衍生性金融商品(資產),金融帳--衍生性金融商品(負債),其他投資(資產),其他投資(資產)--貨幣當局,其他投資(資產)--政府,其他投資(資產)--銀行,其他投資(資產)--其他部門,其他投資(負債),其他投資(負債)--貨幣當局,其他投資(負債)--政府,其他投資(負債)--銀行,其他投資(負債)--其他部門,合計--經常帳+資本帳+金融帳,誤差與遺漏淨額,合計--經常帳+資本帳+金融帳+誤差與遺漏淨額,準備與相關項目,準備與相關項目--準備資產,準備與相關項目--基金信用的使用及自基金之借款,準備與相關項目--特殊融資
2005Q4,"9,559","54,821","-45,911","8,910","7,159","-8,262","7,807","4,609","-1,959","10,457",918,"-1,816",-55,1,-56,"9,504","-6,789","-2,205",281,"-9,848","-3,974","-5,874","13,046","13,627",-581,-256,363,-619,"-8,642",...,-9,"-7,196","-1,437",835,"1,703",-,"-1,367",499,"2,715","-2,085",630,-630,-630,-,-
2006Q1,"5,898","50,114","-45,991","4,123","7,181","-7,988","3,316","4,943","-1,309","6,950",956,"-2,008",-12,2,-14,"5,886","-3,551","-1,960","1,655","-10,613","-3,465","-7,148","3,588","4,480",-892,-96,247,-343,"7,399",...,1,"4,294","3,104","-3,524","-3,574",1,-82,131,"2,335",-93,"2,242","-2,242","-2,242",-,-
2006Q2,"4,944","55,772","-50,681","5,091","7,251","-8,412","3,930","4,467","-2,324","6,073",929,"-2,058",-43,-,-43,"4,901","-5,798","-1,684",965,"-10,820","-4,511","-6,309","4,868","5,291",-423,-367,593,-960,-429,...,3,"-3,303","2,871","1,669","-2,217",2,"3,211",673,-897,"1,379",482,-482,-482,-,-
2006Q3,"6,665","59,014","-52,130","6,884","7,497","-8,332","6,049","5,208","-3,757","7,500",987,"-1,822",-22,2,-24,"6,643","-4,093","-2,072","1,943","-9,932","-4,333","-5,599","2,647","2,524",123,-168,506,-674,"-9,004",...,1,"-7,860","-1,145","12,493","10,438",6,935,"1,114","2,550","-1,422","1,128","-1,128","-1,128",-,-
2006Q4,"8,815","58,885","-50,764","8,121","7,343","-8,083","7,381","4,720","-2,367","9,734",965,"-1,884",-41,-,-41,"8,774","-6,178","-1,683","2,861","-9,414","-6,158","-3,256","10,711","10,367",344,-334,584,-918,768,...,-9,"1,344",-567,"-9,087","-7,958",-3,"-2,071",945,"2,596",-362,"2,234","-2,234","-2,234",-,-
2007Q1,"9,875","54,404","-47,285","7,119","7,725","-8,046","6,798","5,526","-1,569","10,755","1,116","-1,996",-26,-,-26,"9,849","-11,025","-1,990","1,933","-10,956","-7,645","-3,311",-771,-11,-760,-399,498,-897,"1,461",...,5,-292,"1,748",-303,818,-7,"-1,718",604,"-1,176","1,545",369,-369,-369,-,-
2007Q2,"6,486","59,446","-54,383","5,063","7,779","-8,315","4,527","5,418","-2,530","7,415","1,187","-2,116",-19,1,-20,"6,467","-8,867","-2,155","1,814","-17,133","-13,848","-3,285","10,148","10,575",-427,94,774,-680,"-3,794",...,6,"-5,025","1,225","2,159","1,272",1,510,376,"-2,400",507,"-1,893","1,893","1,893",-,-
2007Q3,"6,962","64,702","-56,806","7,896","8,427","-9,345","6,978","6,482","-5,525","7,935","1,137","-2,110",-33,1,-34,"6,929","-13,305","-2,592","1,112","-8,778","-4,174","-4,604","-5,625","-5,654",29,47,"1,326","-1,279",-602,...,-2,-649,49,"3,133","-9,404",-,"11,856",681,"-6,376","-1,357","-7,733","7,733","7,733",-,-
2007Q4,"11,831","67,948","-57,581","10,367","9,355","-9,220","10,502","6,074","-3,744","12,832","1,249","-2,250",-18,1,-19,"11,813","-5,754","-4,370","2,910","-8,099","-10,030","1,931","1,152",689,463,-31,"1,093","-1,124","-3,912",...,2,"-4,192",278,"6,596",14,-,"5,470","1,112","6,059",-822,"5,237","-5,237","-5,237",-,-
2008Q1,"9,110","63,860","-59,572","4,288","9,526","-8,961","4,853","7,066","-1,952","9,967","1,373","-2,230",-271,-,-271,"8,839",516,"-3,165",597,"-6,323","-4,524","-1,799","9,313","2,529","6,784",831,"2,200","-1,369","-4,599",...,-3,"-9,452","4,856","3,862","-2,472",-,"3,725","2,609","9,355","1,967","11,322","-11,322","-11,322",-,-
