期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2010M01,"2,319,902",-26.36,"762,763",-3.30,"536,167",-22.53,"20,900",-,-,-,"515,267",-25.55,"197,967",-11.11,-,-,"11,869",-45.92,"9,185",52.30,"242,612",-63.38,"140,652",198.66,-,-,"2,376",-34.36,"416,311",-41.00,"968,799",-31.26,"557,504",-35.39,"8,956",-38.33,"125,141",-32.92,"20,904",31.05,"222,905",-24.61,"1,604",-82.79,"9,825",-74.32,"168,169",-44.43,1,0.00,"119,040","360,627.27","57,872",-49.28,"1,030",-95.29,"129,159",77.63,"3,195",-26.11,"424,208",-32.10,"60,124",-3.53
2010M02,"2,382,764",-25.92,"787,784",-7.29,"541,168",-17.90,"20,900",-,"1,717","28,516.67","518,551",-21.33,"210,710",9.67,-,-,"11,958",-42.88,"9,227",63.37,"214,582",-68.11,"196,010",324.26,-,-,"2,411",-14.78,"408,914",-46.70,"1,026,287",-23.30,"548,323",-40.49,"8,366",-44.29,"126,377",-33.30,"20,867",21.60,"222,451",-27.94,"1,395",-80.41,"9,081",-73.15,"159,786",-54.35,1,0.00,"130,814","384,647.06","66,819",-50.16,950,-93.75,"127,580",57.00,"3,195",-26.11,"419,209",-37.66,"60,536",-6.94
2010M03,"2,354,903",-22.22,"748,158",-14.35,"519,657",-20.20,"21,000",-,-,-,"498,657",-23.42,"189,820",15.67,-,-,"10,824",-45.37,"9,301",66.06,"302,383",-54.96,"152,913",218.38,-,-,"1,866",-28.59,"419,981",-29.01,"1,021,346",-14.55,"548,174",-44.06,"7,765",-48.01,"128,482",-35.93,"21,225",19.26,"216,308",-36.38,"1,269",-75.57,"8,789",-70.94,"164,336",-55.73,1,0.00,"91,585","9,302.98","66,591",-56.00,"1,229",-90.01,"135,740",37.26,"3,195",-26.11,"426,791",-19.68,"61,480",-6.43
2010M04,"2,518,916",-13.53,"780,197",-11.16,"541,126",-16.08,"18,600",-,-,-,"522,526",-18.96,"188,978",10.92,-,-,"11,288",-47.36,"8,951",62.48,"378,563",-34.21,"107,702",83.90,-,-,"1,860",-28.87,"500,251",-10.00,"1,033,934",-6.23,"570,956",-40.59,"7,817",-45.81,"140,546",-29.82,"20,728",16.34,"214,566",-37.53,"1,550",-63.01,"10,059",-64.78,"175,690",-50.14,1,0.00,"133,121","13,015.37","66,214",-52.87,"1,287",-75.68,"116,149",-7.08,"3,195",-26.11,"533,623",4.32,"61,723",-7.64
2010M05,"2,280,578",-21.25,"691,207",-19.76,"460,911",-27.50,"20,200",-,-,-,"440,711",-30.62,"140,874",-14.10,-,-,"8,545",-64.77,"8,847",50.15,"348,657",-30.89,"126,764",-24.05,-,-,"1,401",-43.80,"493,372",-7.07,"1,011,429",-2.44,"359,631",-61.10,"4,429",-72.66,"60,290",-67.84,"20,652",14.71,"139,201",-58.16,"1,419",-59.47,"10,881",-59.09,"122,759",-63.91,1,0.00,"142,812",115.31,"88,668",-31.37,"1,253",-71.86,"126,865",-24.59,"1,000",-76.87,"494,708",-0.90,"55,464",-17.96
2010M06,"2,121,828",-22.16,"618,657",-25.64,"465,623",-25.21,"14,800",-,-,-,"450,823",-27.48,"134,025",-15.13,-,-,"8,554",-58.44,"8,466",48.06,"360,687",-7.81,"71,739",-65.70,-,-,"1,487",-40.99,"452,590",-6.55,"966,402",0.25,"362,233",-60.00,"5,023",-67.03,"59,383",-68.50,"21,435",21.42,"136,458",-58.30,"1,352",-60.59,"11,377",-53.85,"127,205",-61.31,-,-,"63,408",-22.93,"78,320",-8.32,839,-77.94,"122,144",-24.71,"1,000",-76.87,"473,528",4.30,"54,793",-19.72
2010M07,"2,421,137",-11.15,"605,709",-31.94,"473,782",-24.73,"16,500",106.25,-,-,"457,282",-26.31,"146,250",-1.09,-,-,"9,760",-60.99,"8,115",36.85,"323,336",-21.38,"121,970",-17.50,-,-,"1,445",-40.46,"730,770",57.07,"1,008,947",9.01,"339,238",-61.70,"4,609",-68.44,"55,455",-70.46,"20,622",11.84,"129,912",-59.34,"1,352",-77.58,"11,978",-48.80,"115,310",-63.50,-,-,"52,439",-59.89,"85,177",3.40,831,-75.49,"122,221",-30.77,"1,000",-76.87,"756,148",64.38,"55,967",-6.39
2010M08,"2,255,469",-1.67,"623,643",-19.68,"506,106",-2.91,"16,500",-10.33,"1,500",-,"488,106",-2.94,"149,321",28.79,-,-,"9,544",-52.06,"8,422",40.74,"351,626",5.70,"151,977",1.02,-,-,"1,388",-28.82,"453,442",22.87,"1,135,982",14.55,"351,394",-42.83,"4,183",-51.37,"59,876",-50.99,"20,159",2.13,"129,988",-50.86,511,-89.59,"12,837",-37.37,"123,840",-28.89,-,-,"52,997",-58.30,"88,624",38.94,826,-72.08,"98,159",14.38,"1,000",-76.87,"470,373",32.41,"56,940",11.28
2010M09,"2,223,571",-1.62,"627,389",-18.05,"482,101",-8.46,"19,000",10.47,"1,500",-,"461,601",-9.39,"163,524",45.06,-,-,"7,920",-48.88,"8,447",43.17,"372,774",21.68,"97,066",-27.39,-,-,"1,427",-24.46,"462,923",18.12,"1,081,762",12.22,"352,976",-37.45,"4,548",-43.87,"61,813",-47.67,"20,740",3.66,"127,234",-45.64,511,-85.45,"13,491",-26.61,"124,639",-23.13,-,-,"70,362",-43.77,"86,927",44.27,"1,317",-45.69,"91,352",-8.76,"1,000",-64.60,"481,315",20.82,"57,877",28.15
2010M10,"2,245,509",0.07,"603,177",-18.27,"487,222",-6.42,"19,000",163.89,"1,511",-,"466,711",-9.10,"171,964",18.83,-,-,"7,297",-38.33,"7,795",-20.49,"364,337",26.11,"125,787",-23.26,-,-,"1,400",-25.81,"476,530",30.80,"1,037,764",11.03,"380,684",-33.84,"4,379",-45.18,"62,493",-49.59,"20,587",-0.87,"138,187",-41.78,511,-77.10,"13,553",-11.31,"140,974",-15.99,-,-,"65,249",-52.28,"85,139",24.31,806,-65.03,"81,541",-14.14,"1,000",-68.70,"535,370",45.03,"58,762",-4.27
