期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),02肉類_原始值,02肉類_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 2 類植物產品_原始值,第 2 類植物產品_年增率(%),黃豆_原始值,黃豆_年增率(%),玉米_原始值,玉米_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),22飲料及酒類_原始值,22飲料及酒類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),25粗鹽、石料及水泥_原始值,25粗鹽、石料及水泥_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),原油_原始值,原油_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),34界面活性劑、潤滑劑及擦光料_原始值,34界面活性劑、潤滑劑及擦光料_年增率(%),37感光或電影用品_原始值,37感光或電影用品_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第 8 類皮革及其製品_原始值,第 8 類皮革及其製品_年增率(%),第 9 類木及木製品_原始值,第 9 類木及木製品_年增率(%),44木及木製品_原始值,44木及木製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),47木漿及回收紙製品_原始值,47木漿及回收紙製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),62非針、鉤針織之衣著_原始值,62非針、鉤針織之衣著_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%)
1997M11,68.55,8.83,55.47,20.48,-,-,-,-,50.52,6.74,56.59,8.18,45.24,4.48,63.91,15.84,-,-,-,-,-,-,21.13,4.55,18.53,3.06,63.33,13.15,-,-,40.84,20.97,-,-,-,-,-,-,-,-,59.61,7.77,69.02,9.85,33.25,-3.09,67.00,17.67,71.63,15.31,-,-,73.56,17.12,-,-,-,-,69.71,13.39,-,-,-,-,-,-,38.81,14.99,-,-,-,-,28.02,10.01,69.72,21.72,-,-,-,-,-,-,75.04,5.28,-,-,-,-,-,-,-,-
1997M12,68.74,8.75,54.80,16.82,-,-,-,-,52.13,12.35,58.88,13.91,46.85,12.48,65.77,19.36,-,-,-,-,-,-,19.48,-8.72,16.30,-12.88,64.51,14.58,-,-,41.39,21.84,-,-,-,-,-,-,-,-,60.57,9.65,70.26,12.13,33.42,-3.19,67.66,17.71,72.62,17.03,-,-,73.41,18.67,-,-,-,-,70.96,15.31,-,-,-,-,-,-,39.40,16.50,-,-,-,-,28.46,9.76,69.98,19.62,-,-,-,-,-,-,74.80,6.13,-,-,-,-,-,-,-,-
1998M01,69.75,11.56,56.13,21.15,54.89,-,80.75,-,54.11,20.08,61.86,22.81,49.08,20.89,68.09,24.00,74.24,-,18.54,-,69.03,-,17.52,-16.89,13.89,-25.24,64.29,15.69,53.27,-,40.17,17.42,77.76,-,92.81,-,95.93,-,132.91,-,62.45,13.96,73.08,17.62,33.74,-1.66,68.12,19.89,73.91,18.96,73.91,-,75.66,20.69,56.64,-,94.00,-,72.80,18.32,102.29,-,133.32,-,146.34,-,40.60,19.66,40.04,-,63.70,-,28.89,15.10,71.80,19.93,165.19,-,110.68,-,219.86,-,74.67,8.94,74.67,-,134.54,-,136.85,-,92.86,-
1998M02,66.90,8.55,54.03,14.91,50.38,-,77.95,-,52.03,16.24,58.60,16.36,47.04,16.67,66.82,21.40,72.16,-,16.91,-,67.46,-,15.73,-17.30,12.39,-23.94,61.20,9.58,50.89,-,37.05,6.86,76.12,-,91.64,-,94.48,-,130.47,-,60.22,8.86,70.03,11.46,33.45,-2.56,65.13,13.61,67.91,9.60,67.91,-,71.48,13.08,56.61,-,85.46,-,70.49,14.79,99.63,-,129.80,-,142.53,-,38.85,12.02,38.76,-,61.91,-,27.49,1.07,66.77,10.82,160.50,-,108.57,-,212.16,-,74.62,12.82,74.62,-,127.52,-,129.54,-,91.28,-
1998M03,64.52,4.93,53.87,11.12,48.60,-,77.90,-,50.04,4.97,57.29,-2.47,43.68,5.03,66.30,20.92,71.32,-,15.85,-,64.96,-,14.59,-20.45,11.24,-28.36,59.22,6.19,49.68,-,35.36,0.68,75.47,-,91.64,-,94.08,-,126.32,-,59.02,7.17,68.61,9.32,32.86,-2.20,62.17,7.06,66.07,3.61,66.07,-,68.91,10.82,53.38,-,83.67,-,68.75,12.54,100.89,-,128.30,-,140.88,-,38.15,8.60,37.90,-,61.19,-,27.05,-2.21,66.52,7.67,153.37,-,104.92,-,201.09,-,72.51,9.23,72.51,-,122.95,-,124.81,-,90.55,-
1998M04,64.31,5.39,53.81,8.91,49.38,-,77.64,-,49.10,0.22,53.22,-11.18,43.32,0.88,67.18,21.95,72.46,-,16.50,-,68.24,-,15.22,-11.41,11.98,-19.16,58.44,4.04,50.75,-,33.66,-5.82,79.96,-,95.01,-,95.82,-,127.62,-,57.80,5.00,67.06,6.61,32.47,-1.87,61.45,5.91,65.37,2.44,65.37,-,70.85,12.73,55.50,-,85.36,-,69.59,12.90,99.55,-,128.97,-,141.34,-,38.75,10.94,38.22,-,62.17,-,28.62,4.26,66.39,8.94,150.72,-,104.97,-,194.98,-,72.41,10.89,72.41,-,120.91,-,122.58,-,91.50,-
1998M05,64.08,3.35,54.12,8.61,47.85,-,79.99,-,49.38,0.08,54.79,-9.96,42.77,-0.44,67.89,23.35,73.52,-,16.98,-,67.59,-,15.77,-12.87,12.84,-19.80,57.87,2.42,50.16,-,33.38,-7.89,77.19,-,95.71,-,96.77,-,125.28,-,57.27,4.47,66.37,5.79,32.31,-1.13,65.72,12.19,66.49,3.57,66.49,-,72.13,10.68,57.12,-,86.24,-,69.95,12.82,100.80,-,130.84,-,143.40,-,38.44,8.50,37.81,-,63.08,-,27.99,-0.07,66.47,7.37,148.26,-,105.09,-,189.18,-,71.58,5.58,71.58,-,120.89,-,122.43,-,92.37,-
1998M06,64.54,3.36,55.28,10.36,47.27,-,81.46,-,50.71,4.00,55.88,-6.07,44.14,3.57,69.15,24.37,75.76,-,16.94,-,69.53,-,15.61,-9.87,12.39,-18.49,58.52,2.76,52.47,-,33.55,-8.53,78.95,-,96.53,-,98.61,-,127.72,-,57.95,6.80,67.06,8.25,32.90,0.49,67.32,14.41,68.25,5.31,68.25,-,74.42,10.55,59.21,-,88.68,-,70.70,12.78,104.12,-,132.21,-,145.89,-,38.70,7.47,38.21,-,65.00,-,27.92,-7.46,66.95,7.98,148.43,-,106.07,-,188.20,-,71.48,1.87,71.48,-,121.19,-,122.57,-,94.39,-
1998M07,63.88,2.70,54.95,9.75,49.97,-,82.92,-,49.27,4.99,53.76,-5.27,43.13,6.26,68.82,23.22,75.54,-,16.74,-,69.34,-,15.39,-11.40,12.62,-16.31,56.34,-0.70,52.55,-,31.48,-15.15,79.56,-,96.96,-,95.32,-,123.70,-,56.45,5.77,65.46,6.93,31.77,1.11,66.89,14.15,66.73,3.63,66.73,-,74.64,7.50,57.33,-,91.15,-,69.73,11.00,103.76,-,131.83,-,145.47,-,38.45,6.84,37.79,-,64.81,-,28.16,-5.95,66.12,6.75,148.46,-,105.77,-,188.69,-,71.14,1.34,71.14,-,119.34,-,120.68,-,94.06,-
1998M08,63.82,0.38,54.19,5.84,50.40,-,83.64,-,47.90,3.12,53.37,-2.91,40.53,-0.81,69.52,19.39,76.19,-,16.87,-,70.29,-,15.49,-13.75,12.80,-18.16,56.18,-3.10,51.27,-,31.27,-17.28,80.08,-,97.74,-,95.44,-,123.72,-,55.82,1.79,64.34,2.24,32.24,0.16,66.87,11.43,67.67,2.34,67.67,-,72.92,2.11,54.40,-,90.80,-,69.24,7.80,104.58,-,131.54,-,144.82,-,38.49,3.63,37.87,-,65.80,-,27.83,-8.66,66.62,4.14,148.79,-,105.45,-,189.90,-,70.49,-0.33,70.49,-,118.56,-,119.76,-,94.36,-
1998M09,64.02,1.35,53.27,4.37,47.72,-,84.62,-,46.34,1.11,52.70,-1.90,38.61,-3.93,69.43,19.52,76.00,-,17.35,-,69.69,-,16.06,-13.38,13.69,-14.49,55.49,-3.58,49.40,-,29.87,-20.01,79.92,-,99.93,-,95.42,-,125.47,-,54.79,0.38,62.95,0.11,32.06,2.23,66.57,12.37,68.13,2.27,68.13,-,70.44,2.15,50.66,-,89.75,-,68.86,8.12,102.19,-,132.15,-,145.72,-,37.88,3.64,37.05,-,62.04,-,27.87,-2.69,67.52,5.80,150.25,-,108.28,-,189.22,-,74.92,8.08,74.92,-,121.44,-,122.63,-,94.81,-
1998M10,61.63,-4.64,50.85,-0.78,47.58,-,78.56,-,42.85,-6.64,47.72,-10.28,36.18,-8.91,66.97,12.42,72.62,-,16.34,-,66.76,-,15.07,-23.85,12.86,-27.06,53.01,-9.98,46.65,-,27.75,-26.88,77.24,-,94.71,-,92.74,-,122.60,-,52.96,-5.29,61.45,-4.63,29.73,-7.38,61.82,0.65,66.46,-2.88,66.46,-,63.71,-8.01,47.16,-,79.72,-,64.94,-0.05,97.83,-,126.28,-,139.24,-,35.07,-5.09,33.59,-,56.18,-,26.33,-6.30,65.01,-0.72,147.09,-,108.60,-,181.57,-,78.21,9.97,78.21,-,120.92,-,122.20,-,92.64,-
1998M11,60.35,-11.96,49.21,-11.29,45.86,-,74.70,-,42.54,-15.80,47.29,-16.43,36.05,-20.31,65.55,2.57,71.48,-,16.03,-,65.82,-,14.77,-30.10,11.75,-36.59,51.35,-18.92,46.53,-,26.87,-34.21,78.00,-,91.64,-,86.08,-,117.55,-,52.42,-12.06,61.12,-11.45,28.77,-13.47,60.96,-9.01,66.21,-7.57,66.21,-,63.42,-13.78,47.22,-,79.06,-,63.44,-8.99,96.10,-,120.43,-,131.64,-,33.84,-12.81,32.40,-,53.78,-,25.07,-10.53,62.16,-10.84,144.21,-,106.64,-,177.77,-,76.79,2.33,76.79,-,120.20,-,121.65,-,91.54,-
1998M12,59.77,-13.05,48.97,-10.64,47.46,-,72.10,-,42.05,-19.34,46.20,-21.54,35.85,-23.48,64.46,-1.99,70.95,-,14.76,-,65.12,-,13.35,-31.47,10.20,-37.42,51.62,-19.98,46.32,-,27.21,-34.26,77.58,-,92.16,-,85.65,-,116.31,-,51.93,-14.26,60.82,-13.44,27.96,-16.34,61.97,-8.41,66.44,-8.51,66.44,-,63.55,-13.43,48.02,-,78.48,-,62.99,-11.23,96.59,-,119.54,-,130.67,-,33.03,-16.17,31.87,-,51.37,-,24.15,-15.14,60.77,-13.16,144.54,-,107.00,-,178.03,-,77.66,3.82,77.66,-,119.89,-,121.29,-,91.21,-
1999M01,59.82,-14.24,49.35,-12.08,49.34,-10.11,71.67,-11.24,42.10,-22.20,46.06,-25.54,36.38,-25.88,64.73,-4.93,70.86,-4.55,14.64,-21.04,62.91,-8.87,13.28,-24.20,10.47,-24.62,51.66,-19.65,45.13,-15.28,27.27,-32.11,77.02,-0.95,92.91,0.11,85.14,-11.25,115.42,-13.16,50.92,-18.46,59.38,-18.75,27.94,-17.19,59.66,-12.42,66.51,-10.01,66.51,-10.01,64.04,-15.36,48.99,-13.51,78.43,-16.56,62.98,-13.49,96.43,-5.73,119.39,-10.45,130.51,-10.82,32.67,-19.53,31.58,-21.13,51.30,-19.47,23.46,-18.80,60.46,-15.79,145.54,-11.90,108.05,-2.38,178.82,-18.67,78.80,5.53,78.80,5.53,121.07,-10.01,122.60,-10.41,91.50,-1.46
1999M02,59.79,-10.63,50.20,-7.09,52.72,4.64,71.34,-8.48,42.82,-17.70,46.40,-20.82,37.28,-20.75,64.15,-4.00,72.24,0.11,14.34,-15.20,63.44,-5.96,12.91,-17.93,9.86,-20.42,51.73,-15.47,44.68,-12.20,27.40,-26.05,77.53,1.85,91.92,0.31,85.47,-9.54,115.99,-11.10,50.89,-15.49,59.25,-15.39,28.12,-15.93,59.85,-8.11,68.22,0.46,68.22,0.46,67.13,-6.09,50.64,-10.55,82.97,-2.91,63.28,-10.23,97.32,-2.32,120.47,-7.19,131.68,-7.61,32.76,-15.68,31.79,-17.98,51.77,-16.38,23.07,-16.08,60.27,-9.73,145.32,-9.46,107.09,-1.36,179.66,-15.32,77.61,4.01,77.61,4.01,120.26,-5.69,121.82,-5.96,91.76,0.53
1999M03,60.62,-6.04,50.77,-5.75,53.68,10.45,72.31,-7.18,43.49,-13.09,47.35,-17.35,37.97,-13.07,64.52,-2.68,73.54,3.11,15.85,0.00,63.52,-2.22,14.62,0.21,12.59,12.01,51.61,-12.85,44.64,-10.14,27.14,-23.25,78.59,4.13,90.58,-1.16,86.63,-7.92,117.16,-7.25,51.42,-12.88,59.97,-12.59,28.22,-14.12,60.49,-2.70,72.15,9.20,72.15,9.20,68.79,-0.17,52.16,-2.29,84.74,1.28,64.70,-5.89,99.11,-1.76,122.65,-4.40,134.07,-4.83,33.35,-12.58,32.46,-14.35,52.70,-13.87,23.23,-14.12,59.89,-9.97,144.98,-5.47,107.13,2.11,178.84,-11.06,77.37,6.70,77.37,6.70,120.64,-1.88,122.19,-2.10,92.47,2.12
1999M04,60.39,-6.10,49.64,-7.75,52.32,5.95,72.36,-6.80,43.16,-12.10,47.02,-11.65,38.41,-11.33,64.12,-4.55,73.03,0.79,17.21,4.30,63.00,-7.68,16.35,7.42,14.87,24.12,50.31,-13.91,44.42,-12.47,26.12,-22.40,78.18,-2.23,89.23,-6.08,86.96,-9.25,113.56,-11.02,51.40,-11.07,60.10,-10.38,27.87,-14.17,60.42,-1.68,71.77,9.79,71.77,9.79,65.34,-7.78,50.49,-9.03,79.47,-6.90,64.39,-7.47,98.33,-1.23,120.68,-6.43,131.65,-6.86,33.60,-13.29,32.47,-15.04,52.34,-15.81,23.73,-17.09,61.57,-7.26,142.23,-5.63,105.97,0.95,174.21,-10.65,76.57,5.75,76.57,5.75,120.37,-0.45,122.00,-0.47,91.97,0.51
1999M05,59.94,-6.46,48.74,-9.94,49.32,3.07,72.03,-9.95,42.19,-14.56,46.83,-14.53,36.25,-15.24,63.67,-6.22,72.70,-1.12,17.87,5.24,62.73,-7.19,17.11,8.50,15.29,19.08,50.26,-13.15,44.39,-11.50,26.42,-20.85,77.91,0.93,88.67,-7.36,86.57,-10.54,111.61,-10.91,51.57,-9.95,60.49,-8.86,27.53,-14.79,60.71,-7.62,72.26,8.68,72.26,8.68,65.73,-8.87,52.56,-7.98,78.03,-9.52,63.73,-8.89,95.30,-5.46,118.89,-9.13,129.40,-9.76,33.75,-12.20,32.55,-13.91,47.97,-23.95,23.79,-15.01,62.56,-5.88,138.68,-6.46,104.70,-0.37,167.91,-11.24,75.37,5.29,75.37,5.29,118.79,-1.74,120.37,-1.68,91.46,-0.99
