期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),水污染_原始值,水污染_年增率(%),水污染_原始值,水污染_年增率(%),廢棄物_原始值,廢棄物_年增率(%),廢棄物_原始值,廢棄物_年增率(%),空氣污染_原始值,空氣污染_年增率(%),空氣污染_原始值,空氣污染_年增率(%),噪音_原始值,噪音_年增率(%),噪音_原始值,噪音_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),環境用藥_原始值,環境用藥_年增率(%),環境用藥_原始值,環境用藥_年增率(%),飲用水_原始值,飲用水_年增率(%),飲用水_原始值,飲用水_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2001M01,"2,984",...,165,...,657,...,48,...,"1,257",...,94,...,556,...,17,...,26,...,6,...,312,...,0,...,0,...,0,...,157,...,0,...,4,...,0,...,13,...,0,...,2,...,0,...,0,...,0,...
2001M02,"3,485",...,279,...,824,...,59,...,"1,289",...,186,...,682,...,25,...,77,...,9,...,388,...,0,...,0,...,0,...,164,...,0,...,5,...,0,...,19,...,0,...,36,...,0,...,1,...,0,...
2001M03,"3,964",...,343,...,"1,038",...,84,...,"1,132",...,199,...,910,...,45,...,49,...,8,...,525,...,7,...,0,...,0,...,198,...,0,...,17,...,0,...,43,...,0,...,30,...,0,...,22,...,0,...
2001M04,"3,165",...,222,...,811,...,54,...,"1,054",...,143,...,580,...,14,...,31,...,7,...,330,...,4,...,0,...,0,...,285,...,0,...,8,...,0,...,36,...,0,...,30,...,0,...,0,...,0,...
2001M05,"4,125",...,303,...,961,...,62,...,"1,560",...,192,...,844,...,40,...,16,...,6,...,517,...,3,...,0,...,0,...,97,...,0,...,4,...,0,...,30,...,0,...,30,...,0,...,66,...,0,...
2001M06,"4,285",...,284,...,"1,010",...,94,...,"1,432",...,136,...,933,...,37,...,15,...,2,...,544,...,15,...,0,...,0,...,82,...,0,...,7,...,0,...,173,...,0,...,7,...,0,...,82,...,0,...
2001M07,"6,757",...,273,...,"1,623",...,129,...,"2,363",...,107,...,"1,955",...,35,...,6,...,1,...,405,...,1,...,0,...,0,...,238,...,0,...,21,...,0,...,57,...,0,...,0,...,0,...,89,...,0,...
2001M08,"5,120",...,235,...,"1,084",...,99,...,"1,452",...,109,...,"1,311",...,23,...,12,...,1,...,702,...,1,...,0,...,0,...,233,...,0,...,14,...,2,...,34,...,0,...,0,...,0,...,278,...,0,...
2001M09,"6,124",...,154,...,790,...,58,...,"2,490",...,76,...,"2,242",...,16,...,6,...,0,...,420,...,2,...,0,...,0,...,73,...,0,...,4,...,2,...,6,...,0,...,0,...,0,...,93,...,0,...
2001M10,"5,089",...,274,...,"1,015",...,92,...,"1,897",...,155,...,"1,240",...,21,...,40,...,3,...,416,...,1,...,0,...,0,...,224,...,0,...,15,...,2,...,109,...,0,...,0,...,0,...,133,...,0,...
