期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%)
1990M01,"8,208",-1.01,"5,152",-0.09,"3,056",-2.54,"1,033",-1.15,737,-1.94,295,0.90,21,-19.52,18,-19.38,3,-20.29,"2,694",-4.28,"1,594",-0.48,"1,100",-9.31,36,2.97,31,1.94,5,10.54,641,1.41,575,2.77,66,-9.15,"1,595",-1.37,905,-0.48,690,-2.51,434,-2.56,365,-4.32,69,7.84,216,19.24,113,19.26,104,19.22,141,16.98,79,20.50,62,12.75,"1,067",2.04,511,-1.49,556,5.50,331,0.13,224,1.29,106,-2.24
1990M02,"8,165",-0.61,"5,154",0.36,"3,011",-2.21,"1,045",-1.30,743,-3.33,302,4.09,21,-19.32,18,-18.56,3,-23.32,"2,644",-4.19,"1,580",-0.49,"1,065",-9.22,36,2.81,31,1.55,5,12.28,652,6.24,586,7.72,66,-5.34,"1,547",-5.24,882,-4.77,666,-5.85,445,-0.92,378,-2.51,67,9.24,226,21.76,117,19.26,109,24.54,141,16.54,78,19.41,63,13.13,"1,066",3.68,508,2.93,559,4.38,342,12.07,233,9.97,109,16.88
1990M03,"8,197",-0.72,"5,132",-0.58,"3,065",-0.95,"1,024",-4.84,723,-7.32,301,1.70,21,-21.86,18,-20.99,3,-26.41,"2,645",-6.09,"1,559",-4.16,"1,086",-8.73,36,3.16,31,2.01,5,11.74,664,9.83,596,10.78,67,2.01,"1,565",-1.91,877,-2.81,689,-0.73,459,3.65,390,2.71,68,9.35,229,18.90,114,12.33,114,26.28,138,1.29,76,-1.32,62,4.65,"1,094",6.36,527,6.20,567,6.51,323,6.78,221,6.57,102,7.24
1990M04,"8,210",-0.24,"5,121",-0.41,"3,088",0.05,"1,044",-0.73,731,-3.10,313,5.29,20,-22.09,17,-22.77,3,-17.98,"2,636",-6.65,"1,552",-5.12,"1,084",-8.77,36,1.58,31,0.11,5,12.68,675,8.42,602,8.36,73,8.88,"1,620",1.26,911,0.71,709,1.98,429,1.42,365,1.15,64,2.99,210,12.62,98,7.36,112,17.71,145,12.16,85,14.34,60,9.23,"1,088",7.23,524,5.05,565,9.34,306,-3.18,205,-3.92,101,-1.62
1990M05,"8,196",-0.26,"5,120",-0.21,"3,075",-0.34,"1,008",-1.91,715,-1.91,293,-1.93,20,-20.66,17,-21.35,3,-16.72,"2,652",-5.86,"1,546",-4.87,"1,106",-7.22,36,2.64,31,1.69,5,9.42,711,13.46,634,14.03,78,8.99,"1,618",-0.01,913,-1.41,705,1.86,403,-0.34,341,-2.57,62,13.94,195,12.75,95,10.91,101,14.55,150,12.58,88,19.62,62,3.89,"1,087",3.76,531,0.96,555,6.60,316,2.16,209,0.79,106,4.96
1990M06,"8,214",0.21,"5,139",0.21,"3,075",0.22,999,-0.84,704,-2.26,295,2.70,20,-22.81,16,-23.25,3,-20.59,"2,689",-4.25,"1,573",-3.00,"1,116",-5.96,36,2.09,31,1.07,5,9.54,700,16.23,622,15.41,78,23.23,"1,606",-0.62,907,-0.45,699,-0.84,425,0.55,357,-2.61,69,20.89,205,14.90,100,11.86,105,17.93,137,6.92,79,9.84,58,3.18,"1,087",1.78,544,-1.80,543,5.63,311,1.94,206,1.52,105,2.78
1990M07,"8,301",0.73,"5,192",1.00,"3,109",0.28,"1,093",3.55,764,1.87,329,7.67,18,-25.85,16,-24.76,2,-32.20,"2,713",-3.99,"1,594",-2.41,"1,119",-6.17,36,1.23,31,-0.01,5,10.30,642,10.55,576,10.70,66,9.28,"1,626",0.01,921,0.85,705,-1.08,443,2.20,370,-0.91,73,21.41,215,13.84,103,9.61,113,17.98,144,10.35,81,9.96,63,10.84,"1,076",3.74,543,1.90,532,5.68,295,-2.61,194,-2.30,101,-3.19
1990M08,"8,435",0.96,"5,195",0.47,"3,240",1.74,"1,100",1.92,748,-1.77,352,10.76,19,-20.22,16,-20.72,3,-17.31,"2,684",-6.04,"1,561",-4.06,"1,123",-8.66,36,0.76,31,-0.05,5,6.56,682,13.14,603,13.19,78,12.77,"1,651",2.37,914,0.41,736,4.93,473,4.22,397,4.40,76,3.30,222,9.09,102,2.07,120,15.85,150,15.20,73,2.23,77,30.95,"1,118",6.63,543,2.91,574,10.40,300,-2.58,205,-0.63,95,-6.50
1990M09,"8,356",1.19,"5,174",0.77,"3,182",1.89,"1,125",3.17,778,1.30,347,7.64,21,-12.76,18,-11.83,3,-17.60,"2,612",-7.28,"1,536",-5.18,"1,076",-10.12,36,0.41,31,-0.07,5,3.74,675,10.01,605,10.58,70,5.34,"1,647",4.40,918,2.37,729,7.08,449,5.17,367,2.15,82,21.29,232,13.28,107,5.58,125,20.83,158,26.39,78,14.90,80,40.18,"1,107",6.71,532,3.30,575,10.06,295,-3.48,203,-1.76,92,-7.09
1990M10,"8,346",0.98,"5,226",1.52,"3,120",0.08,"1,130",0.55,803,2.58,327,-4.11,20,-9.38,17,-8.84,3,-12.32,"2,590",-6.30,"1,536",-4.42,"1,054",-8.92,36,0.23,31,-0.27,5,3.75,666,5.49,605,6.92,61,-6.91,"1,661",6.36,936,5.78,726,7.13,440,3.94,354,-1.37,85,33.75,229,13.78,112,10.37,117,17.24,161,14.59,90,8.44,71,23.42,"1,112",4.48,537,5.49,576,3.56,301,1.40,206,0.05,95,4.46
