期間,發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%)
1987,4,-42.86,...,...,...,...,...,...,...,...,526,-92.22,...,...,...,...,...,...,...,...,"1,356",-95.75,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,65,-48.00,...,...,...,...,...,...,...,...,14,-36.36,...,...,...,...,...,...,...,...,47,-91.30,...,...,...,...,...,...,...,...
1988,7,75.00,...,...,...,...,...,...,...,...,62,-88.21,...,...,...,...,...,...,...,...,95,-92.99,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26,-60.00,...,...,...,...,...,...,...,...,7,-50.00,...,...,...,...,...,...,...,...,7,-85.11,...,...,...,...,...,...,...,...
1989,2,-71.43,...,...,...,...,...,...,...,...,495,698.39,...,...,...,...,...,...,...,...,809,751.58,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,49,88.46,...,...,...,...,...,...,...,...,20,185.71,...,...,...,...,...,...,...,...,50,614.29,...,...,...,...,...,...,...,...
1990,9,350.00,...,...,...,...,...,...,...,...,186,-62.42,...,...,...,...,...,...,...,...,333,-58.84,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,75,53.06,...,...,...,...,...,...,...,...,18,-10.00,...,...,...,...,...,...,...,...,41,-18.00,...,...,...,...,...,...,...,...
1991,7,-22.22,...,...,...,...,...,...,...,...,52,-72.04,...,...,...,...,...,...,...,...,162,-51.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,-92.00,...,...,...,...,...,...,...,...,8,-55.56,...,...,...,...,...,...,...,...,22,-46.34,...,...,...,...,...,...,...,...
1992,4,-42.86,...,...,...,...,...,...,...,...,13,-75.00,...,...,...,...,...,...,...,...,4,-97.53,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,33.33,...,...,...,...,...,...,...,...,6,-25.00,...,...,...,...,...,...,...,...,15,-31.82,...,...,...,...,...,...,...,...
1993,5,25.00,...,...,...,...,...,...,...,...,0,-100.00,...,...,...,...,...,...,...,...,50,"1,150.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,-62.50,...,...,...,...,...,...,...,...,1,-83.33,...,...,...,...,...,...,...,...,6,-60.00,...,...,...,...,...,...,...,...
1994,8,60.00,...,...,...,...,...,...,...,...,240,--,...,...,...,...,...,...,...,...,651,"1,202.00",...,...,...,...,...,...,...,...,"124,717",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,62,"1,966.67",...,...,...,...,...,...,...,...,11,"1,000.00",...,...,...,...,...,...,...,...,117,"1,850.00",...,...,...,...,...,...,...,...
1995,7,-12.50,...,...,...,...,...,...,...,...,20,-91.67,...,...,...,...,...,...,...,...,33,-94.93,...,...,...,...,...,...,...,...,163,-99.87,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10,-83.87,...,...,...,...,...,...,...,...,26,136.36,...,...,...,...,...,...,...,...,30,-74.36,...,...,...,...,...,...,...,...
1996,6,-14.29,...,...,...,...,...,...,...,...,505,"2,425.00",...,...,...,...,...,...,...,...,882,"2,572.73",...,...,...,...,...,...,...,...,"7,500","4,501.23",...,...,...,...,...,...,...,...,"7,374",...,...,...,...,...,...,...,...,...,56,460.00,...,...,...,...,...,...,...,...,22,-15.38,...,...,...,...,...,...,...,...,475,"1,483.33",...,...,...,...,...,...,...,...
