期間,總計-人數- 計(人)_原始值,總計-人數- 計(人)_年增率(%),總計-人數- 男(人)_原始值,總計-人數- 男(人)_年增率(%),總計-人數- 女(人)_原始值,總計-人數- 女(人)_年增率(%),總計-金額(元)_原始值,總計-金額(元)_年增率(%),低收入戶-1款(省)、0類(北)、 1類(高)-人數(人)_原始值,低收入戶-1款(省)、0類(北)、 1類(高)-人數(人)_年增率(%),低收入戶-1款(省)、0類(北)、 1類(高)-金額(元)_原始值,低收入戶-1款(省)、0類(北)、 1類(高)-金額(元)_年增率(%),低收入戶-2款(省) 、1、2類(北)、2類(高)-人數(人)_原始值,低收入戶-2款(省) 、1、2類(北)、2類(高)-人數(人)_年增率(%),低收入戶-2款(省) 、1、2類(北)、2類(高)-金額(元)_原始值,低收入戶-2款(省) 、1、2類(北)、2類(高)-金額(元)_年增率(%),低收入戶-3款(省) 、3、4類(北)、3類(高)-人數(人)_原始值,低收入戶-3款(省) 、3、4類(北)、3類(高)-人數(人)_年增率(%),低收入戶-3款(省) 、3、4類(北)、3類(高)-金額(元)_原始值,低收入戶-3款(省) 、3、4類(北)、3類(高)-金額(元)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-人數(人)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-人數(人)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-金額(元)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-金額(元)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-人數(人)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-人數(人)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-金額(元)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-金額(元)_年增率(%)
2004M05,"160,736",-7.81,"77,792",-8.35,"82,944",-7.29,"778,032,098",-5.89,"2,207",-15.28,"13,280,800",-15.26,"6,189",-15.09,"36,954,650",-14.84,"7,277",-7.17,"43,197,386",-6.77,"87,943",-1.03,"516,834,578",-0.76,"57,120",-15.69,"167,764,684",-16.32
2004M06,"158,901",-9.05,"76,816",-9.63,"82,085",-8.51,"771,690,750",-6.93,"2,221",-14.28,"13,430,800",-13.95,"6,202",-14.83,"37,077,070",-14.95,"7,413",-6.09,"44,125,716",-5.72,"87,407",-1.83,"513,699,620",-1.59,"55,658",-18.05,"163,357,544",-18.77
2004M07,"158,299",-9.62,"76,513",-10.30,"81,786",-8.97,"768,083,615",-7.63,"2,220",-13.59,"13,352,800",-13.62,"6,200",-15.03,"37,086,100",-14.95,"7,420",-6.94,"44,008,349",-6.94,"87,215",-2.34,"511,626,230",-2.34,"55,244",-18.75,"162,010,136",-19.52
2004M08,"157,986",-9.50,"76,393",-10.34,"81,593",-8.69,"767,026,034",-7.41,"2,204",-13.77,"13,366,770",-13.25,"6,160",-15.56,"36,770,360",-15.64,"7,404",-8.08,"43,603,672",-8.69,"87,222",-2.19,"511,892,260",-1.95,"54,996",-18.50,"161,392,972",-19.13
2004M09,"157,571",-9.67,"75,732",-10.90,"81,839",-8.49,"766,477,166",-7.46,"2,188",-14.70,"13,195,827",-14.51,"6,134",-15.86,"36,576,940",-15.92,"7,434",-7.94,"44,122,328",-7.71,"87,279",-1.96,"512,371,845",-1.83,"54,536",-19.17,"160,210,226",-19.73
2004M10,"157,248",-9.81,"75,525",-10.92,"81,723",-8.75,"764,912,812",-7.50,"2,190",-13.78,"13,184,800",-13.67,"6,121",-15.86,"36,490,603",-15.80,"7,465",-8.27,"44,136,108",-8.33,"87,258",-2.00,"512,098,685",-1.69,"54,214",-19.51,"159,002,616",-20.21
2004M11,"156,810",-9.98,"75,346",-11.09,"81,464",-8.93,"763,613,194",-7.59,"2,175",-15.04,"13,154,800",-14.76,"6,074",-15.56,"36,282,390",-15.82,"7,483",-7.72,"44,178,290",-7.94,"87,231",-2.15,"512,134,790",-1.91,"53,847",-19.85,"157,862,924",-20.13
2004M12,"156,446",-10.06,"75,185",-11.14,"81,261",-9.05,"761,205,130",-7.61,"2,150",-14.21,"12,908,800",-14.30,"6,044",-15.79,"35,951,024",-15.74,"7,459",-8.08,"44,133,286",-7.81,"87,064",-2.35,"510,789,700",-2.01,"53,729",-19.80,"157,422,320",-20.09
2005M01,"148,280",-8.99,"71,761",-8.79,"76,519",-9.18,"738,244,874",-5.37,"2,123",-4.80,"12,770,800",-5.21,"5,816",-10.02,"34,724,360",-10.41,"7,172",-0.08,"42,457,866",-0.63,"87,874",2.84,"516,003,730",2.44,"45,295",-26.49,"132,288,118",-27.11
2005M02,"150,065",-6.21,"72,396",-6.57,"77,669",-5.87,"748,315,094",-3.55,"2,139",-3.21,"12,910,800",-3.97,"5,943",-6.38,"35,453,780",-6.49,"7,341",4.32,"43,503,550",4.55,"88,845",2.36,"522,241,030",1.83,"45,797",-20.50,"134,205,934",-21.07
