期間,景氣對策信號(分數)(分)_原始值,景氣對策信號(分數)(分)_年增率(%),貨幣總計數 M1B(十億元)_原始值,貨幣總計數 M1B(十億元)_年增率(%),股價指數(Index 1966=100)_原始值,股價指數(Index 1966=100)_年增率(%),工業生產指數(Index 2011=100)_原始值,工業生產指數(Index 2011=100)_年增率(%),製造業銷售量指數(Index 2011=100)_原始值,製造業銷售量指數(Index 2011=100)_年增率(%),非農業部門就業人數(千人)_原始值,非農業部門就業人數(千人)_年增率(%),海關出口值(十億元)_原始值,海關出口值(十億元)_年增率(%),機械及電機設備進口值(十億元)_原始值,機械及電機設備進口值(十億元)_年增率(%),商業營業額(十億元)_原始值,商業營業額(十億元)_年增率(%)
1987M03,32,-,"1,189",49.75,"1,312",36.52,34.49,5.51,32.70,1.02,"6,605",7.82,142.6,22.02,...,...,...,...
1987M04,41,-,"1,225",51.61,"1,600",75.82,34.92,17.73,33.11,22.18,"6,600",5.92,150.6,23.39,...,...,...,...
1987M05,39,-,"1,255",52.12,"1,814",98.25,35.07,12.91,33.23,15.06,"6,702",5.91,144.2,19.47,...,...,...,...
1987M06,38,-,"1,282",50.12,"1,736",78.60,34.76,14.15,33.22,15.79,"6,846",6.45,155.9,21.82,...,...,...,...
1987M07,34,-,"1,316",48.20,"1,858",90.17,35.71,11.98,33.22,11.81,"6,863",5.36,138.8,1.47,...,...,...,...
1987M08,36,-,"1,326",43.35,"2,452",174.89,35.47,11.37,33.34,12.29,"6,912",6.34,151.6,10.70,...,...,...,...
1987M09,37,-,"1,358",41.46,"3,567",286.88,33.98,9.79,32.60,12.18,"6,854",5.71,154.3,30.03,...,...,...,...
1987M10,31,-,"1,409",41.75,"3,590",264.47,34.57,4.73,32.41,6.51,"6,890",4.49,128.3,-9.52,...,...,...,...
1987M11,35,-,"1,456",41.77,"2,714",168.71,33.90,5.61,32.16,8.50,"6,922",4.99,155.0,10.46,...,...,...,...
1987M12,32,-,"1,520",41.53,"2,648",161.66,36.91,5.43,35.16,5.97,"6,949",3.96,134.9,0.67,...,...,...,...
1988M01,29,-,"1,549",33.65,"2,611",134.38,35.93,11.00,33.10,9.35,"7,014",3.82,140.1,18.06,29.9,...,...,...
1988M02,33,-,"1,604",35.36,"3,207",163.73,30.25,1.71,28.47,3.87,"6,890",3.45,123.0,-9.05,25.4,...,...,...
1988M03,28,-,"1,581",32.97,"3,346",155.03,35.56,3.10,34.36,5.08,"6,800",2.95,129.9,-8.92,32.5,...,...,...
1988M04,27,-,"1,599",30.53,"3,768",135.50,35.25,0.95,34.24,3.41,"6,821",3.35,138.2,-8.22,31.9,...,...,...
1988M05,31,-,"1,649",31.39,"4,442",144.87,35.68,1.74,34.61,4.15,"6,859",2.34,154.5,7.14,31.4,...,...,...
1988M06,30,-,"1,695",32.22,"4,951",185.20,35.88,3.22,34.56,4.03,"6,931",1.24,151.6,-2.76,32.3,...,...,...
1988M07,30,-,"1,720",30.70,"5,422",191.82,36.67,2.69,34.33,3.34,"7,006",2.08,150.4,8.39,34.0,...,...,...
1988M08,31,-,"1,727",30.24,"7,352",199.84,36.98,4.26,34.70,4.08,"7,038",1.82,163.6,7.88,35.5,...,...,...
1988M09,28,-,"1,768",30.19,"8,039",125.37,35.80,5.36,33.69,3.34,"7,035",2.64,129.3,-16.23,26.7,...,...,...
1988M10,29,-,"1,780",26.33,"6,581",83.31,35.85,3.70,33.31,2.78,"7,110",3.19,156.5,22.06,33.7,...,...,...
1988M11,33,-,"1,845",26.72,"6,852",152.47,36.41,7.40,34.45,7.12,"7,206",4.10,154.6,-0.22,35.8,...,...,...
1988M12,32,-,"1,886",24.08,"5,857",121.19,39.11,5.96,37.23,5.89,"7,219",3.89,143.5,6.33,33.2,...,...,...
1989M01,36,-,"1,963",26.73,"5,717",118.96,37.57,4.56,35.81,8.19,"7,247",3.32,149.8,6.90,34.8,16.21,...,...
1989M02,34,-,"2,032",26.68,"6,680",108.29,29.34,-3.01,27.92,-1.93,"7,156",3.86,113.4,-7.79,26.7,4.86,...,...
1989M03,40,-,"2,035",28.72,"7,318",118.71,39.02,9.73,38.84,13.04,"7,181",5.60,152.3,17.27,33.4,2.88,...,...
1989M04,39,-,"2,016",26.08,"7,785",106.61,37.65,6.81,36.98,8.00,"7,177",5.22,152.7,10.51,35.6,11.59,...,...
1989M05,34,-,"1,855",12.49,"8,795",98.00,38.69,8.44,37.74,9.04,"7,190",4.83,163.4,5.79,34.7,10.39,...,...
1989M06,30,-,"1,817",7.20,"9,497",91.82,38.17,6.38,37.80,9.38,"7,189",3.72,136.7,-9.83,32.3,0.03,...,...
1989M07,32,-,"1,845",7.27,"8,620",58.98,37.80,3.08,36.92,7.54,"7,186",2.57,165.4,10.00,35.5,4.40,...,...
1989M08,27,-,"1,868",8.16,"9,732",32.37,39.16,5.90,37.67,8.56,"7,276",3.38,153.2,-6.35,32.7,-7.97,...,...
1989M09,24,-,"1,894",7.13,"10,403",29.41,36.48,1.90,35.30,4.78,"7,167",1.88,135.2,4.53,31.2,16.92,...,...
1989M10,25,-,"1,907",7.13,"10,067",52.97,36.26,1.14,35.48,6.51,"7,141",0.44,146.5,-6.40,33.7,-0.11,...,...
1989M11,24,-,"1,917",3.90,"10,121",47.71,37.38,2.66,36.80,6.82,"7,179",-0.37,142.9,-7.61,34.0,-5.05,...,...
1989M12,25,-,"1,980",4.98,"8,658",47.82,38.02,-2.79,37.68,1.21,"7,222",0.04,139.7,-2.59,31.5,-5.15,...,...
1990M01,23,-,"2,118",7.90,"10,678",86.78,33.09,-11.92,32.24,-9.97,"7,175",-0.99,129.3,-13.70,25.4,-26.96,...,...
1990M02,27,-,"2,102",3.44,"11,983",79.39,33.30,13.50,32.53,16.51,"7,120",-0.50,131.9,16.30,43.1,61.55,...,...
1990M03,21,-,"1,966",-3.39,"11,223",53.36,38.63,-1.00,38.74,-0.26,"7,173",-0.11,138.2,-9.21,36.9,10.43,...,...
1990M04,20,-,"1,862",-7.64,"9,742",25.14,36.73,-2.44,36.45,-1.43,"7,166",-0.15,150.7,-1.29,39.7,11.36,...,...
1990M05,17,-,"1,844",-0.59,"7,848",-10.77,37.54,-2.97,37.36,-1.01,"7,188",-0.03,149.0,-8.82,35.0,0.91,...,...
1990M06,14,-,"1,845",1.54,"6,157",-35.17,37.21,-2.52,37.52,-0.74,"7,215",0.36,144.7,5.83,36.6,13.13,...,...
1990M07,17,-,"1,809",-1.95,"5,038",-41.55,37.89,0.24,37.31,1.06,"7,208",0.31,170.0,2.74,42.5,19.60,...,...
1990M08,17,-,"1,772",-5.14,"4,120",-57.67,38.39,-1.97,38.46,2.10,"7,335",0.81,157.5,2.81,34.4,5.29,...,...
1990M09,18,-,"1,757",-7.23,"3,238",-68.87,36.98,1.37,36.57,3.60,"7,231",0.89,152.8,13.04,32.6,4.55,...,...
1990M10,21,-,"1,752",-8.13,"2,912",-71.07,37.20,2.59,37.13,4.65,"7,216",1.05,169.3,15.55,39.5,17.37,...,...
1990M11,20,-,"1,800",-6.10,"3,966",-60.81,38.43,2.81,38.37,4.27,"7,315",1.89,166.0,16.20,37.9,11.34,...,...
1990M12,15,-,"1,854",-6.36,"4,400",-49.18,39.20,3.10,38.83,3.05,"7,285",0.87,149.0,6.64,37.5,19.17,...,...
1991M01,20,-,"1,914",-9.63,"3,938",-63.12,38.13,15.23,36.96,14.64,"7,247",1.00,169.3,30.98,42.2,66.28,...,...
1991M02,19,-,"2,045",-2.71,"4,643",-61.25,30.81,-7.48,29.66,-8.82,"7,226",1.49,133.2,1.02,32.5,-24.55,...,...
1991M03,19,-,"1,965",-0.05,"4,781",-57.40,38.68,0.13,38.27,-1.21,"7,231",0.81,155.4,12.43,40.0,8.52,...,...
1991M04,20,-,"1,953",4.89,"5,606",-42.46,37.98,3.40,38.78,6.39,"7,257",1.27,154.5,2.48,46.3,16.75,...,...
1991M05,23,-,"1,945",5.48,"5,993",-23.64,40.38,7.57,40.74,9.05,"7,326",1.92,185.9,24.80,42.8,22.36,...,...
1991M06,24,-,"1,974",6.99,"5,870",-4.66,39.35,5.75,39.30,4.74,"7,365",2.08,187.8,29.81,42.3,15.72,...,...
1991M07,29,-,"2,006",10.89,"5,260",4.41,40.79,7.65,40.87,9.54,"7,376",2.33,193.0,13.54,47.2,11.05,...,...
1991M08,27,-,"1,971",11.23,"4,780",16.02,41.67,8.54,42.05,9.33,"7,424",1.21,165.8,5.28,38.9,12.85,...,...
1991M09,27,-,"1,967",11.95,"4,669",44.19,40.97,10.79,41.28,12.88,"7,356",1.73,185.6,21.51,40.9,25.29,...,...
1991M10,30,-,"1,987",13.41,"4,541",55.94,42.37,13.90,42.55,14.60,"7,417",2.79,176.1,4.03,43.1,9.08,...,...
1991M11,30,-,"2,005",11.39,"4,449",12.18,42.49,10.56,43.48,13.32,"7,451",1.86,184.0,10.84,41.9,10.74,...,...
1991M12,28,-,"2,067",11.49,"4,439",0.89,43.86,11.89,44.20,13.83,"7,484",2.73,160.2,7.53,41.1,9.66,...,...
1992M01,29,-,"2,213",15.62,"5,023",27.55,42.38,11.15,42.92,16.13,"7,504",3.55,177.8,5.02,46.7,10.52,...,...
1992M02,29,-,"2,313",13.11,"5,031",8.36,32.85,6.62,32.73,10.35,"7,437",2.92,131.0,-1.70,35.3,8.60,...,...
1992M03,28,-,"2,259",14.96,"4,908",2.66,42.08,8.79,42.29,10.50,"7,470",3.31,175.8,13.13,44.3,10.67,...,...
1992M04,28,-,"2,285",17.00,"4,529",-19.21,41.73,9.87,42.66,10.01,"7,503",3.39,178.5,15.59,46.4,0.26,...,...
1992M05,24,-,"2,292",17.84,"4,477",-25.30,42.83,6.07,42.77,4.98,"7,537",2.88,176.3,-5.17,47.7,11.54,...,...
1992M06,25,-,"2,319",17.48,"4,588",-21.84,41.66,5.87,42.63,8.47,"7,523",2.15,171.4,-8.72,51.5,21.51,...,...
1992M07,25,-,"2,354",17.35,"4,235",-19.49,43.08,5.61,43.00,5.21,"7,555",2.43,171.2,-11.32,50.9,7.73,...,...
1992M08,25,-,"2,294",16.39,"3,918",-18.03,42.66,2.38,42.07,0.05,"7,604",2.42,183.6,10.69,48.9,25.74,...,...
1992M09,22,-,"2,280",15.91,"3,633",-22.19,40.56,-1.00,40.70,-1.41,"7,569",2.90,164.5,-11.37,43.2,5.77,...,...
1992M10,25,-,"2,267",14.09,"3,666",-19.27,42.38,0.02,42.52,-0.07,"7,683",3.59,178.8,1.52,49.2,14.07,...,...
1992M11,21,-,"2,278",13.62,"3,616",-18.72,41.40,-2.57,42.34,-2.62,"7,692",3.23,191.6,4.14,52.0,23.98,...,...
1992M12,24,-,"2,322",12.34,"3,634",-18.13,44.93,2.44,44.66,1.04,"7,725",3.22,163.7,2.18,47.1,14.53,...,...
1993M01,19,-,"2,484",12.25,"3,274",-34.82,35.95,-15.17,35.79,-16.61,"7,753",3.32,162.0,-8.88,43.2,-7.45,...,...
1993M02,23,-,"2,435",5.27,"3,845",-23.57,39.95,21.61,40.42,23.50,"7,616",2.41,163.7,24.95,51.7,46.39,...,...
1993M03,24,-,"2,449",8.41,"4,598",-6.32,44.07,4.73,44.88,6.12,"7,588",1.58,193.3,9.92,54.4,22.73,...,...
1993M04,20,-,"2,445",7.00,"4,655",2.78,42.82,2.61,44.49,4.29,"7,637",1.79,181.7,1.78,53.3,14.73,...,...
1993M05,20,-,"2,417",5.45,"4,450",-0.60,43.84,2.36,44.10,3.11,"7,694",2.08,209.0,18.55,55.0,15.23,...,...
1993M06,17,-,"2,449",5.61,"4,196",-8.54,42.95,3.10,43.60,2.28,"7,677",2.05,184.8,7.80,51.4,-0.15,...,...
1993M07,21,-,"2,480",5.35,"3,991",-5.76,45.18,4.87,45.30,5.35,"7,725",2.25,192.8,12.62,55.9,9.93,...,...
1993M08,22,-,"2,454",6.97,"4,033",2.94,44.46,4.22,44.58,5.97,"7,848",3.21,207.2,12.91,55.8,14.19,...,...
1993M09,23,-,"2,453",7.59,"3,862",6.30,43.96,8.38,43.61,7.15,"7,843",3.62,174.8,6.26,51.8,19.74,...,...
1993M10,24,-,"2,484",9.57,"3,971",8.32,43.58,2.83,44.28,4.14,"7,864",2.36,201.9,12.89,55.7,13.18,...,...
1993M11,21,-,"2,532",11.15,"4,252",17.59,43.21,4.37,43.39,2.48,"7,827",1.76,203.7,6.28,54.6,4.90,...,...
1993M12,27,-,"2,649",14.08,"5,089",40.04,47.78,6.34,47.09,5.44,"7,818",1.20,186.9,14.18,54.4,15.37,...,...
1994M01,32,-,"2,814",13.29,"6,058",85.03,43.66,21.45,44.69,24.87,"7,919",2.14,197.7,21.99,63.6,47.22,...,...
1994M02,29,-,"2,932",20.41,"5,911",53.73,35.90,-10.14,36.25,-10.32,"7,751",1.77,153.2,-6.37,46.6,-9.89,...,...
1994M03,26,-,"2,805",14.54,"5,375",16.90,46.68,5.92,48.24,7.49,"7,896",4.06,191.6,-0.86,58.2,7.00,...,...
1994M04,30,-,"2,786",13.95,"5,638",21.12,45.94,7.29,47.90,7.66,"7,881",3.20,201.5,10.87,61.0,14.47,...,...
1994M05,30,-,"2,817",16.55,"5,922",33.08,46.48,6.02,47.82,8.44,"7,907",2.77,227.7,8.93,62.5,13.63,...,...
1994M06,32,-,"2,877",17.48,"6,001",43.02,47.38,10.31,48.41,11.03,"7,902",2.93,196.9,6.55,58.3,13.55,...,...
