期間,櫃買市場證券-總成交值 (十億元)_原始值,櫃買市場證券-總成交值 (十億元)_年增率(%),上市證券信用交易-總成交值(十億元)_原始值,上市證券信用交易-總成交值(十億元)_年增率(%),上櫃證券信用交易-總成交值(十億元)_原始值,上櫃證券信用交易-總成交值(十億元)_年增率(%),證券服務事業-證券商總公司家數(家)_原始值,證券服務事業-證券商總公司家數(家)_年增率(%),證券服務事業-經紀商家數(家)_原始值,證券服務事業-經紀商家數(家)_年增率(%),期貨商-專營家數(家)_原始值,期貨商-專營家數(家)_年增率(%),期貨經理事業-專營家數(家)_原始值,期貨經理事業-專營家數(家)_年增率(%)
1987,...,...,"2,668.63",...,...,...,38,...,28,...,...,...,...,...
1988,...,...,"7,868.02",194.83,...,...,112,194.74,102,264.29,...,...,...,...
1989,905.65,...,"25,407.96",222.93,...,...,259,131.25,250,145.10,...,...,...,...
1990,"1,593.50",75.95,"19,031.29",-25.10,...,...,381,47.10,371,48.40,...,...,...,...
1991,"3,743.95",134.95,"9,682.74",-49.12,...,...,353,-7.35,340,-8.36,...,...,...,...
1992,"10,735.30",186.74,"5,917.07",-38.89,...,...,294,-16.71,277,-18.53,...,...,...,...
