期間,合計--美金(百萬美元)_原始值,合計--美金(百萬美元)_年增率(%),合計--歐元(百萬歐元)_原始值,合計--歐元(百萬歐元)_年增率(%),合計--日圓(億日圓)_原始值,合計--日圓(億日圓)_年增率(%),合計--其他(百萬美元)_原始值,合計--其他(百萬美元)_年增率(%),隔夜--美金(百萬美元)_原始值,隔夜--美金(百萬美元)_年增率(%),隔夜--歐元(百萬歐元)_原始值,隔夜--歐元(百萬歐元)_年增率(%),隔夜--日圓(億日圓)_原始值,隔夜--日圓(億日圓)_年增率(%),隔夜--其他(百萬美元)_原始值,隔夜--其他(百萬美元)_年增率(%),1~3週--美金(百萬美元)_原始值,1~3週--美金(百萬美元)_年增率(%),1~3週--歐元(百萬歐元)_原始值,1~3週--歐元(百萬歐元)_年增率(%),1~3週--日圓(億日圓)_原始值,1~3週--日圓(億日圓)_年增率(%),1~3週--其他(百萬美元)_原始值,1~3週--其他(百萬美元)_年增率(%),1~12個月--美金(百萬美元)_原始值,1~12個月--美金(百萬美元)_年增率(%),1~12個月--歐元(百萬歐元)_原始值,1~12個月--歐元(百萬歐元)_年增率(%),1~12個月--日圓(億日圓)_原始值,1~12個月--日圓(億日圓)_年增率(%),1~12個月--其他(百萬美元)_原始值,1~12個月--其他(百萬美元)_年增率(%),隔夜利率(%)--最高--美金_原始值,隔夜利率(%)--最高--美金_年增率(%),隔夜利率(%)--最高--歐元_原始值,隔夜利率(%)--最高--歐元_年增率(%),隔夜利率(%)--最高--日圓_原始值,隔夜利率(%)--最高--日圓_年增率(%),隔夜利率(%)--最低--美金_原始值,隔夜利率(%)--最低--美金_年增率(%),隔夜利率(%)--最低--歐元_原始值,隔夜利率(%)--最低--歐元_年增率(%),隔夜利率(%)--最低--日圓_原始值,隔夜利率(%)--最低--日圓_年增率(%)
2004M01,"133,908",12.27,111,"3,600.00",...,...,...,...,"128,388",12.84,...,...,...,...,...,...,"1,400",-20.00,...,...,...,...,...,...,"4,120",...,111,"3,600.00",...,...,...,...,1.05,-,...,-,...,-,0.93,-,...,-,...,-
2004M02,"182,651",99.65,72,700.00,6,-80.00,...,...,"174,277",98.69,...,...,...,...,...,...,"1,346",80.67,10,--,...,...,...,...,"7,028",...,62,588.89,6,...,...,...,1.07,-,...,-,...,-,0.95,-,...,-,...,-
2004M03,"160,954",31.39,116,93.33,...,...,...,...,"152,526",30.23,5,-78.26,...,...,...,...,"3,201",104.28,35,52.17,...,...,...,...,"5,227",...,75,435.71,...,...,...,...,1.31,-,...,-,...,-,0.95,-,...,-,...,-
2004M04,"173,955",45.86,119,124.53,...,...,...,...,"163,555",42.82,...,...,...,...,...,...,"3,133",795.14,15,-25.00,...,...,...,...,"7,266",...,103,212.12,...,...,...,...,1.13,-,...,-,...,-,0.95,-,...,-,...,-
2004M05,"153,485",33.06,61,17.31,...,...,...,...,"143,889",30.12,...,...,...,...,...,...,870,-18.46,...,...,...,...,...,...,"8,725",...,61,205.00,...,...,...,...,1.13,-,...,-,...,-,0.95,-,...,-,...,-
2004M06,"148,242",14.83,200,316.67,...,...,...,...,"141,010",12.42,...,...,...,...,...,...,828,-5.37,...,...,...,...,...,...,"6,403",...,200,354.55,...,...,...,...,1.52,-,...,-,...,-,0.95,-,...,-,...,-
2004M07,"114,354",-23.55,155,42.20,...,...,...,...,"109,771",-24.39,...,...,...,...,...,...,454,1.57,...,...,...,...,...,...,"4,128",...,155,42.20,...,...,...,...,1.50,-,...,-,...,-,1.20,-,...,-,...,-
2004M08,"86,418",-33.62,181,"1,710.00",...,...,...,...,"81,269",-35.29,3,--,...,...,...,...,917,-39.91,...,...,...,...,...,...,"4,232",...,178,"1,680.00",...,...,...,...,1.66,-,2.07,-,...,-,1.24,-,2.07,-,...,-
2004M09,"88,152",-36.69,109,-6.84,...,...,...,...,"83,338",-37.81,...,...,...,...,...,...,"1,385",34.34,...,...,...,...,...,...,"3,429",...,109,-6.03,...,...,...,...,1.94,-,...,-,...,-,1.06,-,...,-,...,-
2004M10,"82,374",-48.23,109,7.92,...,...,...,...,"79,475",-47.89,...,...,...,...,...,...,288,-88.52,4,...,...,...,...,...,"2,611",-36.60,105,3.96,...,...,...,...,1.93,-,...,-,...,-,1.40,-,...,-,...,-
2004M11,"82,017",-36.61,81,912.50,...,...,...,...,"77,848",-36.65,...,...,...,...,...,...,176,-81.72,14,75.00,...,...,...,...,"3,993",-27.72,67,...,...,...,...,...,2.35,-,...,-,...,-,1.72,-,...,-,...,-
2004M12,"82,394",-46.05,120,-15.49,6,...,...,...,"78,462",-45.90,...,...,...,...,...,...,702,-54.80,...,...,...,...,...,...,"3,230",-47.40,120,1.69,6,...,...,...,2.44,-,...,-,...,-,1.23,-,...,-,...,-
2005M01,"70,013",-47.72,78,-29.73,...,...,...,...,"66,479",-48.22,...,...,...,...,...,...,361,-74.21,...,...,...,...,...,...,"3,171",-23.03,78,-29.73,...,...,...,...,2.50,-,...,-,...,-,2.02,-,...,-,...,-
2005M02,"50,503",-72.35,77,6.94,25,316.67,...,...,"46,456",-73.34,...,...,10,...,...,...,248,-81.58,...,...,...,...,...,...,"3,799",-45.94,77,24.19,15,150.00,...,...,2.61,-,...,-,2.50,-,2.42,-,...,-,2.50,-
2005M03,"61,540",-61.77,92,-20.69,...,...,...,...,"58,201",-61.84,...,...,...,...,...,...,529,-83.47,...,...,...,...,...,...,"2,810",-46.24,92,22.67,...,...,...,...,3.04,-,...,-,...,-,2.46,-,...,-,...,-
2005M04,"66,923",-61.53,86,-27.73,...,...,...,...,"63,675",-61.07,5,...,...,...,...,...,268,-91.45,...,...,...,...,...,...,"2,980",-58.99,81,-21.36,...,...,...,...,3.08,-,2.10,-,...,-,2.68,-,2.10,-,...,-
2005M05,"72,654",-52.66,32,-47.54,...,...,...,...,"68,698",-52.26,...,...,...,...,...,...,392,-54.94,...,...,...,...,...,...,"3,564",-59.15,32,-47.54,...,...,...,...,3.12,-,...,-,...,-,2.93,-,...,-,...,-
2005M06,"92,715",-37.46,39,-80.50,...,...,6,...,"89,030",-36.86,...,...,...,...,...,...,404,-51.21,...,...,...,...,6,...,"3,280",-48.77,39,-80.50,...,...,...,...,3.50,-,...,-,...,-,2.96,-,...,-,...,-
2005M07,"89,252",-21.95,9,-94.19,...,...,...,...,"85,823",-21.82,...,...,...,...,...,...,138,-69.60,...,...,...,...,...,...,"3,291",-20.28,9,-94.19,...,...,...,...,3.48,-,...,-,...,-,3.03,-,...,-,...,-
2005M08,"98,227",13.66,14,-92.27,...,...,...,...,"94,428",16.19,...,...,...,...,...,...,454,-50.49,...,...,...,...,...,...,"3,345",-20.96,14,-92.13,...,...,...,...,3.64,-,...,-,...,-,3.22,-,...,-,...,-
2005M09,"87,769",-0.43,20,-81.65,...,...,...,...,"85,037",2.04,...,...,...,...,...,...,299,-78.41,6,...,...,...,...,...,"2,432",-29.08,14,-87.16,...,...,...,...,3.93,-,...,-,...,-,3.44,-,...,-,...,-
2005M10,"93,653",13.69,15,-86.24,45,...,...,...,"90,621",14.02,...,...,...,...,...,...,486,68.75,...,...,...,...,...,...,"2,546",-2.49,15,-85.71,45,...,...,...,4.08,-,...,-,...,-,3.69,-,...,-,...,-
2005M11,"74,434",-9.25,25,-69.14,62,...,...,...,"70,957",-8.85,...,...,40,...,...,...,429,143.75,5,-64.29,...,...,...,...,"3,048",-23.67,20,-70.15,21,...,...,...,4.10,-,...,-,0.04,-,3.93,-,...,-,0.04,-
2005M12,"78,727",-4.45,17,-85.83,44,633.33,...,...,"74,146",-5.50,...,...,4,...,...,...,"2,098",198.86,...,...,...,...,...,...,"2,483",-23.13,17,-85.83,40,566.67,...,...,4.40,-,...,-,0.10,-,3.94,-,...,-,0.10,-
2006M01,"70,466",0.65,17,-78.21,500,...,...,...,"66,600",0.18,...,...,...,...,...,...,"1,268",251.25,...,...,...,...,...,...,"2,597",-18.10,17,-78.21,500,...,...,...,4.56,-,...,-,...,-,4.19,-,...,-,...,-
2006M02,"74,304",47.13,37,-51.95,450,"1,700.00",...,...,"70,841",52.49,...,...,...,...,...,...,"1,068",330.65,...,...,...,...,...,...,"2,395",-36.96,36,-53.25,450,"2,900.00",...,...,4.60,-,...,-,...,-,4.45,-,...,-,...,-
2006M03,"102,668",66.83,17,-81.52,13,...,9,...,"99,570",71.08,...,...,...,...,...,...,642,21.36,...,...,...,...,...,...,"2,456",-12.60,17,-81.52,13,...,9,...,4.91,-,...,-,...,-,4.46,-,...,-,...,-
2006M04,"83,365",24.57,12,-86.05,21,...,13,...,"80,266",26.06,...,...,...,...,...,...,799,198.13,...,...,9,...,...,...,"2,300",-22.82,12,-85.19,12,...,12,...,5.03,-,...,-,...,-,4.68,-,...,-,...,-
2006M05,"93,508",28.70,13,-59.38,56,...,...,...,"90,343",31.51,...,...,...,...,...,...,337,-14.03,...,...,22,...,...,...,"2,828",-20.65,13,-59.38,34,...,...,...,5.10,-,...,-,...,-,4.09,-,...,-,...,-
2006M06,"124,572",34.36,55,41.03,163,...,8,33.33,"121,400",36.36,...,...,...,...,...,...,502,24.26,23,...,32,...,...,...,"2,670",-18.60,32,-17.95,131,...,8,...,5.40,-,...,-,...,-,4.94,-,...,-,...,-
2006M07,"119,758",34.18,44,388.89,111,...,10,...,"116,143",35.33,...,...,...,...,...,...,651,371.74,...,...,2,...,...,...,"2,963",-9.97,44,388.89,108,...,9,...,5.37,-,...,-,...,-,5.20,-,...,-,...,-
