期間,新臺幣_原始值,新臺幣_年增率(%),日圓_原始值,日圓_年增率(%),馬克_原始值,馬克_年增率(%),英鎊_原始值,英鎊_年增率(%),法國法郎_原始值,法國法郎_年增率(%),港幣_原始值,港幣_年增率(%),韓元_原始值,韓元_年增率(%),加拿大幣_原始值,加拿大幣_年增率(%),新加坡元_原始值,新加坡元_年增率(%),人民幣_原始值,人民幣_年增率(%),澳幣_原始值,澳幣_年增率(%),印尼盾_原始值,印尼盾_年增率(%),荷蘭幣_原始值,荷蘭幣_年增率(%),泰銖_原始值,泰銖_年增率(%),馬來西亞幣_原始值,馬來西亞幣_年增率(%),菲律賓披索_原始值,菲律賓披索_年增率(%),歐元_原始值,歐元_年增率(%)
2001M01,32.6887,-5.77,117.0950,-10.19,2.0848,-7.43,0.6764,-9.94,6.9921,-7.43,7.7990,-0.27,"1,271.8900",-11.13,1.5031,-3.61,1.7365,-3.64,8.2776,0.02,1.7996,-15.50,"9,487.0000",-23.28,2.3490,-7.43,43.0779,-13.44,3.8000,0.00,50.9690,-20.68,1.0659,-7.43
2001M02,32.3195,-4.94,116.0370,-5.80,2.1223,-6.28,0.6878,-9.14,7.1179,-6.28,7.7990,-0.23,"1,252.0800",-9.81,1.5213,-4.62,1.7431,-2.44,8.2771,0.01,1.8687,-14.94,"9,673.3000",-23.35,2.3913,-6.28,42.5890,-11.60,3.8000,0.00,48.2900,-15.98,1.0851,-6.28
2001M03,32.5871,-5.79,121.1240,-11.90,2.1513,-5.72,0.6920,-8.52,7.2151,-5.72,7.7990,-0.19,"1,291.5000",-13.61,1.5580,-6.25,1.7708,-3.14,8.2775,0.01,1.9809,-17.19,"10,178.8000",-26.52,2.4239,-5.72,43.8440,-13.66,3.8000,0.00,48.4670,-15.53,1.0999,-5.72
2001M04,32.9185,-7.38,123.8270,-14.81,2.1932,-5.80,0.6970,-9.38,7.3558,-5.80,7.7980,-0.14,"1,325.3600",-16.25,1.5575,-5.72,1.8115,-5.62,8.2771,0.03,1.9961,-16.20,"11,182.0000",-30.33,2.4712,-5.80,45.4130,-16.50,3.8000,0.00,50.1850,-17.93,1.1214,-5.80
2001M05,33.2508,-7.55,121.9300,-11.34,2.2379,-3.52,0.7016,-5.53,7.5057,-3.52,7.7980,-0.10,"1,296.8300",-13.53,1.5414,-2.98,1.8135,-4.71,8.2773,0.01,1.9232,-10.11,"11,230.0000",-25.13,2.5216,-3.52,45.4355,-14.41,3.8000,0.00,50.5390,-17.28,1.1442,-3.52
2001M06,34.2712,-10.10,122.1530,-13.04,2.2925,-10.11,0.7137,-7.09,7.6889,-10.11,7.7980,-0.08,"1,294.7200",-13.67,1.5244,-3.12,1.8157,-4.84,8.2770,0.00,1.9301,-12.73,"11,313.0000",-23.42,2.5831,-10.11,45.2016,-13.67,3.8000,0.00,51.4880,-17.17,1.1722,-10.11
2001M07,34.7791,-11.03,124.6490,-13.44,2.2730,-8.42,0.7073,-6.27,7.6233,-8.42,7.7980,-0.04,"1,302.6500",-14.41,1.5304,-3.43,1.8237,-4.57,8.2769,0.03,1.9603,-13.34,"10,707.0000",-14.00,2.5611,-8.42,45.5688,-11.87,3.8000,0.00,53.2240,-16.70,1.1622,-8.42
2001M08,34.6153,-10.21,121.6070,-11.13,2.1726,-0.42,0.6959,-3.55,7.2865,-0.41,7.7980,0.00,"1,284.8800",-13.29,1.5402,-3.97,1.7618,-2.37,8.2770,0.03,1.9055,-9.78,"8,828.8000",-5.79,2.4479,-0.41,44.8655,-9.00,3.8000,0.00,51.9880,-13.64,1.1108,-0.41
2001M09,34.5867,-9.81,118.9750,-10.27,2.1471,4.48,0.6837,1.96,7.2011,4.48,7.8000,-0.04,"1,295.2800",-13.76,1.5678,-5.20,1.7484,-0.60,8.2768,0.03,1.9753,-8.60,"9,306.5000",-7.48,2.4192,4.48,44.2837,-5.55,3.8000,0.00,51.2500,-10.76,1.0978,4.48
2001M10,34.5486,-7.87,121.2810,-10.65,2.1593,5.96,0.6889,0.00,7.2421,5.96,7.8000,-0.05,"1,302.6200",-13.34,1.5712,-3.75,1.8089,-3.18,8.2768,0.02,1.9808,-4.33,"10,115.5000",-10.76,2.4330,5.96,44.6727,-3.39,3.8000,0.00,51.7330,-7.01,1.1040,5.96
2001M11,34.4964,-6.01,122.3080,-10.97,2.2020,3.73,0.6961,0.76,7.3851,3.73,7.8000,-0.03,"1,282.2400",-9.86,1.5924,-3.15,1.8294,-4.51,8.2769,0.01,1.9348,-1.04,"10,576.0000",-11.32,2.4810,3.73,44.3715,-1.55,3.8000,0.00,51.9899,-4.30,1.1259,3.73
2001M12,34.6949,-4.64,127.3580,-11.90,2.1919,-0.52,0.6948,-1.53,7.3512,-0.51,7.7980,0.00,"1,291.8800",-5.86,1.5775,-3.49,1.8374,-5.50,8.2769,0.00,1.9452,-6.11,"10,532.3000",-9.93,2.4697,-0.51,43.8596,-1.82,3.8000,0.00,51.7889,-3.66,1.1207,-0.51
2002M01,35.0221,-6.66,132.6647,-11.74,-,--,0.6981,-3.11,-,--,7.7980,0.01,"1,317.0100",-3.43,1.6003,-6.07,1.8388,-5.56,8.2767,0.01,1.9353,-7.01,"10,377.3000",-8.58,-,--,43.9817,-2.05,3.8000,0.00,51.4097,-0.86,1.1324,-5.87
2002M02,35.0658,-7.83,133.5184,-13.09,-,--,0.7030,-2.16,-,--,7.8000,-0.01,"1,319.8500",-5.13,1.5958,-4.67,1.8314,-4.82,8.2767,0.00,1.9491,-4.13,"10,229.3000",-5.44,-,--,43.7771,-2.71,3.8000,0.00,51.2817,-5.83,1.1494,-5.59
2002M03,35.0180,-6.94,131.1955,-7.68,-,--,0.7030,-1.58,-,--,7.7990,0.00,"1,322.7200",-2.36,1.5870,-1.83,1.8287,-3.17,8.2771,0.01,1.9059,3.93,"9,866.8000",3.16,-,--,43.3455,1.15,3.8000,0.00,51.0661,-5.09,1.1419,-3.67
2002M04,34.9130,-5.71,131.0724,-5.53,-,--,0.6932,0.54,-,--,7.7990,-0.01,"1,317.5000",0.60,1.5814,-1.51,1.8290,-0.96,8.2772,0.00,1.8679,6.87,"9,403.0000",18.92,-,--,43.3761,4.70,3.8000,0.00,50.9872,-1.57,1.1290,-0.67
2002M05,34.4589,-3.51,126.4843,-3.60,-,--,0.6853,2.39,-,--,7.7990,-0.01,"1,261.4600",2.80,1.5496,-0.53,1.7997,0.77,8.2770,0.00,1.8191,5.72,"9,078.0000",23.71,-,--,42.7591,6.26,3.8000,0.00,49.8383,1.41,1.0906,4.92
2002M06,33.9880,0.83,123.5975,-1.17,-,--,0.6728,6.08,-,--,7.7990,-0.01,"1,222.0800",5.94,1.5317,-0.48,1.7832,1.82,8.2770,0.00,1.7557,9.94,"8,748.8000",29.31,-,--,42.1165,7.33,3.8000,0.00,50.4065,2.15,1.0470,11.95
2002M07,33.4044,4.12,118.0657,5.58,-,--,0.6437,9.88,-,--,7.7990,-0.01,"1,184.9700",9.93,1.5459,-1.01,1.7523,4.07,8.2768,0.00,1.8039,8.67,"8,983.0000",19.19,-,--,41.1654,10.70,3.8000,0.00,50.5963,5.19,1.0080,15.29
2002M08,33.9791,1.87,119.0059,2.19,-,--,0.6510,6.90,-,--,7.7990,-0.01,"1,197.7300",7.28,1.5679,-1.77,1.7548,0.40,8.2767,0.00,1.8447,3.30,"8,920.3000",-1.03,-,--,42.1212,6.52,3.8000,0.00,51.7931,0.38,1.0227,8.62
2002M09,34.5890,-0.01,120.3667,-1.16,-,--,0.6432,6.29,-,--,7.7990,0.01,"1,210.2600",7.02,1.5758,-0.51,1.7655,-0.97,8.2770,0.00,1.8281,8.05,"8,963.8000",3.82,-,--,42.7680,3.54,3.8000,0.00,52.1292,-1.69,1.0196,7.67
2002M10,34.9509,-1.15,123.8632,-2.08,-,--,0.6422,7.28,-,--,7.7990,0.01,"1,240.7000",4.99,1.5778,-0.42,1.7858,1.29,8.2770,0.00,1.8193,8.88,"9,193.0000",10.03,-,--,43.6048,2.45,3.8000,0.00,52.9070,-2.22,1.0196,8.29
2002M11,34.7103,-0.62,122.5500,-0.20,-,--,0.6404,8.70,-,--,7.7990,0.01,"1,211.3700",5.85,1.5590,2.15,1.7650,3.65,8.2771,0.00,1.7821,8.57,"9,059.0000",16.75,-,--,43.2699,2.55,3.8000,0.00,53.3082,-2.47,1.0082,11.67
2002M12,34.8482,-0.44,122.2720,4.16,-,--,0.6304,10.22,-,--,7.7980,0.00,"1,207.4100",7.00,1.5596,1.15,1.7528,4.83,8.2772,0.00,1.7756,9.55,"8,912.0000",18.18,-,--,43.2357,1.44,3.8000,0.00,53.5195,-3.23,0.9823,14.09
2003M01,34.6070,1.20,118.6547,11.81,-,--,0.6187,12.84,-,--,7.7990,-0.01,"1,178.3800",11.76,1.5410,3.85,1.7355,5.95,8.2768,0.00,1.7173,12.69,"8,890.0000",16.73,-,--,42.7280,2.93,3.8000,0.00,53.5635,-4.02,0.9416,20.25
2003M02,34.7869,0.80,119.2721,11.94,-,--,0.6212,13.17,-,--,7.7990,0.01,"1,191.9500",10.73,1.5124,5.52,1.7455,4.92,8.2773,-0.01,1.6833,15.79,"8,897.0000",14.97,-,--,42.8268,2.22,3.8000,0.00,54.0748,-5.17,0.9283,23.82
