期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2007M03,"2,362,566",-27.18,"15,694,243",-28.86,"74,919",-76.74,"471,480",-80.66,"2,082,115",-21.26,"14,188,321",-21.79,"187,175",-29.21,"966,265",-32.37,"13,932",32.04,"53,198",34.55,"1,567",72.20,"4,711",64.55,"2,858",56.35,"10,268",11.68
2007M04,"2,341,643",-9.43,"15,255,272",-6.29,"182,365",-22.41,"1,297,577",-26.92,"1,932,313",-4.59,"12,688,500",0.31,"207,954",-29.66,"1,202,436",-31.38,"17,054",-36.54,"59,392",-34.48,"1,139",3.92,"4,308",40.51,818,-46.11,"3,059",-63.23
2007M05,"3,219,701",2.62,"23,071,325",9.62,"309,361",77.69,"2,330,760",144.39,"2,682,634",0.14,"19,380,730",4.13,"209,794",-17.63,"1,278,831",-6.05,"13,716",-36.19,"55,933",-27.15,603,-58.84,"4,570",-4.65,"3,593",-47.35,"20,501",-43.94
2007M06,"3,302,095",15.58,"22,751,411",19.91,"163,489",43.01,"1,397,948",70.73,"2,771,126",8.74,"18,811,613",10.22,"354,851",99.09,"2,491,595",144.22,"9,501",-14.54,"36,297",-12.39,865,-18.86,"2,397",-39.59,"2,263",-42.29,"11,561",-45.71
2007M07,"3,479,042",32.55,"23,429,591",30.13,"567,207",191.00,"3,490,358",105.44,"2,640,087",25.92,"18,654,061",33.84,"251,827",-21.84,"1,193,934",-48.70,"12,486",22.85,"50,907",37.49,"2,056",287.19,"10,299",351.12,"5,379","1,534.95","30,032","1,494.06"
2007M08,"3,254,404",4.10,"24,197,973",11.63,"153,476",-24.74,"1,150,341",-32.37,"2,743,159",0.11,"20,982,183",11.20,"340,285",109.39,"1,988,576",92.63,"14,814",-15.49,"67,381",0.08,"1,653",55.80,"5,136",37.11,"1,017",-5.66,"4,356",18.82
2007M09,"2,799,363",-7.74,"21,252,068",3.74,"222,512",-65.79,"1,886,426",-64.68,"2,367,327",11.83,"18,371,050",33.36,"187,982",-25.61,"909,995",-30.95,"16,525",40.73,"66,871",66.51,"4,406",145.46,"14,153",95.19,611,-25.67,"3,573",-16.79
2007M10,"2,898,999",-9.75,"21,279,836",4.20,"279,349",1.48,"2,342,198",48.67,"2,266,862",-14.33,"16,759,797",-3.02,"331,739",26.46,"2,092,587",42.81,"19,962",-24.65,"80,448",-10.99,773,-7.98,"2,984",16.93,314,-73.70,"1,822",-73.29
2007M11,"3,486,655",-4.98,"26,278,757",-3.99,"360,125",124.33,"2,747,956",115.77,"2,802,699",-12.46,"21,588,008",-6.92,"304,005",4.54,"1,873,758",-33.97,"15,790",39.41,"57,289",55.51,736,--,"2,044",--,"3,300",-38.31,"9,702",-64.63
2007M12,"3,013,520",-16.92,"22,052,701",-13.90,"172,736",127.19,"1,494,691",176.92,"2,522,432",-20.68,"18,784,034",-17.74,"293,497",-15.58,"1,675,841",-22.10,"15,612",-22.78,"66,985",-9.13,"6,484",151.90,"19,088",127.48,"2,759",255.08,"12,062",165.68
2008M01,"3,451,848",21.06,"24,692,135",32.20,"143,755",94.98,"903,273",115.72,"2,835,658",14.98,"21,260,130",28.77,"430,403",51.31,"2,378,766",44.53,"34,649",76.59,"124,123",72.77,"2,647",126.24,"7,825",67.38,"4,736",-22.18,"18,018",-35.27
2008M02,"2,496,898",-17.19,"18,170,618",-9.43,"431,814",-16.39,"2,904,976",3.82,"1,875,935",-13.40,"14,119,877",-7.48,"179,622",-36.59,"1,107,204",-39.80,"6,866",-79.96,"23,713",-77.03,231,-97.88,649,-98.32,"2,430",-39.63,"14,199",-36.52
2008M03,"2,495,950",5.65,"18,228,283",16.15,"125,905",68.05,"878,902",86.41,"2,101,850",0.95,"16,030,950",12.99,"244,846",30.81,"1,232,927",27.60,"16,618",19.28,"57,478",8.05,329,-79.00,"1,023",-78.28,"6,402",124.00,"27,003",162.98
2008M04,"2,625,250",12.11,"20,783,654",36.24,"123,435",-32.31,"994,496",-23.36,"2,104,613",8.92,"15,823,019",24.70,"377,788",81.67,"3,894,411",223.88,"17,387",1.95,"61,832",4.11,460,-59.61,"1,350",-68.66,"1,567",91.56,"8,546",179.37
2008M05,"2,947,354",-8.46,"22,604,666",-2.02,"79,728",-74.23,"755,708",-67.58,"2,384,920",-11.10,"18,534,238",-4.37,"468,180",123.16,"3,257,670",154.74,"7,613",-44.50,"29,107",-47.96,"5,051",737.65,"17,852",290.63,"1,862",-48.18,"10,091",-50.78
