期間,合計_原始值,合計_年增率(%),公、民營企業-小計_原始值,公、民營企業-小計_年增率(%),公、民營企業-農林漁牧業_原始值,公、民營企業-農林漁牧業_年增率(%),公、民營企業-礦業及土石採取業_原始值,公、民營企業-礦業及土石採取業_年增率(%),公、民營企業-製造業_原始值,公、民營企業-製造業_年增率(%),公、民營企業-水電燃氣及污染整治業_原始值,公、民營企業-水電燃氣及污染整治業_年增率(%),公、民營企業-營造業_原始值,公、民營企業-營造業_年增率(%),公、民營企業-批發、零售、住宿及餐飲業_原始值,公、民營企業-批發、零售、住宿及餐飲業_年增率(%),公、民營企業-運輸及倉儲業_原始值,公、民營企業-運輸及倉儲業_年增率(%),公、民營企業-資訊及通訊傳播業_原始值,公、民營企業-資訊及通訊傳播業_年增率(%),公、民營企業-金融、保險及不動產業_原始值,公、民營企業-金融、保險及不動產業_年增率(%),公、民營企業-服務業_原始值,公、民營企業-服務業_年增率(%),政府機關_原始值,政府機關_年增率(%),非營利團體_原始值,非營利團體_年增率(%),非營利團體-社會保險及退休基金_原始值,非營利團體-社會保險及退休基金_年增率(%),個人_原始值,個人_年增率(%)
2010M01,"22,216,716",6.57,"5,684,108",14.12,"16,193",41.88,"8,198",-4.93,"2,232,926",14.93,"36,221",-1.90,"233,245",16.66,"1,084,833",13.54,"119,143",5.12,"154,285",15.03,"1,503,734",12.62,"295,330",21.52,"590,832",0.89,"1,626,260",-1.48,"517,809",15.48,"14,315,516",5.03
2010M02,"22,116,006",4.30,"5,595,769",7.80,"15,762",21.99,"7,545",-18.22,"2,205,121",7.92,"39,962",6.78,"226,198",17.09,"1,062,536",6.19,"114,874",-2.53,"150,720",11.58,"1,476,005",6.06,"297,046",18.86,"554,530",-7.80,"1,659,061",-1.20,"548,663",17.82,"14,306,646",4.18
2010M03,"22,223,769",3.70,"5,678,182",7.15,"15,291",16.04,"8,058",-10.97,"2,268,611",8.85,"32,760",-9.69,"215,599",13.29,"1,059,381",3.80,"121,219",-1.17,"156,492",18.78,"1,512,073",5.18,"288,698",13.83,"577,754",-3.58,"1,630,607",-5.45,"518,695",-2.30,"14,337,226",3.84
2010M04,"22,340,631",3.74,"5,708,189",7.23,"16,119",0.40,"8,103",-12.68,"2,285,606",10.12,"37,409",-1.03,"218,133",12.32,"1,082,844",5.42,"121,102",-3.44,"161,306",20.11,"1,480,518",2.33,"297,049",15.59,"609,978",1.72,"1,614,316",-9.83,"489,776",-20.58,"14,408,148",4.24
2010M05,"22,325,420",3.24,"5,781,737",9.71,"15,152",24.43,"7,855",-18.30,"2,315,717",11.41,"40,965",16.23,"222,971",11.86,"1,099,387",8.84,"118,770",-1.82,"163,170",15.89,"1,507,113",7.19,"290,637",13.10,"654,984",8.04,"1,627,854",-11.14,"498,992",-23.61,"14,260,845",2.47
2010M06,"22,417,373",3.50,"5,905,468",9.12,"16,126",26.47,"7,685",-11.59,"2,390,213",9.26,"33,525",-3.87,"233,675",15.39,"1,097,020",5.34,"118,332",4.84,"165,420",23.60,"1,551,709",10.06,"291,763",9.04,"638,149",4.21,"1,617,858",-12.15,"495,777",-26.18,"14,255,898",3.36
2010M07,"22,542,267",3.65,"5,823,158",8.47,"15,272",9.23,"8,371",-2.72,"2,287,837",8.36,"33,801",-13.42,"235,803",20.63,"1,094,717",6.73,"119,323",3.29,"163,045",24.31,"1,570,576",7.57,"294,413",10.09,"627,407",1.88,"1,668,267",-6.95,"527,247",-17.62,"14,423,435",3.24
2010M08,"22,668,232",4.51,"5,868,492",9.44,"15,172",8.52,"8,286",-4.74,"2,259,432",10.20,"34,757",-4.23,"230,604",14.17,"1,120,300",8.12,"128,804",8.68,"159,207",3.48,"1,611,186",10.48,"300,744",5.77,"641,901",4.44,"1,689,424",-4.43,"519,019",-14.01,"14,468,415",3.75
2010M09,"22,828,858",4.92,"5,762,068",8.96,"15,268",12.76,"8,340",-2.15,"2,205,968",7.34,"34,752",6.24,"228,690",13.20,"1,114,783",10.15,"138,342",13.04,"150,245",20.41,"1,570,409",8.73,"295,271",8.22,"670,987",9.12,"1,728,780",-1.97,"551,416",-8.97,"14,667,023",4.08
2010M10,"23,087,411",5.15,"5,925,959",8.27,"16,223",9.88,"8,721",9.74,"2,278,037",7.39,"37,475",13.22,"237,739",12.09,"1,157,285",7.90,"136,178",27.30,"146,790",11.03,"1,602,053",7.82,"305,458",6.48,"670,152",12.20,"1,727,696",0.00,"544,651",-1.57,"14,763,604",4.28
2010M11,"23,247,345",5.56,"6,003,811",8.13,"16,785",5.42,"8,710",5.16,"2,325,848",7.36,"40,234",14.63,"236,332",12.12,"1,178,395",10.47,"142,038",32.04,"154,917",11.68,"1,593,458",5.29,"307,094",5.96,"706,813",18.45,"1,716,964",1.56,"544,861",1.57,"14,819,757",4.48
2010M12,"23,598,177",5.63,"6,191,438",9.57,"17,196",4.23,"14,304",78.62,"2,441,088",9.61,"38,742",3.11,"268,729",12.22,"1,182,818",10.09,"146,445",28.51,"160,526",4.42,"1,605,534",8.03,"316,056",7.58,"697,030",16.92,"1,655,443",-1.11,"475,569",-10.74,"15,054,266",4.40
2011M01,"23,487,091",5.72,"6,050,050",6.44,"17,532",8.27,"9,089",10.87,"2,370,935",6.18,"40,171",10.91,"248,858",6.69,"1,157,660",6.71,"145,454",22.08,"152,969",-0.85,"1,600,321",6.42,"307,061",3.97,"585,302",-0.94,"1,618,825",-0.46,"454,941",-12.14,"15,232,914",6.41
2011M02,"23,642,028",6.90,"6,071,368",8.50,"18,528",17.55,"9,590",27.10,"2,361,807",7.11,"42,233",5.68,"247,273",9.32,"1,162,901",9.45,"137,947",20.09,"155,981",3.49,"1,621,158",9.83,"313,950",5.69,"608,883",9.80,"1,686,230",1.64,"484,454",-11.70,"15,275,547",6.77
2011M03,"23,690,765",6.60,"6,179,454",8.83,"18,623",21.79,"9,455",17.34,"2,452,884",8.12,"39,637",20.99,"241,996",12.24,"1,186,689",12.02,"147,657",21.81,"157,623",0.72,"1,611,680",6.59,"313,210",8.49,"613,502",6.19,"1,660,864",1.86,"472,305",-8.94,"15,236,945",6.28
2011M04,"23,877,555",6.88,"6,197,943",8.58,"19,246",19.40,"9,123",12.59,"2,411,333",5.50,"38,803",3.73,"248,245",13.80,"1,201,545",10.96,"141,346",16.72,"162,815",0.94,"1,644,359",11.07,"321,128",8.11,"623,355",2.19,"1,685,233",4.39,"488,070",-0.35,"15,371,024",6.68
2011M05,"23,773,878",6.49,"6,110,536",5.69,"18,469",21.89,"8,415",7.13,"2,384,247",2.96,"38,102",-6.99,"240,013",7.64,"1,189,824",8.23,"146,838",23.63,"166,261",1.89,"1,600,636",6.21,"317,731",9.32,"647,187",-1.19,"1,687,954",3.69,"497,923",-0.21,"15,328,201",7.48
2011M06,"23,931,901",6.76,"6,365,561",7.79,"19,051",18.14,"8,224",7.01,"2,543,386",6.41,"41,425",23.56,"243,875",4.37,"1,220,608",11.27,"159,127",34.48,"168,928",2.12,"1,636,227",5.45,"324,710",11.29,"634,097",-0.63,"1,689,743",4.44,"494,334",-0.29,"15,242,500",6.92
2011M07,"24,121,995",7.01,"6,275,300",7.76,"19,117",25.18,"8,613",2.89,"2,407,577",5.23,"39,250",16.12,"250,045",6.04,"1,216,837",11.16,"153,285",28.46,"173,066",6.15,"1,679,631",6.94,"327,879",11.37,"616,461",-1.74,"1,758,090",5.38,"538,704",2.17,"15,472,144",7.27
2011M08,"24,096,427",6.30,"6,198,968",5.63,"19,864",30.93,"8,759",5.71,"2,298,678",1.74,"40,940",17.79,"243,060",5.40,"1,225,653",9.40,"157,390",22.19,"155,473",-2.35,"1,713,220",6.33,"335,931",11.70,"632,564",-1.45,"1,780,181",5.37,"524,462",1.05,"15,484,714",7.02
2011M09,"24,236,821",6.17,"6,247,986",8.43,"18,838",23.38,"8,421",0.97,"2,342,848",6.20,"43,415",24.93,"241,020",5.39,"1,223,518",9.75,"156,037",12.79,"154,364",2.74,"1,723,619",9.76,"335,906",13.76,"643,190",-4.14,"1,822,668",5.43,"530,589",-3.78,"15,522,977",5.84
2011M10,"24,380,355",5.60,"6,291,546",6.17,"19,770",21.86,"8,882",1.85,"2,371,867",4.12,"42,499",13.41,"240,878",1.32,"1,216,387",5.11,"154,404",13.38,"158,116",7.72,"1,740,666",8.65,"338,077",10.68,"641,915",-4.21,"1,843,101",6.68,"572,816",5.17,"15,603,793",5.69
