期間,合計_原始值,合計_年增率(%),政府_原始值,政府_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人及其他_原始值,個人及其他_年增率(%)
2009,"22,340,848",6.42,"596,183",-8.61,"133,710",-21.68,"5,517,062",10.89,"16,093,893",5.91
2010,"23,598,177",5.63,"697,030",16.92,"148,579",11.12,"6,042,860",9.53,"16,709,708",3.83
2011,"24,783,296",5.02,"678,018",-2.73,"151,437",1.92,"6,339,864",4.91,"17,613,977",5.41
2012,"25,587,343",3.24,"656,739",-3.14,"151,315",-0.08,"6,500,070",2.53,"18,279,219",3.78
2013,"27,101,027",5.92,"613,253",-6.62,"144,366",-4.59,"7,144,613",9.92,"19,198,795",5.03
