期間,合計_原始值,合計_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),年滿十五歲以上按經濟活動分-合計_原始值,年滿十五歲以上按經濟活動分-合計_年增率(%),年滿十五歲以上按經濟活動分-商_原始值,年滿十五歲以上按經濟活動分-商_年增率(%),年滿十五歲以上按經濟活動分-工程師_原始值,年滿十五歲以上按經濟活動分-工程師_年增率(%),年滿十五歲以上按經濟活動分-教師_原始值,年滿十五歲以上按經濟活動分-教師_年增率(%),年滿十五歲以上按經濟活動分-傳教士_原始值,年滿十五歲以上按經濟活動分-傳教士_年增率(%),年滿十五歲以上按經濟活動分-技工技匠_原始值,年滿十五歲以上按經濟活動分-技工技匠_年增率(%),年滿十五歲以上按經濟活動分-外籍勞工_原始值,年滿十五歲以上按經濟活動分-外籍勞工_年增率(%),年滿十五歲以上按經濟活動分-其他_原始值,年滿十五歲以上按經濟活動分-其他_年增率(%),年滿十五歲以上按經濟活動分-失業_原始值,年滿十五歲以上按經濟活動分-失業_年增率(%),年滿十五歲以上按經濟活動分-非勞動力_原始值,年滿十五歲以上按經濟活動分-非勞動力_年增率(%),未滿十五歲者_原始值,未滿十五歲者_年增率(%)
2010M10,"415,971",2.42,"158,721",3.36,"257,250",1.85,"408,697",2.61,"3,888",-11.07,"2,117",-5.45,"5,946",-8.58,"1,483",-10.07,502,-7.21,"322,037",5.76,"21,183",3.46,"1,978",-9.02,"49,563",-11.25,"7,274",-7.34
2010M11,"419,086",2.87,"160,975",4.37,"258,111",1.96,"411,746",3.07,"4,134",-0.51,"2,228",2.25,"6,063",-7.83,"1,553",-5.48,506,-2.32,"323,800",5.60,"21,664",5.53,"1,963",-8.99,"49,835",-9.50,"7,340",-7.18
2010M12,"418,802",3.74,"160,963",5.73,"257,839",2.54,"411,922",3.89,"3,782",3.19,"2,002",4.27,"5,923",-3.00,"1,573",-2.48,481,5.48,"325,583",6.26,"21,424",6.99,"1,959",-8.67,"49,195",-9.20,"6,880",-4.26
2011M01,"405,943",0.47,"152,390",0.02,"253,553",0.74,"400,085",0.88,"2,804",-36.10,"1,599",-28.55,"5,081",-15.49,"1,525",-5.63,458,0.00,"327,172",4.96,"19,446",-6.42,"1,846",-12.84,"40,154",-15.08,"5,858",-21.19
2011M02,"430,372",5.16,"166,162",7.31,"264,210",3.85,"422,895",5.29,"4,534",3.71,"2,381",6.58,"6,450",-1.80,"1,596",-1.30,502,11.06,"332,996",6.83,"22,734",9.43,"1,949",-6.97,"49,753",-3.97,"7,477",-1.94
2011M03,"429,884",4.90,"165,674",7.01,"264,210",3.61,"423,038",4.99,"4,113",7.56,"2,164",4.59,"6,189",-0.61,"1,589",-1.00,479,11.92,"334,108",6.45,"22,366",9.51,"1,931",-5.94,"50,099",-4.47,"6,846",-0.75
2011M04,"439,597",5.94,"171,548",8.94,"268,049",4.11,"432,065",6.03,"4,669",12.75,"2,438",12.56,"6,720",3.94,"1,671",5.23,502,17.02,"340,003",7.28,"23,469",11.89,"1,970",-4.74,"50,623",-3.99,"7,532",1.10
2011M05,"442,603",6.39,"173,255",9.73,"269,348",4.35,"435,128",6.45,"4,685",9.26,"2,396",10.77,"6,669",5.46,"1,662",4.07,519,16.63,"343,789",7.83,"23,429",10.49,"1,995",-2.97,"49,984",-3.62,"7,475",3.22
2011M06,"439,483",6.92,"172,845",10.83,"266,638",4.52,"433,207",7.07,"4,625",8.24,"2,357",7.87,"5,785",0.63,"1,605",4.36,536,19.64,"347,791",9.01,"23,066",10.05,"1,936",-4.58,"45,506",-5.97,"6,276",-2.58
2011M07,"441,316",7.96,"175,224",13.19,"266,092",4.78,"435,549",8.04,"4,618",8.79,"2,369",7.19,"5,433",6.91,"1,555",4.78,504,11.26,"353,745",9.79,"22,760",9.66,"1,920",-2.24,"42,645",-4.70,"5,767",2.60
2011M08,"447,030",8.82,"179,110",15.01,"267,920",5.03,"439,614",8.94,"4,821",13.22,"2,326",5.97,"6,178",7.48,"1,602",4.43,522,11.30,"355,071",10.74,"23,481",10.45,"1,962",-1.46,"43,651",-3.92,"7,416",2.01
