期間,經常帳,A. 商品,貸方,一般商品：出口 f.o.b,加工處理的商品：出口 f.o.b.,修理的商品,港口商品,非貨幣性黃金,借方,一般商品：進口 f.o.b.,加工處理的商品：進口 f.o.b.,修理的商品,港口商品,非貨幣性黃金,B. 服務,貸方總計,借方總計,"運輸, 貸方",客運,貨運,其他,"海運, 客運","海運, 貨運","海運, 其他","空運, 客運","空運, 貨運","空運, 其他","其他運輸, 客運","其他運輸, 貨運","其他運輸, 其他","運輸, 借方",客運,貨運,其他,"海運, 客運","海運, 貨運","海運, 其他","空運, 客運","空運, 貨運","空運, 其他","其他運輸, 客運","其他運輸, 貨運","其他運輸, 其他","旅行, 貸方",商務,個人,"旅行, 借方",商務,個人,"其他服務, 貸方",通訊,營建,保險,金融,電腦與資訊,專利權、商標等使用費,其他事務服務,個人、文化與休閒服務,不包括在其他項目的政府服務,"其他服務, 借方",通訊,營建,保險,金融,電腦與資訊,專利權、商標等使用費,其他事務服務,個人、文化與休閒服務,不包括在其他項目的政府服務,C. 所得,貸方總計,借方總計,"薪資, 貸方","薪資, 借方","投資所得, 貸方",直接投資,股利及已分配分支機構利潤,盈餘轉增資及未分配分支機構利潤,債權所得(利息),證券投資,股權所得(股利,債券與票券,貨幣市場工具,其他投資,"投資所得, 借方",直接投資,股利及已分配分支機構利潤,盈餘轉增資及未分配分支機構利潤.,債權所得(利息),證券投資,股權所得(股利),債券與票券.,貨幣市場工具,其他投資,D. 經常移轉,貸方,政府,其他部門,工作者的匯款,其他移轉,借方,政府,其他部門,工作者的匯款,其他移轉,資本帳與金融帳,資本帳,貸方總計,借方總計,"資本移轉, 貸方",政府,債務的免除,其他,其他部門,移民移轉,債務的免除,其他,"資本移轉, 借方",政府,債務的免除,其他,其他部門,移民移轉,債務的免除,其他,"非生產性、非金融性資產的取得與處理, 貸方","非生產性、非金融性資產的取得與處理, 借方",金融帳,A.直接投資,對外直接投資,股本投資,再投資收益,其他資本,來台直接投資,股本投資,再投資收益,其他資本,B.證券投資,資產,股權證券,貨幣當局,政府,銀行,其他部門,債權證券,債券與票券,貨幣當局,政府,銀行,其他部門,貨幣市場工具,貨幣當局,政府,銀行,其他部門,負債,股權證券,銀行,其他部門,債權證券,債券與票券,貨幣當局,政府,銀行,其他部門,貨幣市場工具,貨幣當局,政府,銀行,其他部門,C.衍生性金融商品,貨幣當局,政府,銀行,其他部門,資產,貨幣當局,政府,銀行,其他部門,負債,貨幣當局,政府,銀行,其他部門,D.其他投資,資產,貿易信用,政府：長期,政府：短期,其他部門：長期,其他部門：短期,貸款,貨幣當局：長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,現金與存款,貨幣當局,政府,銀行,其他部門,其他資產…,貨幣當局：長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,負債,貿易信用,政府：長期,政府：短期,其他部門：長期,其他部門：短期,借款,基金信用的使用及自基金的借款,貨幣當局：其他長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,現金與存款,貨幣當局,政府,銀行,其他部門,其他負債,貨幣當局：長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,E.準備資產,貨幣用黃金,特別提款權,在基金的準備部位,外匯,其他債權,誤差與遺漏淨額
1999Q1,"2,409","3,534","28,228","28,091",...,4,129,4,"-24,694","-24,318",...,-1,-204,-171,"-1,554","4,168","-5,722",750,121,552,77,...,352,60,121,200,17,...,...,...,"-1,339",-286,-642,-411,...,-587,-278,-286,-55,-133,...,...,...,892,285,607,"-1,650",-506,"-1,144","2,526",172,52,80,146,5,48,"1,985",6,32,"-2,733",-143,-90,-104,-179,-35,-441,"-1,471",-33,-237,881,"1,672",-791,65,-141,"1,607",62,62,-,-,23,19,-,4,"1,522",-650,-214,-187,-25,-2,-155,-154,-,-1,-281,-452,732,19,713,...,713,"-1,184",-26,"-1,158",-182,-976,"-3,270",-32,...,-32,...,...,...,...,...,...,...,...,-32,...,...,...,-32,-32,...,...,...,...,"-3,238",-368,-784,-728,-,-56,416,403,25,-12,902,-977,-882,...,-,-336,-546,-95,-71,...,-,-25,-46,-24,...,-,-10,-14,"1,879","1,902",497,"1,405",-23,115,...,2,60,53,-138,...,-,-88,-50,-48,...,-,-,-48,40,...,-,2,38,-88,...,-,-2,-86,"1,158","5,233",613,-,-,-,613,965,...,...,1,...,1,493,...,470,745,...,-,188,557,"2,910",...,...,-,...,...,"3,429",-162,-357,"-4,075",61,-,-,-34,95,"-3,145",-,...,...,-,-3,78,"-3,432",-345,557,280,...,-,280,...,"-1,271",...,...,-,-,...,"-1,256",6,-21,"-4,882",-,-,-,"-4,882",...,861
1999Q2,"2,253","4,146","30,098","29,974",...,2,117,5,"-25,952","-25,485",...,-5,-252,-210,"-1,680","4,204","-5,884",865,129,642,94,...,419,73,129,223,21,...,...,...,"-1,424",-302,-675,-447,...,-617,-293,-302,-58,-154,...,...,...,946,329,617,"-1,825",-574,"-1,251","2,393",83,54,70,154,6,45,"1,946",6,29,"-2,635",-88,-159,-120,-161,-27,-368,"-1,430",-36,-246,334,"1,486","-1,152",67,-154,"1,419",76,76,-,-,27,19,1,7,"1,316",-998,-477,-339,-138,-,-261,-260,-,-1,-260,-547,719,27,692,...,692,"-1,266",-22,"-1,244",-204,"-1,040","-3,324",-39,...,-39,...,...,...,...,...,...,...,...,-39,...,...,...,-39,-39,...,...,...,...,"-3,285",-392,-908,-803,-,-105,516,375,138,3,"2,776",-967,"-1,178",...,-,-88,"-1,090",211,32,...,-,59,-27,179,...,-,174,5,"3,743","3,794",913,"2,881",-51,-86,...,-3,-60,-23,35,...,-,15,20,-85,...,-,1,-86,44,...,-,1,43,-129,...,-,-,-129,-119,-810,99,-,-,-,99,357,...,...,-,...,-463,436,...,384,862,...,-,656,206,"-2,128",...,...,-,...,...,"-1,596",-215,-317,691,509,-,-,-13,522,-783,-,...,...,-3,-3,-,"-1,358",12,569,511,...,-,511,...,454,...,...,-,-,...,462,3,-11,"-5,465",-,-,-,"-5,465",...,"1,071"
1999Q3,"1,527","3,758","30,762","30,555",...,3,196,8,"-27,004","-26,533",...,-4,-247,-220,"-1,778","4,625","-6,403",907,134,690,83,...,422,64,134,268,19,...,...,...,"-1,413",-392,-700,-321,...,-643,-186,-392,-57,-135,...,...,...,914,293,621,"-2,168",-596,"-1,572","2,804",69,24,56,195,9,62,"2,353",7,29,"-2,822",-83,-122,-114,-171,-20,-396,"-1,524",-37,-355,441,"1,832","-1,391",79,-174,"1,753",123,123,-,-,86,73,1,12,"1,544","-1,217",-748,-465,-282,-1,-224,-222,-,-2,-245,-894,729,18,711,...,711,"-1,623",-4,"-1,619",-184,"-1,435",-827,-58,...,-58,...,...,...,...,...,...,...,...,-58,...,...,...,-58,-58,...,...,...,...,-769,-252,"-1,116","-1,026",-,-90,864,583,282,-1,"2,982",-591,-918,...,-,-25,-893,327,-47,...,-,17,-64,374,...,-,426,-52,"3,573","4,031",252,"3,779",-458,-455,...,-,-,-455,-3,...,-,-,-3,-90,...,-,-,-90,61,...,-,1,60,-151,...,-,-1,-150,-703,"-2,608","1,376",-,-,-,"1,376","-1,006",...,...,-9,...,-542,-925,...,470,"-2,177",...,-,"-2,021",-156,-801,...,...,-,...,...,135,-293,-643,"1,905",644,-,-,-6,650,-26,-,...,...,-,-,-,-580,-232,786,"1,507",...,-,"1,507",...,-220,...,...,-,-,...,-268,5,43,"-2,706",-,-,-,"-2,706",...,-700
1999Q4,"1,804","3,268","34,675","34,437",...,1,230,7,"-31,407","-30,922",...,-4,-309,-172,"-2,189","4,164","-6,353",985,102,797,86,...,469,63,102,328,23,...,...,...,"-1,452",-344,-647,-461,...,-583,-317,-344,-64,-144,...,...,...,819,339,480,"-1,755",-546,"-1,209","2,360",88,37,170,185,20,90,"1,729",7,34,"-3,146",-123,-154,-181,-296,-36,-432,"-1,649",-36,-239,"1,149","1,975",-826,74,-211,"1,901",61,60,-,1,37,22,4,11,"1,803",-615,-297,-93,-204,-,-91,-88,-,-3,-227,-424,946,41,905,...,905,"-1,370",-7,"-1,363",-153,"-1,210","-2,125",-44,...,-44,...,...,...,...,...,...,...,...,-44,...,...,...,-44,-44,...,...,...,...,"-2,081",-482,"-1,612","-1,476",-,-136,"1,130",985,204,-59,"2,676","-2,042","-2,080",...,-,-401,"-1,679",38,136,...,-,68,68,-98,...,-,-56,-42,"4,718","5,038",-94,"5,132",-320,-304,...,28,-,-332,-16,...,-,20,-36,-34,...,-,2,-36,106,...,-,2,104,-140,...,-,-,-140,"1,299",519,"1,268",-,-,-,"1,268","1,430",...,...,-3,...,"-1,190","1,973",...,650,358,...,-,301,57,"-2,537",...,...,-,...,...,"-1,798",-203,-536,780,455,-,-,-20,475,770,-,...,...,-3,5,-,-8,30,746,-323,...,-,-323,...,-122,...,...,-,-,...,-258,2,134,"-5,540",-,-,-,"-5,540",...,321
2000Q1,"1,447","2,436","33,606","33,366",...,-,234,6,"-31,170","-30,621",...,-2,-318,-229,"-1,626","4,813","-6,439",915,115,715,85,...,448,66,115,267,19,...,...,...,"-1,423",-293,-612,-518,...,-544,-379,-293,-68,-139,...,...,...,990,366,624,"-2,160",-486,"-1,674","2,908",86,29,131,209,30,63,"2,324",6,30,"-2,856",-130,-149,-121,-233,-48,-443,"-1,436",-37,-259,"1,170","2,079",-909,73,-171,"2,006",125,125,-,-,41,20,2,19,"1,840",-738,-342,-307,-34,-1,-113,-112,-,-1,-283,-533,834,24,810,...,810,"-1,367",-8,"-1,359",-201,"-1,158",-813,-118,...,-118,...,...,...,...,...,...,...,...,-118,...,...,...,-118,-118,...,...,...,...,-695,-451,"-1,597","-1,490",-,-107,"1,146","1,146",34,-34,"2,555","-4,057","-3,775",...,-,-152,"-3,623",-282,-163,...,-,-69,-94,-119,...,-,-47,-72,"6,612","5,709",-138,"5,847",903,860,...,-29,-,889,43,...,-,-,43,-124,...,-,-2,-122,92,...,-,-,92,-216,...,-,-2,-214,"5,349","1,475","1,722",-,-,-,"1,722","1,033",...,...,-9,...,153,410,...,479,"-2,086",...,-,"-1,861",-225,806,...,...,-,...,...,"1,519",-377,-336,"3,874",679,-,-,79,600,"1,723",-,...,...,-,1,-,"1,032",230,460,"1,278",...,-,"1,278",...,194,...,...,-,-,...,245,1,-52,"-8,024",-,-,-,"-8,024",...,-634
2000Q2,"1,076","2,649","38,693","38,442",...,1,244,6,"-36,044","-35,444",...,-4,-352,-244,"-1,823","4,865","-6,688",997,118,789,90,...,501,71,118,288,19,...,...,...,"-1,614",-366,-723,-525,...,-645,-356,-366,-78,-169,...,...,...,987,373,614,"-2,034",-487,"-1,547","2,881",75,32,203,197,15,93,"2,229",7,30,"-3,040",-160,-99,-152,-259,-55,-455,"-1,552",-46,-262,915,"2,202","-1,287",68,-165,"2,134",170,169,-,1,42,25,1,16,"1,922","-1,122",-447,-331,-116,-,-342,-340,-1,-1,-333,-665,781,43,738,...,738,"-1,446",-9,"-1,437",-226,"-1,211","-2,136",-82,...,-82,...,...,...,...,...,...,...,...,-82,...,...,...,-82,-82,...,...,...,...,"-2,054",-359,"-1,507","-1,413",-,-94,"1,148","1,048",116,-16,"-1,551","-1,895","-2,021",...,-,-52,"-1,969",126,74,...,-,115,-41,52,...,-,12,40,344,572,-32,604,-228,-342,...,8,-99,-251,114,...,-,74,40,-52,...,-,-,-52,88,...,-,1,87,-140,...,-,-1,-139,919,-879,-60,-,-,-,-60,-584,...,...,-,...,-129,-936,...,481,417,...,-,306,111,-652,...,...,-,...,...,122,-336,-438,"1,798",454,-,-,-19,473,"1,439",-,...,...,-3,13,-,962,-28,495,175,...,-,175,...,-270,...,...,-,-,...,-272,2,-,"-1,011",-,-,-,"-1,011",...,"1,060"
2000Q3,"2,412","3,399","40,254","39,982",...,1,266,5,"-36,855","-36,388",...,-3,-310,-154,"-1,335","5,482","-6,817","1,059",134,824,101,...,491,79,134,333,22,...,...,...,"-1,610",-417,-720,-473,...,-637,-305,-417,-83,-168,...,...,...,897,304,593,"-2,131",-517,"-1,614","3,526",79,29,149,212,37,85,"2,898",6,31,"-3,076",-146,-113,-146,-272,-59,-487,"-1,534",-51,-268,"1,017","2,385","-1,368",65,-186,"2,320",179,178,-,1,25,13,1,11,"2,116","-1,182",-590,-309,-281,-,-251,-251,-,-,-341,-669,800,32,768,...,768,"-1,469",-13,"-1,456",-204,"-1,252","-3,599",-42,...,-42,...,...,...,...,...,...,...,...,-42,...,...,...,-42,-42,...,...,...,...,"-3,557",-229,"-1,701","-1,653",-,-48,"1,472","1,220",281,-29,"-1,975","-1,861","-1,834",...,-,-30,"-1,804",-27,77,...,-,154,-77,-104,...,-,-79,-25,-114,-167,-148,-19,53,85,...,-2,30,57,-32,...,-,32,-64,-28,...,-,45,-73,153,...,-,45,108,-181,...,-,-,-181,"-1,762","-3,284","1,103",-,-,-,"1,103",-678,...,...,-4,...,-510,-769,...,605,"-3,171",...,-,"-2,645",-526,-538,...,...,-,...,...,121,-227,-432,"1,522",41,-,-,-5,46,-862,-,...,...,-,-9,-,"-2,211",283,"1,075","2,505",...,-,"2,505",...,-162,...,...,-,-,...,-163,1,-,437,-,-,-,437,...,"1,187"
2000Q4,"3,964","5,188","39,346","38,998",...,1,341,6,"-34,158","-33,618",...,-4,-366,-170,"-1,853","4,850","-6,703","1,150",148,913,89,...,562,72,148,351,17,...,...,...,"-1,600",-348,-754,-498,...,-673,-313,-348,-81,-185,...,...,...,864,295,569,"-1,782",-496,"-1,286","2,836",54,29,124,187,35,130,"2,241",7,29,"-3,321",-92,-78,-168,-273,-55,-449,"-1,826",-29,-351,"1,366","2,500","-1,134",68,-222,"2,432",63,63,-,-,37,21,3,13,"2,332",-912,-350,-260,-90,-,-200,-200,-,-,-362,-737,787,41,746,...,746,"-1,524",-12,"-1,512",-169,"-1,343","-4,235",-45,...,-45,...,...,...,...,...,...,...,...,-45,...,...,...,-45,-45,...,...,...,...,"-4,190",-734,"-1,896","-1,824",-,-72,"1,162","1,079",90,-7,747,"-1,967","-1,635",...,-,-11,"-1,624",-332,-241,...,-,-74,-167,-91,...,-,-61,-30,"2,714","2,375",22,"2,353",339,477,...,-,-8,485,-138,...,-,-182,44,-100,...,-,-42,-58,81,...,-,-,81,-181,...,-,-42,-139,"-10,224","-5,680","1,564",-,-,-,"1,564","-3,344",...,...,-,...,-332,"-3,637",...,625,"-4,408",...,-,"-3,048","-1,360",508,...,...,-,...,...,"1,131",-210,-413,"-4,544",299,-,-,-4,303,-882,-,...,...,-3,-6,-,"-1,287",-135,549,"-4,184",...,-,"-4,184",...,223,...,...,-,-,...,215,2,6,"6,121",-,-,-,"6,121",...,271
2001Q1,"4,041","4,540","32,390","32,114",...,2,268,6,"-27,850","-27,424",...,-2,-212,-212,"-1,428","4,844","-6,272",938,144,712,82,2,460,66,142,252,16,...,...,...,"-1,604",-350,-632,-622,-10,-571,-417,-340,-61,-205,...,...,...,"1,131",355,776,"-1,887",-454,"-1,433","2,775",54,26,101,110,62,56,"2,314",11,41,"-2,781",-105,-119,-158,-221,-78,-414,"-1,330",-43,-313,"1,692","2,544",-852,58,-163,"2,486",310,310,-,-,28,22,2,4,"2,148",-689,-423,-351,-72,-,-56,-52,-2,-2,-210,-763,669,16,653,9,644,"-1,432",-10,"-1,422",-187,"-1,235","-4,209",-63,-,-63,...,...,...,...,...,...,...,...,-37,...,...,...,-37,-37,...,...,-,-26,"-4,146",-430,"-1,958","-1,923",-,-35,"1,528","1,456",72,-,"1,291","-2,584","-2,223",...,-,-229,"-1,994",-361,-320,...,-,-114,-206,-41,...,-,33,-74,"3,875","3,691",442,"3,249",184,219,...,-4,-,223,-35,...,-,-,-35,-62,...,-,-4,-58,62,...,-,-,62,-124,...,-,-4,-120,721,"2,759","1,707",-,-,-,"1,707",413,...,...,-1,...,29,-197,-,582,"-1,515",...,-,-423,"-1,092","2,154",...,...,-,...,...,"2,328",-154,-20,"-2,038",188,-,-,-1,189,-840,-,...,...,-,-1,-,"-1,574",-33,768,456,...,-,456,...,"-1,842",...,...,-,-,...,"-1,882",-,40,"-5,666",-,-,-,"-5,666",...,168
2001Q2,"3,386","4,127","32,072","31,884",...,1,183,4,"-27,945","-27,676",...,-2,-190,-77,"-1,455","4,876","-6,331",906,130,695,81,3,477,64,127,218,17,...,...,...,"-1,575",-381,-640,-554,-15,-580,-380,-366,-60,-174,...,...,...,"1,140",381,759,"-2,008",-468,"-1,540","2,830",63,25,100,115,26,66,"2,395",8,32,"-2,748",-115,-127,-170,-163,-63,-380,"-1,450",-43,-237,"1,450","2,313",-863,56,-162,"2,257",207,207,-,-,41,36,2,3,"2,009",-701,-439,-355,-84,-,-104,-64,-39,-1,-158,-736,638,20,618,8,610,"-1,374",-4,"-1,370",-190,"-1,180","-2,476",-39,-,-39,...,...,...,...,...,...,...,...,-35,...,...,...,-35,-35,...,...,-,-4,"-2,437",-499,"-1,349","-1,305",-,-44,850,789,84,-23,"1,286","-2,750","-2,341",...,-,-168,"-2,173",-409,-209,...,-,-31,-178,-200,...,-,-112,-88,"4,036","3,656",-29,"3,685",380,410,...,-,-,410,-30,...,-,-,-30,60,...,-,-1,61,184,...,-,-,184,-124,...,-,-1,-123,"-3,885","-5,219","1,352",-,-,-,"1,352","-2,315",...,...,4,...,121,"-2,904",1,463,"-4,338",...,-,"-3,405",-933,82,...,...,-,...,...,222,-133,-7,"1,334",265,-,-,-10,275,-391,-,...,...,-3,-1,-,-575,-239,427,770,...,-,770,...,690,...,...,-,-,...,656,-,34,601,-,-,-,601,...,-910
