期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2000,"9,535,749",1.80,"6,633,730",-,"2,066,636",-,"408,504",-,"90,062",-,"282,124",-,"54,693",-,-,-
2001,"11,492,663",20.52,"5,983,422",-9.80,"4,153,741",100.99,"903,800",121.25,"178,131",97.79,"220,469",-21.85,"53,100",-2.91,-,-
2002,"9,687,663",-15.71,"5,692,231",-4.87,"2,775,763",-33.17,"828,228",-8.36,"177,978",-0.09,"147,558",-33.07,"65,905",24.11,-,-
