期間,發行部門-國外_原始值,發行部門-國外_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%)
2000,"2,108,222",...,"48,391",...,-,...,"2,012",...,"4,157",...,"650,585",...,"1,403,077",...
2001,"2,377,570",12.78,"68,736",42.04,-,--,"3,165",57.28,"4,448",7.00,"759,987",16.82,"1,541,234",9.85
2002,"2,571,564",8.16,"75,811",10.29,-,--,"27,227",760.36,"5,801",30.42,"916,164",20.55,"1,546,561",0.35
