期間,發行部門-其他貨幣機構_原始值,發行部門-其他貨幣機構_年增率(%),發行部門-其他金融機構_原始值,發行部門-其他金融機構_年增率(%),發行部門-民營企業_原始值,發行部門-民營企業_年增率(%),發行部門-國外_原始值,發行部門-國外_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2000,"37,842",...,264,...,"138,995",...,"946,272",...,"193,103",...,"124,540",...,"61,862",...,-,...,"52,633",...,"551,282",...,"139,952",...
2001,"35,952",-4.99,329,24.87,"164,113",18.07,"1,351,283",42.80,"236,017",22.22,"355,214",185.22,"65,636",6.10,-,--,"63,714",21.05,"677,975",22.98,"153,121",9.41
2002,"47,198",31.28,"79,020","23,912.40","180,543",10.01,"2,024,214",49.80,"305,786",29.56,"555,458",56.37,"128,830",96.28,404,--,"95,923",50.55,"1,012,210",49.30,"232,364",51.75
