期間,貨幣總計數M1B增( + )  減( - ),國外資產淨額,對政府債權,對公營事業債權,對民間部門債權,準貨幣,政府存款,其他項目(淨額)
2005M09,410,"-21,470","-12,750","66,587","169,921","-79,723","20,144","-142,299"
2005M10,"-94,928","-54,417","-58,499","2,322","54,834","-76,604","31,592","5,844"
2005M11,"114,255","168,536","22,541","7,472","103,045","-120,705","18,372","-85,006"
2005M12,"370,645","172,722","46,385","12,437","261,607","-129,884","22,472","-15,094"
2006M01,"94,501","54,462","125,521","9,882","15,160","-261,420","112,009","38,887"
2006M02,"-164,273","65,168","56,715","7,126","-82,057","-86,890","-29,538","-94,797"
2006M03,"-128,914","-16,067","-2,092","-6,181","-41,843","-102,403","-9,478","49,150"
2006M04,"93,588","174,537","21,513","7,025","76,386","-116,991","-11,801","-57,081"
2006M05,"-40,491","-37,957","21,749","19,061","145,640","-8,181","-52,090","-128,713"
2006M06,"-13,496","-3,185","-79,836","10,384","92,528","-93,204","-58,092","117,909"
2006M07,"-79,993","-98,336","-56,770","-4,426","-14,074","-2,553","-20,302","116,468"
2006M08,"147,362","63,147","-79,276",-340,"121,329","39,310","72,264","-69,072"
2006M09,"148,376","-54,433","-31,893","-11,604","183,553","23,708","22,468","16,577"
2006M10,"-52,251","51,424","-55,965","11,683","-4,565","-49,801","-21,920","16,893"
2006M11,"21,181","218,084","48,746","-24,862","79,068","-196,015","4,283","-108,123"
2006M12,"325,888","76,369","100,215","-34,843","171,050","-52,230","22,130","43,197"
2007M01,"-5,690","85,514","123,892","20,656","-122,226","-159,691","-8,742","54,907"
2007M02,"233,780","101,871","65,232","9,199","42,157","-78,858","87,795","6,384"
2007M03,"-131,369","-112,539","-12,270","-11,976","77,872","-61,312","-10,500",-644
2007M04,"22,383","67,922","-31,118","10,032","21,811","-27,618","2,674","-21,320"
2007M05,"-152,956","57,983","-78,435","11,441","93,320","-7,424","-43,804","-186,037"
2007M06,"151,551","24,352","-55,596","1,948","68,005","87,404","-123,199","148,637"
2007M07,"69,720","-95,672","-51,029","8,410","127,746","144,161","4,597","-68,493"
2007M08,"-83,386","-115,826","-83,948","1,340","76,273","-66,693","58,373","47,095"
2007M09,"50,449","64,885","-21,987","-7,415","81,508","106,814","-13,616","-159,740"
2007M10,"-36,681","20,529","-8,093","-8,818","14,430","-55,057","-11,346","11,674"
2007M11,"-254,145","103,573","-19,071","23,535","-51,584","-161,578",-971,"-148,049"
2007M12,"133,695","-29,959","59,640","13,445","84,672","62,325","28,663","-85,091"
2008M01,"88,128","265,106","108,266",-905,"9,577","-385,934","59,311","32,707"
2008M02,"-61,694","366,610","11,984","14,681","-96,057","-194,696","-5,537","-158,679"
2008M03,"-2,262","170,287","-36,724","42,231","29,236","-125,206","-14,027","-68,059"
2008M04,"-10,848","-31,692","24,639","7,540","94,274","-97,901","8,944","-16,652"
2008M05,"-88,661","-21,433","11,541","46,329","97,382","7,177","-57,613","-172,044"
2008M06,"-146,626","-162,397","-103,371","16,784","162,148","63,065","-180,215","57,360"
2008M07,"-85,407","-120,891","-18,696","23,262","62,404","-191,926",122,"160,318"
2008M08,"44,957","-147,325","19,984","46,266","-10,990","6,435","79,275","51,312"
2008M09,"81,510","143,026","-26,486","41,681","139,644","-94,437","16,369","-138,287"
2008M10,"-94,113","342,560","10,662","24,428","-60,326","-513,192","62,114","39,641"
2008M11,"-86,163","233,153","23,486","5,075","-15,891","-241,681","-9,435","-80,870"
2008M12,"294,906","421,752","94,531","14,253","-108,226","-170,348","24,507","18,437"
2009M01,"329,693","130,372","207,513","2,241","-195,838","-12,116","58,258","139,263"
2009M02,"48,295","320,663","73,296","-13,162","-220,587","-110,516","35,180","-36,579"
2009M03,"311,964","288,931","55,103","-9,436","-23,952","84,475",-804,"-82,353"
2009M04,"219,238","256,927","48,178","2,197","-38,078","109,452","-21,803","-137,635"
2009M05,"243,859","357,108","-23,239","-5,021",-13,"128,397","-25,589","-187,784"
2009M06,"126,466","68,424","-104,791","-21,452","27,104","169,562","-88,903","76,522"
2009M07,"171,095","136,990","2,129","5,983","-75,143","76,559",398,"24,179"
2009M08,"135,506",-865,"22,743","-14,836","-22,720","192,153","3,880","-44,849"
2009M09,"93,363","175,540","-7,790","-25,533","87,927","-3,846","-40,582","-92,353"
2009M10,"320,412","99,566","-6,296","-10,974","34,091","121,195","11,614","71,216"
2009M11,"102,712","79,342","51,829","-1,424","59,336","76,104","-21,396","-141,079"
2009M12,"255,279","235,279","109,671","10,153","171,612","-73,624","32,367","-230,179"
