期間,授信部門-公營事業_原始值,授信部門-公營事業_年增率(%),授信部門-民營企業_原始值,授信部門-民營企業_年增率(%),授信部門-家庭及非營利團體_原始值,授信部門-家庭及非營利團體_年增率(%),授信部門-國外_原始值,授信部門-國外_年增率(%),受信部門-公營事業_原始值,受信部門-公營事業_年增率(%),受信部門-民營企業_原始值,受信部門-民營企業_年增率(%),受信部門-家庭及非營利團體_原始值,受信部門-家庭及非營利團體_年增率(%),受信部門-國外_原始值,受信部門-國外_年增率(%)
2003,"165,002",13.12,"5,686,626",0.15,"2,357,178",-5.72,"760,886",8.22,"377,338",16.34,"7,196,827",-1.73,"317,013",-20.73,"1,078,515",10.15
2004,"188,109",14.00,"6,348,584",11.64,"2,503,528",6.21,"944,549",24.14,"366,587",-2.85,"7,925,257",10.12,"322,423",1.71,"1,370,503",27.07
2005,"174,190",-7.40,"7,001,141",10.28,"2,629,746",5.04,"1,170,445",23.92,"316,528",-13.66,"8,640,475",9.02,"361,855",12.23,"1,656,663",20.88
