期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2007M03,"1,123,166",-1.42,"178,491",0.59,"837,146",-1.94,"107,089",-0.84,"556,508",-2.86,"91,562",0.84,"414,564",-4.00,"50,181",0.07,"566,659",0.03,"86,929",0.33,"422,582",0.17,"56,908",-1.63
2007M04,"1,100,367",1.84,"184,175",3.54,"811,209",1.59,"104,287",0.68,"545,167",0.36,"94,597",4.28,"401,396",-0.24,"48,799",-2.09,"555,200",3.33,"89,578",2.78,"409,813",3.45,"55,488",3.25
2007M05,"1,139,454",1.79,"180,716",-0.63,"854,909",2.88,"103,551",-2.45,"565,487",1.27,"91,342",-1.07,"424,411",2.45,"49,567",-3.94,"573,968",2.31,"89,374",-0.18,"430,498",3.30,"53,984",-1.03
2007M06,"1,096,102",-2.18,"176,876",-2.59,"813,016",-2.17,"105,597",-1.59,"546,169",-1.07,"89,837",-4.90,"405,462",-0.19,"50,576",-1.00,"549,933",-3.27,"87,039",-0.09,"407,554",-4.07,"55,021",-2.12
2007M07,"1,090,403",4.92,"174,222",3.51,"812,298",5.29,"103,461",4.19,"538,074",3.68,"88,975",2.54,"400,437",3.85,"48,434",4.25,"552,329",6.15,"85,247",4.55,"411,861",6.73,"55,027",4.14
2007M08,"1,144,108",4.81,"178,453",3.81,"862,517",5.25,"102,677",2.92,"570,671",4.39,"91,409",2.67,"430,311",5.19,"48,719",0.68,"573,438",5.24,"87,045",5.03,"432,206",5.31,"53,958",5.02
2007M09,"1,099,505",5.13,"182,474",6.60,"820,208",5.99,"96,336",-4.02,"548,593",5.55,"94,221",7.78,"407,422",6.25,"46,704",-3.97,"550,912",4.71,"88,254",5.36,"412,785",5.73,"49,632",-4.07
2007M10,"1,097,545",2.00,"178,900",-4.43,"823,271",5.35,"94,747",-11.39,"544,594",1.05,"93,917",-2.95,"405,018",3.51,"45,341",-10.53,"552,951",2.95,"84,983",-6.01,"418,254",7.20,"49,406",-12.15
2007M11,"1,111,531",5.06,"180,107",-0.98,"832,516",8.05,"98,461",-6.39,"542,473",0.00,"91,320",-4.64,"403,933",2.49,"46,986",-10.31,"569,058",10.38,"88,787",3.09,"428,583",13.86,"51,475",-2.49
2007M12,"1,149,245",6.88,"192,539",2.35,"854,227",9.07,"102,013",-1.35,"576,538",5.52,"97,169",-4.63,"428,934",8.53,"50,229",2.56,"572,708",8.29,"95,370",10.59,"425,293",9.63,"51,784",-4.88
2008M01,"1,126,326",9.10,"180,555",7.34,"848,276",10.39,"96,950",1.82,"553,632",7.06,"89,757",4.42,"416,621",8.59,"46,969",-0.51,"572,694",11.15,"90,798",10.40,"431,656",12.18,"49,981",4.11
2008M02,"983,291",6.40,"144,591",-5.90,"760,620",11.06,"77,572",-8.84,"508,607",9.38,"76,927",-5.28,"391,819",13.70,"39,630",1.81,"474,684",3.38,"67,664",-6.61,"368,801",8.38,"37,942",-17.82
