期間,合計_原始值,合計_年增率(%),小型車_原始值,小型車_年增率(%),大客貨車_原始值,大客貨車_年增率(%),聯結車_原始值,聯結車_年增率(%),每日平均通行車輛數_原始值,每日平均通行車輛數_年增率(%)
2003,"524,724",7.99,"435,633",10.09,"54,137",-2.99,"34,954",1.66,"1,438",7.99
2004,"563,168",7.33,"467,876",7.40,"57,255",5.76,"38,038",8.82,"1,539",7.03
2005,"573,809",1.89,"479,143",2.41,"56,481",-1.35,"38,185",0.39,"1,572",2.17
