期間,合計_原始值,合計_年增率(%),一年以下_原始值,一年以下_年增率(%),超過一年至三年_原始值,超過一年至三年_年增率(%),超過三年至五年_原始值,超過三年至五年_年增率(%),超過五年至七年_原始值,超過五年至七年_年增率(%),超過七年_原始值,超過七年_年增率(%)
2001M05,"12,985,720",1.66,"3,864,807",-10.31,"1,406,825",4.38,"991,615",26.55,"1,446,163",11.69,"5,276,310",4.72
2001M06,"13,078,217",1.39,"3,923,013",-10.32,"1,417,738",4.36,"1,005,172",25.86,"1,434,491",8.97,"5,297,803",4.89
2001M07,"13,032,408",0.66,"3,895,732",-10.87,"1,429,440",4.43,"994,717",21.85,"1,437,949",9.67,"5,274,570",3.83
2001M08,"12,858,742",-0.28,"3,800,063",-11.90,"1,423,421",5.27,"1,015,495",22.86,"1,411,250",7.61,"5,208,513",2.29
2001M09,"12,941,194",-0.11,"3,813,550",-11.85,"1,445,473",6.37,"1,043,535",24.14,"1,427,516",8.76,"5,211,120",1.83
2001M10,"12,843,074",-1.68,"3,789,384",-12.32,"1,435,460",2.86,"1,049,495",20.19,"1,395,240",5.76,"5,173,495",0.40
2001M11,"12,789,108",-2.34,"3,767,929",-11.34,"1,444,663",1.05,"1,062,897",16.45,"1,355,388",2.05,"5,158,231",-0.33
2001M12,"13,094,597",-1.51,"3,934,022",-6.60,"1,459,667",1.98,"1,091,184",12.41,"1,376,372",-2.23,"5,233,352",-0.76
2002M01,"13,007,393",-1.65,"3,841,333",-6.27,"1,433,902",0.72,"1,091,180",14.16,"1,421,936",-2.43,"5,219,042",-1.36
2002M02,"12,919,598",-1.64,"3,803,191",-5.63,"1,400,101",-0.87,"1,102,254",14.91,"1,402,541",-3.52,"5,211,511",-1.28
2002M03,"12,802,650",-2.58,"3,702,774",-7.70,"1,333,589",-5.57,"1,105,996",12.91,"1,433,231",-1.40,"5,227,060",-1.09
2002M04,"12,807,741",-1.79,"3,713,439",-5.54,"1,317,236",-6.21,"1,110,470",12.63,"1,409,686",-2.20,"5,256,910",-0.41
2002M05,"12,734,970",-1.93,"3,698,919",-4.29,"1,311,108",-6.80,"1,114,232",12.37,"1,394,048",-3.60,"5,216,663",-1.13
2002M06,"12,762,660",-2.41,"3,676,466",-6.28,"1,325,915",-6.48,"1,133,112",12.73,"1,404,647",-2.08,"5,222,520",-1.42
2002M07,"12,675,978",-2.73,"3,647,642",-6.37,"1,333,128",-6.74,"1,123,494",12.95,"1,367,867",-4.87,"5,203,847",-1.34
2002M08,"12,702,760",-1.21,"3,700,718",-2.61,"1,340,846",-5.80,"1,121,445",10.43,"1,364,377",-3.32,"5,175,374",-0.64
2002M09,"12,739,383",-1.56,"3,696,791",-3.06,"1,369,231",-5.27,"1,161,403",11.30,"1,359,457",-4.77,"5,152,501",-1.12
2002M10,"12,656,153",-1.46,"3,668,318",-3.19,"1,350,362",-5.93,"1,169,565",11.44,"1,341,210",-3.87,"5,126,698",-0.90
2002M11,"12,666,824",-0.96,"3,654,695",-3.01,"1,332,373",-7.77,"1,183,429",11.34,"1,329,873",-1.88,"5,166,454",0.16
2002M12,"12,872,922",-1.69,"3,743,088",-4.85,"1,358,111",-6.96,"1,221,481",11.94,"1,336,703",-2.88,"5,213,539",-0.38
2003M01,"12,847,078",-1.23,"3,704,589",-3.56,"1,323,130",-7.73,"1,211,019",10.98,"1,345,893",-5.35,"5,262,447",0.83
2003M02,"12,810,141",-0.85,"3,688,866",-3.01,"1,311,583",-6.32,"1,209,390",9.72,"1,338,177",-4.59,"5,262,125",0.97
2003M03,"12,747,154",-0.43,"3,680,346",-0.61,"1,277,329",-4.22,"1,188,065",7.42,"1,339,817",-6.52,"5,261,597",0.66
2003M04,"12,800,232",-0.06,"3,738,213",0.67,"1,268,843",-3.67,"1,212,849",9.22,"1,327,666",-5.82,"5,252,661",-0.08
2003M05,"12,811,317",0.60,"3,768,941",1.89,"1,269,508",-3.17,"1,203,116",7.98,"1,288,522",-7.57,"5,281,230",1.24
2003M06,"13,018,637",2.01,"3,881,476",5.58,"1,316,847",-0.68,"1,226,543",8.25,"1,274,150",-9.29,"5,319,621",1.86
2003M07,"12,956,446",2.21,"3,835,732",5.16,"1,306,971",-1.96,"1,220,061",8.60,"1,240,612",-9.30,"5,353,070",2.87
2003M08,"12,977,910",2.17,"3,853,916",4.14,"1,352,388",0.86,"1,214,707",8.32,"1,207,533",-11.50,"5,349,366",3.36
2003M09,"13,086,452",2.72,"3,908,154",5.72,"1,337,981",-2.28,"1,214,017",4.53,"1,251,466",-7.94,"5,374,834",4.32
2003M10,"13,055,303",3.15,"3,875,752",5.65,"1,325,153",-1.87,"1,214,007",3.80,"1,232,957",-8.07,"5,407,434",5.48
2003M11,"13,202,942",4.23,"4,005,749",9.61,"1,348,660",1.22,"1,211,296",2.35,"1,239,420",-6.80,"5,397,817",4.48
2003M12,"13,504,740",4.91,"4,103,415",9.63,"1,397,741",2.92,"1,268,431",3.84,"1,267,120",-5.21,"5,468,033",4.88
2004M01,"13,557,171",5.53,"3,961,104",6.92,"1,430,678",8.13,"1,351,176",11.57,"1,306,723",-2.91,"5,507,490",4.66
