期間,機動車輛數(輛) - 合計_原始值,機動車輛數(輛) - 合計_年增率(%),機動車輛數(輛) - 汽車 (不含軍車)_原始值,機動車輛數(輛) - 汽車 (不含軍車)_年增率(%),機動車輛數(輛) - 機車_原始值,機動車輛數(輛) - 機車_年增率(%),肇事總件數(件)_原始值,肇事總件數(件)_年增率(%),肇事率(件/萬輛)_原始值,肇事率(件/萬輛)_年增率(%),A1類件數(件)_原始值,A1類件數(件)_年增率(%),A1類死亡人數(人)_原始值,A1類死亡人數(人)_年增率(%),A1類受傷人數(人)_原始值,A1類受傷人數(人)_年增率(%),A2類件數(件)_原始值,A2類件數(件)_年增率(%),A2類受傷人數(人)_原始值,A2類受傷人數(人)_年增率(%),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_原始值,A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_年增率(%),A1類肇事件數按肇事原因(件) - 機件_原始值,A1類肇事件數按肇事原因(件) - 機件_年增率(%),A1類肇事件數按肇事原因(件) - 行人(或乘客)_原始值,A1類肇事件數按肇事原因(件) - 行人(或乘客)_年增率(%),A1類肇事件數按肇事原因(件) - 交通管制(設施)_原始值,A1類肇事件數按肇事原因(件) - 交通管制(設施)_年增率(%),A1類肇事件數按肇事原因(件) - 其他_原始值,A1類肇事件數按肇事原因(件) - 其他_年增率(%)
2010M10,"21,663,488",2.10,"6,851,145",1.73,"14,812,343",2.28,"18,978",16.47,8.77,-,173,-4.42,174,-10.77,64,-41.82,"18,805",16.71,"25,395",16.37,163,-4.68,1,-66.67,9,50.00,0,--,0,-100.00
2010M11,"21,699,848",2.10,"6,866,650",1.80,"14,833,198",2.24,"19,256",18.89,8.88,-,155,-6.63,165,-2.94,81,47.27,"19,101",19.15,"25,783",19.55,150,-5.06,2,--,3,-62.50,0,--,0,--
2010M12,"21,721,447",1.62,"6,876,515",1.58,"14,844,932",1.65,"20,471",18.70,9.43,-,188,-1.05,195,-0.51,77,-10.47,"20,283",18.92,"27,541",20.36,178,-2.73,0,--,10,42.86,0,--,0,--
2011M01,"21,771,805",1.85,"6,910,806",1.93,"14,860,999",1.81,"20,306",11.60,9.34,-,179,-9.14,183,-16.06,63,-27.59,"20,127",11.83,"26,304",9.55,174,-7.94,0,-100.00,5,-28.57,0,--,0,--
2011M02,"21,796,838",1.93,"6,915,550",1.96,"14,881,288",1.92,"16,180",8.77,7.43,-,140,-2.78,145,-5.23,59,40.48,"16,040",8.89,"21,509",9.23,136,-2.86,0,-100.00,4,33.33,0,--,0,--
2011M03,"21,844,934",2.13,"6,929,339",2.16,"14,915,595",2.12,"18,992",5.96,8.70,-,157,-8.72,164,-6.82,60,17.65,"18,835",6.10,"25,166",5.59,146,-11.52,0,-100.00,10,66.67,1,--,0,--
2011M04,"21,874,617",2.22,"6,939,723",2.26,"14,934,894",2.20,"18,722",8.19,8.56,-,175,14.38,187,16.88,89,34.85,"18,547",8.14,"25,095",9.57,168,12.75,0,-100.00,6,100.00,1,--,0,--
2011M05,"21,909,693",2.26,"6,946,885",2.25,"14,962,808",2.27,"19,549",6.66,8.93,-,152,12.59,156,14.71,61,27.08,"19,397",6.61,"26,158",6.85,145,9.85,3,200.00,4,100.00,0,--,0,--
2011M06,"21,962,344",2.33,"6,963,371",2.32,"14,998,973",2.34,"20,084",13.24,9.16,-,160,10.34,164,10.07,91,89.58,"19,924",13.26,"27,077",15.46,151,6.34,0,-100.00,9,350.00,0,--,0,--
2011M07,"22,030,389",2.37,"6,985,581",2.38,"15,044,808",2.36,"20,219",5.99,9.19,-,159,1.27,166,1.84,67,-11.84,"20,060",6.03,"27,020",5.03,154,1.99,1,-50.00,3,-25.00,0,--,1,--
2011M08,"22,068,440",2.36,"6,991,046",2.39,"15,077,394",2.34,"19,662",3.81,8.92,-,173,-0.57,176,0.00,67,9.84,"19,489",3.85,"26,358",3.69,169,3.05,1,-50.00,2,-75.00,0,--,1,--
2011M09,"22,142,021",2.39,"7,007,601",2.47,"15,134,420",2.35,"19,463",4.83,8.80,-,176,-2.22,185,1.65,88,20.55,"19,287",4.89,"26,245",6.04,171,-1.16,1,0.00,3,-50.00,0,--,1,--
2011M10,"22,176,566",2.37,"7,021,024",2.48,"15,155,542",2.32,"20,167",6.27,9.10,-,172,-0.58,178,2.30,73,14.06,"19,995",6.33,"27,267",7.37,165,1.23,0,-100.00,7,-22.22,0,--,0,--
2011M11,"22,205,436",2.33,"7,037,415",2.49,"15,168,021",2.26,"20,549",6.71,9.26,-,208,34.19,219,32.73,80,-1.23,"20,341",6.49,"27,310",5.92,190,26.67,1,-50.00,16,433.33,1,--,0,--
2011M12,"22,226,684",2.33,"7,053,082",2.57,"15,173,602",2.21,"21,883",6.90,9.85,-,186,-1.06,194,-0.51,60,-22.08,"21,697",6.97,"28,834",4.69,172,-3.37,4,--,10,0.00,0,--,0,--
2012M01,"22,264,616",2.26,"7,076,839",2.40,"15,187,777",2.20,"21,104",3.93,9.49,-,175,-2.23,181,-1.09,102,61.90,"20,929",3.98,"27,979",6.37,167,-4.02,1,--,7,40.00,0,--,0,--
2012M02,"22,290,937",2.27,"7,080,253",2.38,"15,210,684",2.21,"19,218",18.78,8.63,-,160,14.29,166,14.48,76,28.81,"19,058",18.82,"25,258",17.43,155,13.97,1,--,4,0.00,0,--,0,--
2012M03,"22,172,862",1.50,"7,091,755",2.34,"15,081,107",1.11,"21,416",12.76,9.63,-,173,10.19,177,7.93,77,28.33,"21,243",12.78,"28,501",13.25,166,13.70,1,--,6,-40.00,0,-100.00,0,--
2012M04,"22,153,548",1.28,"7,095,003",2.24,"15,058,545",0.83,"20,072",7.21,9.06,-,142,-18.86,144,-22.99,54,-39.33,"19,930",7.46,"26,834",6.93,134,-20.24,1,--,7,16.67,0,-100.00,0,--
2012M05,"22,101,725",0.88,"7,108,184",2.32,"14,993,541",0.21,"20,299",3.84,9.17,-,162,6.58,166,6.41,89,45.90,"20,137",3.82,"27,096",3.59,157,8.28,1,-66.67,4,0.00,0,--,0,--
2012M06,"22,142,519",0.82,"7,124,006",2.31,"15,018,513",0.13,"19,037",-5.21,8.61,-,157,-1.88,164,0.00,53,-41.76,"18,880",-5.24,"25,246",-6.76,148,-1.99,1,--,8,-11.11,0,--,0,--
2012M07,"22,187,830",0.71,"7,142,166",2.24,"15,045,664",0.01,"21,050",4.11,9.50,-,151,-5.03,156,-6.02,51,-23.88,"20,899",4.18,"28,175",4.27,145,-5.84,1,0.00,5,66.67,0,--,0,-100.00
2012M08,"22,225,576",0.71,"7,152,510",2.31,"15,073,066",-0.03,"19,110",-2.81,8.61,-,174,0.58,181,2.84,60,-10.45,"18,936",-2.84,"25,347",-3.84,164,-2.96,2,100.00,8,300.00,0,--,0,-100.00
