期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交量(十億股)_原始值,成交量(十億股)_年增率(%),日平均值(十億元)_原始值,日平均值(十億元)_年增率(%),交易日數_原始值,交易日數_年增率(%),交易所股價指數(月平均)_原始值,交易所股價指數(月平均)_年增率(%),交易人數_原始值,交易人數_年增率(%)
2003M01,"2,102.16",...,109.54,...,110.64,...,19,...,"4,890.00",...,"1,172,249",...
2003M02,963.64,...,51.53,...,60.23,...,16,...,"4,585.72",...,"904,656",...
2003M03,954.54,...,47.47,...,45.45,...,21,...,"4,449.20",...,"850,944",...
2003M04,"1,180.13",...,58.37,...,53.64,...,22,...,"4,449.61",...,"930,043",...
2003M05,985.83,...,49.53,...,46.94,...,21,...,"4,319.44",...,"829,357",...
2003M06,"2,018.13",...,93.00,...,100.91,...,20,...,"4,869.95",...,"1,130,722",...
2003M07,"2,940.54",...,126.18,...,127.85,...,23,...,"5,287.12",...,"1,333,760",...
2003M08,"2,084.88",...,83.77,...,99.28,...,21,...,"5,446.94",...,"1,209,354",...
2003M09,"1,725.71",...,67.06,...,82.18,...,21,...,"5,679.80",...,"1,166,660",...
2003M10,"2,273.86",...,99.05,...,103.36,...,22,...,"5,939.88",...,"1,281,405",...
2003M11,"1,676.39",...,71.32,...,83.82,...,20,...,"5,951.52",...,"1,175,433",...
2003M12,"1,427.43",...,60.77,...,62.06,...,23,...,"5,853.30",...,"1,091,388",...
2004M01,"1,826.60",-13.11,77.98,-28.81,121.77,10.06,15,-21.05,"6,236.42",27.53,"1,232,052",5.10
2004M02,"3,177.05",229.69,141.86,175.30,158.85,163.74,20,25.00,"6,514.45",42.06,"1,572,734",73.85
2004M03,"3,717.78",289.48,149.37,214.66,161.64,255.64,23,9.52,"6,658.08",49.65,"1,861,868",118.80
2004M04,"3,151.98",167.09,116.70,99.93,143.27,167.10,22,0.00,"6,666.20",49.82,"1,721,905",85.14
2004M05,"1,852.71",87.93,73.43,48.25,88.22,87.94,21,0.00,"5,911.68",36.86,"1,342,734",61.90
2004M06,"1,457.11",-27.80,58.70,-36.88,69.39,-31.24,21,5.00,"5,758.18",18.24,"1,125,593",-0.45
2004M07,"1,165.11",-60.38,48.08,-61.90,52.96,-58.58,22,-4.35,"5,553.57",5.04,"963,358",-27.77
2004M08,"1,241.16",-40.47,51.87,-38.08,62.06,-37.49,20,-4.76,"5,497.72",0.93,"901,536",-25.45
2004M09,"1,730.81",0.30,74.76,11.48,82.42,0.29,21,0.00,"5,865.56",3.27,"1,112,217",-4.67
2004M10,"1,637.22",-28.00,71.47,-27.84,81.86,-20.80,20,-9.09,"5,885.47",-0.92,"1,137,852",-11.20
2004M11,"1,527.77",-8.87,64.34,-9.79,69.44,-17.16,22,10.00,"5,885.48",-1.11,"1,047,667",-10.87
2004M12,"1,390.07",-2.62,59.00,-2.91,60.44,-2.61,23,0.00,"5,967.39",1.95,"1,007,998",-7.64
2005M01,"1,155.12",-36.76,49.76,-36.19,55.01,-54.82,21,40.00,"5,917.56",-5.11,"912,415",-25.94
2005M02,"1,119.16",-64.77,42.10,-70.32,86.09,-45.80,13,-35.00,"6,100.64",-6.35,"901,503",-42.68
2005M03,"1,677.54",-54.88,62.98,-57.84,72.94,-54.88,23,0.00,"6,103.94",-8.32,"1,080,336",-41.98
2005M04,"1,192.19",-62.18,43.36,-62.84,59.61,-58.39,20,-9.09,"5,876.11",-11.85,"893,955",-48.08
2005M05,"1,309.17",-29.34,46.25,-37.01,62.34,-29.34,21,0.00,"5,930.40",0.32,"870,001",-35.21
2005M06,"1,822.19",25.06,74.51,26.93,82.83,19.37,22,4.76,"6,221.29",8.04,"1,035,018",-8.05
2005M07,"1,885.30",61.81,67.31,40.00,94.26,77.98,20,-9.09,"6,334.58",14.06,"1,046,453",8.63
2005M08,"1,726.64",39.12,55.57,7.13,78.48,26.46,22,10.00,"6,243.56",13.57,"1,044,951",15.91
2005M09,"1,368.79",-20.92,44.54,-40.42,65.18,-20.92,21,0.00,"6,066.80",3.43,"890,655",-19.92
2005M10,"1,415.50",-13.54,47.13,-34.06,70.78,-13.54,20,0.00,"5,879.88",-0.09,"938,888",-17.49
