期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2007M11,352,...,13,...,3,...,...,...,7,...,5,...,1,...,5,...,4,...,9,...,2,...,3,...,14,...,2,...,4,...,40,...,10,...,5,...,92,...,29,...,19,...,8,...,45,...,12,...,8,...,1,...,11,...,251,...,8,...,5,...,...,...,17,...,2,...,1,...,...,...,6,...,11,...,...,...,2,...,8,...,1,...,5,...,21,...,7,...,4,...,41,...,23,...,20,...,8,...,47,...,5,...,1,...,2,...,6,...
2007M12,337,...,22,...,8,...,...,...,9,...,2,...,2,...,8,...,5,...,3,...,2,...,5,...,17,...,2,...,5,...,26,...,12,...,7,...,66,...,34,...,19,...,10,...,48,...,5,...,4,...,6,...,10,...,235,...,9,...,2,...,...,...,11,...,2,...,1,...,5,...,5,...,10,...,1,...,1,...,5,...,...,...,6,...,21,...,2,...,3,...,29,...,18,...,20,...,15,...,47,...,6,...,2,...,2,...,12,...
2008M01,374,24.25,23,27.78,4,-33.33,-,-,5,-16.67,8,300.00,2,100.00,3,50.00,5,66.67,7,-12.50,-,-,7,250.00,8,-42.86,-,-,4,33.33,20,-37.50,13,18.18,9,80.00,96,50.00,30,66.67,16,-5.88,10,0.00,72,38.46,8,-11.11,2,-50.00,8,300.00,14,16.67,298,-8.87,7,-53.33,5,400.00,-,-,19,-24.00,6,500.00,5,400.00,7,-61.11,2,-71.43,10,42.86,2,100.00,2,-33.33,4,-60.00,1,...,2,-33.33,27,-32.50,11,22.22,9,-25.00,42,68.00,20,11.11,31,3.33,6,-57.14,56,-12.50,4,-60.00,3,200.00,5,25.00,12,50.00
2008M02,135,-42.80,7,75.00,-,-,-,-,1,-85.71,2,0.00,2,0.00,2,0.00,-,-,3,-62.50,-,-,6,20.00,6,-33.33,-,-,1,-66.67,14,-6.67,4,-50.00,1,-85.71,29,-57.35,9,-47.06,6,-53.85,2,-77.78,27,-15.63,2,-66.67,4,-20.00,2,-50.00,5,-37.50,129,-20.86,5,-37.50,1,...,-,-,4,-69.23,2,...,4,300.00,3,50.00,2,100.00,2,-33.33,-,-,3,200.00,2,-33.33,-,-,1,0.00,16,14.29,7,133.33,-,-,20,-35.48,12,-14.29,7,-56.25,4,-20.00,29,-6.45,2,-50.00,-,-,1,-50.00,2,-66.67
2008M03,293,-10.40,13,18.18,3,-50.00,-,-,6,-14.29,5,150.00,1,...,1,-50.00,2,-71.43,10,11.11,-,-,3,200.00,11,-21.43,1,...,7,133.33,19,-40.63,4,-42.86,8,14.29,76,10.14,22,-37.14,13,-23.53,16,77.78,48,-26.15,10,25.00,2,100.00,1,-66.67,11,-8.33,229,3.15,8,60.00,1,...,-,-,14,16.67,3,...,-,-,5,-37.50,4,33.33,8,-46.67,1,...,1,...,8,0.00,1,...,3,-25.00,13,-38.10,4,0.00,5,-44.44,32,-5.88,20,17.65,18,-21.74,8,14.29,51,24.39,8,700.00,1,...,2,0.00,10,66.67
2008M04,308,-5.23,12,-7.69,3,50.00,-,-,3,-75.00,4,-20.00,2,...,1,-50.00,6,100.00,7,-53.33,1,...,2,-66.67,13,30.00,1,...,6,20.00,15,-40.00,9,28.57,2,-50.00,83,-6.74,34,54.55,16,-23.81,8,-33.33,58,28.89,5,-61.54,3,-40.00,4,0.00,10,100.00,247,15.96,6,-50.00,5,400.00,-,-,17,0.00,5,400.00,5,150.00,4,...,1,-66.67,12,-20.00,2,...,1,-66.67,3,50.00,2,0.00,3,200.00,17,-15.00,7,250.00,6,50.00,31,55.00,25,78.57,25,47.06,3,-70.00,40,-9.09,8,33.33,2,100.00,7,133.33,10,-23.08
2008M05,340,5.26,21,16.67,5,66.67,-,-,6,-45.45,6,50.00,2,100.00,1,-50.00,4,100.00,6,-14.29,1,...,4,-20.00,11,-21.43,1,...,-,-,27,28.57,6,-14.29,8,300.00,100,36.99,32,-15.79,9,-52.63,9,0.00,54,-14.29,8,14.29,4,-20.00,3,50.00,12,71.43,262,23.00,12,100.00,1,-50.00,-,-,13,-38.10,1,0.00,3,50.00,4,...,1,-50.00,9,12.50,-,-,-,-,10,42.86,-,-,2,0.00,27,68.75,5,400.00,6,100.00,37,23.33,16,-5.88,15,-21.05,13,62.50,57,21.28,5,-16.67,2,...,9,200.00,14,55.56
2008M06,323,5.56,21,-4.55,1,-50.00,-,-,9,12.50,7,75.00,2,...,4,33.33,3,-50.00,8,33.33,-,-,5,25.00,13,44.44,1,...,3,200.00,23,15.00,4,-20.00,5,150.00,85,23.19,34,25.93,12,9.09,17,-29.17,46,-24.59,7,0.00,1,-66.67,3,-50.00,9,50.00,357,41.67,19,26.67,2,100.00,-,-,13,-27.78,8,700.00,2,-50.00,5,150.00,1,0.00,14,27.27,-,-,2,-50.00,10,233.33,-,-,5,25.00,29,123.08,8,14.29,7,-12.50,55,57.14,33,22.22,33,65.00,20,66.67,56,33.33,8,14.29,2,0.00,5,66.67,20,81.82
2008M07,350,-11.17,22,15.79,2,-66.67,-,-,8,-38.46,5,-44.44,1,...,2,...,2,-60.00,7,-61.11,1,...,2,-50.00,11,-38.89,-,-,1,-85.71,34,36.00,6,-33.33,6,100.00,85,-19.05,37,-2.63,17,-15.00,15,15.38,58,5.45,12,71.43,7,...,1,-66.67,8,-52.94,437,71.37,21,162.50,1,...,-,-,37,42.31,6,200.00,3,0.00,1,-75.00,12,300.00,16,33.33,-,-,4,0.00,6,200.00,-,-,4,33.33,40,29.03,10,400.00,7,16.67,55,61.76,41,127.78,28,21.74,22,450.00,88,83.33,8,0.00,2,100.00,6,100.00,19,90.00
2008M08,365,-2.93,16,-40.74,7,133.33,-,-,11,10.00,3,50.00,2,0.00,9,200.00,5,-37.50,8,-46.67,1,...,3,-62.50,11,-15.38,1,...,3,-50.00,32,28.00,16,60.00,6,-33.33,84,-7.69,31,-16.22,13,-51.85,16,45.45,60,33.33,8,-20.00,9,350.00,2,0.00,8,-20.00,483,67.71,18,80.00,2,0.00,-,-,25,66.67,11,...,3,200.00,7,600.00,5,-16.67,27,50.00,-,-,5,66.67,9,-18.18,-,-,3,50.00,36,28.57,13,333.33,9,50.00,75,66.67,30,-9.09,58,81.25,24,118.18,92,104.44,6,-25.00,2,...,5,150.00,18,200.00
2008M09,335,17.54,12,-25.00,3,-25.00,-,-,3,-40.00,7,133.33,1,0.00,-,-,6,100.00,3,-40.00,2,...,5,25.00,18,200.00,1,0.00,2,...,31,72.22,15,66.67,8,60.00,83,31.75,22,-24.14,17,6.25,11,-38.89,59,18.00,5,-37.50,9,80.00,1,-75.00,11,22.22,596,183.81,29,314.29,5,150.00,-,-,28,86.67,15,...,26,766.67,12,200.00,10,66.67,15,150.00,1,...,3,0.00,11,57.14,5,150.00,4,33.33,55,161.90,11,175.00,11,175.00,111,236.36,27,50.00,27,42.11,22,266.67,119,230.56,7,75.00,8,700.00,19,"1,800.00",15,200.00
2008M10,316,-2.47,11,-59.26,4,300.00,-,-,6,20.00,3,-50.00,3,200.00,2,0.00,2,-50.00,10,150.00,-,-,7,16.67,16,45.45,1,0.00,5,0.00,17,-34.62,15,400.00,7,-12.50,71,-4.05,31,14.81,18,-40.00,12,-25.00,42,0.00,7,-30.00,8,300.00,4,100.00,14,27.27,529,91.67,24,71.43,3,200.00,-,-,40,150.00,8,300.00,10,66.67,9,125.00,8,33.33,22,120.00,-,-,4,300.00,13,333.33,7,600.00,5,25.00,48,220.00,12,50.00,12,33.33,86,82.98,33,22.22,33,50.00,28,154.55,74,64.44,14,75.00,4,300.00,6,200.00,26,100.00
