期間,總計_原始值,總計_年增率(%),基隆港_原始值,基隆港_年增率(%),高雄港_原始值,高雄港_年增率(%),臺中港_原始值,臺中港_年增率(%),臺北港_原始值,臺北港_年增率(%),桃園空港_原始值,桃園空港_年增率(%)
2012M07,"39,358,114",73.82,"947,036",134.66,"2,803,819",27.95,"20,350,904",368.55,"4,858,042",-21.81,"10,398,313",9.55
2012M08,"38,610,391",77.52,"1,313,178",174.81,"2,169,066",50.10,"19,766,329",326.88,"4,279,641",8.19,"11,082,176",-1.41
2012M09,"44,418,329",89.38,"1,918,067",259.94,"2,976,443",100.01,"24,195,468",453.38,"4,252,769",-19.35,"11,075,582",-6.05
2012M10,"43,511,192",51.40,"2,657,691",572.94,"2,217,055",18.47,"22,012,512",135.16,"5,229,063",-18.57,"11,392,908",6.56
2012M11,"61,593,096",57.67,"1,046,102",174.97,"2,208,396",37.00,"42,609,611",108.29,"5,219,846",-8.92,"10,508,787",-3.45
2012M12,"58,643,722",84.97,"783,391",108.22,"2,483,183",47.00,"42,205,639",196.95,"3,620,909",-31.06,"9,550,599",-6.06
2013M01,"62,807,664",109.70,"662,043",142.43,"2,419,387",51.45,"44,161,840",164.73,"3,885,083",-9.34,"11,679,311",64.17
2013M02,"37,285,898",27.55,"246,505",-22.44,"1,838,305",-18.05,"22,894,507",63.14,"4,526,956",-23.41,"7,779,625",15.65
2013M03,"83,360,750",73.46,"712,670",17.85,"2,714,892",-36.14,"52,686,814",78.13,"6,731,216",31.44,"20,515,157",141.25
2013M04,"80,846,802",190.36,"1,374,874",94.64,"2,811,785",42.09,"52,003,102",310.45,"5,987,100",15.18,"18,669,941",156.08
2013M05,"63,480,083",53.03,"1,490,957",116.14,"2,135,281",-32.46,"32,430,309",33.68,"5,392,422",30.34,"22,031,115",138.69
2013M06,"38,502,173",-1.85,"935,046",-42.89,"2,045,998",6.31,"14,204,471",-35.94,"5,046,636",15.04,"16,270,022",78.68
2013M07,"46,746,448",18.77,"1,100,840",16.24,"2,376,673",-15.23,"16,732,253",-17.78,"5,738,885",18.13,"20,797,254",100.01
2013M08,"38,448,602",-0.42,"1,135,364",-13.54,"2,176,545",0.34,"20,012,599",1.25,"5,571,342",30.18,"9,549,832",-13.83
2013M09,"50,423,155",13.52,"1,222,717",-36.25,"2,590,745",-12.96,"28,696,713",18.60,"7,719,222",81.51,"10,190,842",-7.99
2013M10,"54,158,487",24.47,"1,958,264",-26.32,"2,969,736",33.95,"32,996,003",49.90,"6,732,641",28.75,"9,501,844",-16.60
2013M11,"58,638,220",-4.80,"1,385,052",32.40,"2,484,381",12.50,"35,522,161",-16.63,"9,308,941",78.34,"9,936,213",-5.45
2013M12,"54,237,092",-7.51,"1,842,451",135.19,"2,015,841",-18.82,"31,842,908",-24.55,"8,262,834",128.20,"10,266,184",7.49
2014M01,"46,461,366",-26.03,"1,838,238",177.66,"2,437,175",0.74,"26,277,733",-40.50,"5,796,175",49.19,"10,107,596",-13.46
2014M02,"33,867,134",-9.17,"832,209",237.60,"1,836,922",-0.08,"16,685,844",-27.12,"5,834,316",28.88,"8,677,843",11.55
2014M03,"51,303,860",-38.46,"765,990",7.48,"2,764,820",1.84,"25,218,512",-52.14,"10,172,400",51.12,"12,380,709",-39.65
2014M04,"53,722,942",-33.55,"1,189,509",-13.48,"4,032,233",43.40,"21,475,552",-58.70,"10,131,605",69.22,"16,891,087",-9.53
2014M05,"47,107,546",-25.79,"1,508,105",1.15,"3,700,103",73.28,"14,987,823",-53.78,"9,505,710",76.28,"17,405,805",-20.99
2014M06,"45,244,399",17.51,"1,333,269",42.59,"2,680,805",31.03,"16,522,210",16.32,"7,892,743",56.40,"16,814,736",3.35
2014M07,"48,044,702",2.78,"1,341,919",21.90,"4,762,782",100.40,"14,468,963",-13.53,"7,055,556",22.94,"20,415,327",-1.84
