期間,期末營業車輛(輛)_原始值,期末營業車輛(輛)_年增率(%),行車次數(次)_原始值,行車次數(次)_年增率(%),行車里程(千車公里)_原始值,行車里程(千車公里)_年增率(%),貨運噸數(千公噸)_原始值,貨運噸數(千公噸)_年增率(%),延噸公里(千噸公里)_原始值,延噸公里(千噸公里)_年增率(%),平均每噸貨物運距(公里)_原始值,平均每噸貨物運距(公里)_年增率(%),貨運收入(千元)_原始值,貨運收入(千元)_年增率(%)
1999,"72,446",...,"24,895,740",...,"3,699,810",...,"349,875",...,"18,251,144",...,52.2,...,"70,326,553",...
2000,"72,900",0.63,"25,836,282",3.78,"3,851,480",4.10,"343,543",-1.81,"18,232,947",-0.10,53.1,1.74,"71,015,781",0.98
2001,"80,644",10.62,"38,463,075",48.87,"4,764,429",23.70,"502,300",46.21,"27,810,051",52.53,55.4,4.32,"99,922,253",40.70
