期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),不動產及租賃業_原始值,不動產及租賃業_年增率(%),不動產及租賃業_原始值,不動產及租賃業_年增率(%),不動產及租賃業_原始值,不動產及租賃業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),醫療保健及社會福利服務業_原始值,醫療保健及社會福利服務業_年增率(%),醫療保健及社會福利服務業_原始值,醫療保健及社會福利服務業_年增率(%),醫療保健及社會福利服務業_原始值,醫療保健及社會福利服務業_年增率(%),文化、運動及休閒服務業_原始值,文化、運動及休閒服務業_年增率(%),文化、運動及休閒服務業_原始值,文化、運動及休閒服務業_年增率(%),文化、運動及休閒服務業_原始值,文化、運動及休閒服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%)
2003M01,"9,524",0.81,"5,566",0.24,"3,958",1.63,705,-1.80,507,-3.24,198,2.08,9,-1.28,7,5.33,1,-25.37,"2,582",1.65,"1,588",1.30,994,2.22,35,-0.21,29,-1.39,5,6.63,715,-2.33,637,-3.26,78,6.01,"1,686",0.83,891,1.28,795,0.34,587,4.02,249,4.01,338,4.04,471,-2.93,372,-2.69,99,-3.82,372,-2.87,156,-0.24,216,-4.68,61,-7.62,37,-0.90,24,-16.60,285,0.73,152,-1.10,133,2.90,506,6.28,168,4.81,338,7.03,293,2.83,89,11.09,204,-0.40,182,-2.14,96,-5.40,86,1.78,689,2.37,383,5.68,306,-1.49,346,1.98,204,-3.98,141,12.03
2003M02,"9,500",0.85,"5,542",0.02,"3,959",2.05,701,-1.85,498,-5.88,203,9.68,9,-2.85,7,0.10,1,-14.93,"2,584",1.30,"1,603",2.32,981,-0.33,35,-0.49,30,0.18,5,-4.24,707,-2.43,630,-2.42,76,-2.49,"1,686",0.47,890,-1.08,796,2.26,585,2.61,251,2.22,334,2.91,470,-1.67,365,-0.74,104,-4.81,376,-2.57,139,-11.30,238,3.37,58,1.72,35,3.94,23,-1.54,290,0.71,154,-5.21,136,8.41,502,7.43,172,5.90,330,8.25,292,5.42,88,6.25,204,5.07,177,-6.79,90,-9.04,87,-4.35,681,2.70,375,8.91,306,-4.02,348,4.78,213,3.16,135,7.45
2003M03,"9,514",1.04,"5,544",0.22,"3,970",2.19,700,-1.18,506,-5.04,194,10.56,9,-1.33,7,1.67,1,-15.73,"2,587",1.00,"1,577",2.50,"1,010",-1.27,35,0.17,30,-0.61,5,4.98,700,-2.88,632,-1.55,68,-13.71,"1,695",0.25,889,-2.48,806,3.44,579,1.21,244,0.12,336,2.01,475,-1.04,369,-1.39,106,0.20,382,0.53,141,2.58,241,-0.64,62,18.79,40,7.70,22,45.01,292,-0.36,158,-4.43,134,4.95,499,6.14,160,-3.56,339,11.42,289,3.12,91,0.29,198,4.46,173,-5.08,92,0.92,81,-11.14,686,4.38,384,8.58,303,-0.49,350,8.41,225,6.54,126,11.94
2003M04,"9,535",1.00,"5,561",0.42,"3,974",1.82,697,-2.24,505,-4.32,192,3.68,9,-2.74,7,-2.22,1,-5.55,"2,584",0.76,"1,569",0.94,"1,014",0.48,35,-0.67,29,-0.54,5,-1.37,695,-4.42,631,-3.78,64,-10.34,"1,703",0.20,891,-0.88,812,1.42,582,1.08,251,1.28,331,0.94,479,1.06,375,1.13,104,0.81,388,1.64,166,16.25,222,-7.07,60,8.68,39,-1.66,21,34.89,289,-1.82,160,4.91,129,-9.07,503,6.27,148,-6.51,355,12.68,292,2.59,90,-2.12,202,4.83,178,1.08,91,1.95,87,0.19,693,4.44,385,5.06,308,3.67,352,11.07,224,9.39,128,14.15
2003M05,"9,523",0.75,"5,551",0.27,"3,972",1.43,695,-1.89,492,-4.67,203,5.53,8,-6.57,7,-7.42,1,-1.60,"2,577",0.46,"1,581",0.67,996,0.13,35,-1.09,29,-0.71,5,-3.18,698,-4.66,620,-6.26,78,10.34,"1,695",-0.42,898,-0.08,797,-0.81,576,-0.50,246,-2.70,330,1.20,481,2.33,378,5.96,103,-9.09,384,2.18,162,3.77,223,1.06,61,-0.04,39,-5.17,22,10.25,291,0.08,153,9.77,138,-8.81,505,6.17,163,0.12,342,9.32,288,3.34,92,6.61,197,1.88,180,-0.46,91,0.83,89,-1.76,696,4.33,376,4.06,319,4.65,352,9.98,224,8.96,128,11.82
2003M06,"9,542",0.93,"5,564",0.36,"3,977",1.73,699,-0.43,495,-3.32,205,7.33,8,-8.89,7,-5.13,1,-25.47,"2,585",0.58,"1,580",0.63,"1,005",0.50,35,-1.05,29,-2.13,5,5.23,703,-4.76,619,-6.62,84,11.76,"1,693",-0.16,895,-0.65,798,0.41,575,-0.36,244,-2.62,331,1.38,486,2.52,384,5.55,102,-7.47,385,1.53,160,0.22,225,2.48,64,-1.54,40,-1.64,24,-1.37,288,0.32,154,2.35,134,-1.92,503,4.62,179,4.36,325,4.76,288,4.65,97,18.78,191,-1.28,185,0.51,92,-1.91,93,3.02,692,4.85,377,8.06,314,1.24,353,9.66,213,5.92,140,15.86
2003M07,"9,593",1.32,"5,596",0.76,"3,997",2.12,704,0.45,499,-1.37,204,5.21,8,-9.93,7,-11.00,1,-4.71,"2,594",0.94,"1,586",0.76,"1,008",1.22,35,-1.13,29,-3.75,5,15.86,709,-3.28,631,-3.01,77,-5.47,"1,705",-0.44,894,-0.66,811,-0.20,577,-0.17,248,-2.10,329,1.34,490,2.94,388,4.78,101,-3.53,378,-0.76,158,-2.14,220,0.25,68,11.48,38,9.17,30,14.52,280,-1.76,152,-0.95,128,-2.71,511,5.12,175,3.01,336,6.26,286,5.94,92,18.30,194,0.96,191,2.15,94,-2.17,97,6.74,682,3.67,378,5.15,304,1.90,376,15.04,225,8.73,151,25.92
2003M08,"9,613",1.47,"5,602",0.83,"4,011",2.38,700,-0.38,498,-1.31,201,1.98,8,-7.77,6,-15.54,2,37.56,"2,589",0.99,"1,598",1.27,991,0.54,35,-0.71,29,-2.78,5,12.13,703,-2.74,630,-1.54,73,-12.09,"1,715",-0.07,899,-1.04,816,1.01,584,1.87,251,2.02,333,1.76,495,3.31,386,2.46,109,6.46,372,-1.63,156,-7.72,216,3.29,72,11.07,41,3.36,31,23.05,277,-1.38,145,-3.37,132,0.90,518,5.16,166,4.02,352,5.71,280,2.58,80,13.38,200,-1.17,197,3.13,102,0.16,95,6.51,687,3.73,376,2.45,311,5.32,381,15.70,239,15.02,142,16.84
2003M09,"9,584",1.49,"5,585",0.68,"3,999",2.64,695,-1.74,499,-1.38,196,-2.67,8,-5.73,7,-9.44,2,12.60,"2,585",1.19,"1,616",1.60,969,0.52,35,-0.56,29,0.04,5,-3.79,699,-3.13,620,-2.63,79,-6.83,"1,690",-0.25,877,-0.98,813,0.55,583,1.13,254,0.09,329,1.95,498,3.59,388,0.65,110,15.41,368,-0.96,155,-3.74,214,1.15,69,15.12,38,-5.80,31,58.03,275,-0.63,141,-7.06,134,7.17,522,4.79,174,3.43,348,5.49,283,2.59,72,-0.10,211,3.55,193,5.54,102,2.03,91,9.73,693,3.96,375,5.60,318,2.09,386,16.66,238,16.84,149,16.37
2003M10,"9,612",1.70,"5,600",0.94,"4,012",2.78,690,-2.84,496,-0.70,194,-7.91,8,-13.35,6,-15.68,2,-2.30,"2,592",1.10,"1,609",0.73,983,1.72,35,-0.44,29,-2.18,6,8.75,694,-3.19,619,-4.18,75,5.84,"1,696",0.36,889,1.23,807,-0.58,589,2.72,255,1.93,334,3.33,494,3.38,388,2.08,106,8.42,370,-1.20,150,-4.71,220,1.35,73,21.32,40,6.16,33,46.91,280,2.11,153,3.47,127,0.52,529,4.92,184,6.43,345,4.12,288,3.83,81,0.39,207,5.26,190,5.45,99,5.64,91,5.25,699,4.01,377,4.61,322,3.31,386,15.86,225,7.62,160,29.81
