期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),漁業人員_原始值,漁業人員_年增率(%),漁業人員_原始值,漁業人員_年增率(%)
2006M09,"1,493",-56.60,"1,461",-28.28,612,-49.42,371,-28.10,108,170.00,83,151.52,125,-44.20,198,3.66,190,-60.25,123,-65.45,50,-61.83,92,196.77,24,50.00,48,-27.27,0,--,0,--,143,-65.95,128,-9.86,123,-73.94,283,-25.13,66,-78.36,83,-53.89,52,-63.89,52,-63.89
2006M10,"1,570",-43.57,"1,146",-51.87,400,-11.11,402,-16.08,6,-80.65,82,26.15,198,-50.62,86,-48.50,83,-82.30,98,-78.70,61,134.62,24,-57.14,62,-29.55,0,-100.00,0,--,0,--,258,24.64,118,-27.61,231,-46.28,94,-79.48,97,-83.36,68,-82.61,174,79.38,174,79.38
2006M11,828,-54.80,710,-55.01,214,-53.88,218,-33.74,110,340.00,63,--,68,-26.88,163,143.28,106,-71.88,24,-91.61,35,-18.60,0,-100.00,13,-55.17,0,--,0,--,0,--,201,6.35,162,-34.68,44,-86.87,14,-93.27,0,-100.00,29,-92.14,37,-28.85,37,-28.85
2006M12,388,-26.52,"3,988",-16.60,164,105.00,"1,253",-10.31,35,75.00,146,18.70,26,-60.00,707,-19.66,32,0.00,451,11.63,3,--,184,-32.10,0,-100.00,129,-23.21,0,--,19,-24.00,22,-58.49,498,-14.14,0,-100.00,449,-32.88,50,-37.50,96,-48.66,56,-28.21,56,-28.21
2007M01,"3,629",18.48,733,121.45,"1,274",9.83,155,6.90,176,35.38,32,220.00,521,-2.62,24,-60.00,320,24.03,79,--,295,104.86,24,--,71,12.70,40,--,30,15.38,0,--,373,71.89,141,327.27,448,-5.88,220,348.98,103,267.86,0,-100.00,18,-30.77,18,--
2007M02,"1,517",-17.87,668,-22.24,291,-40.97,198,-29.79,44,7.32,29,61.11,285,-37.36,110,6.80,123,-8.89,60,-18.92,55,103.70,79,182.14,84,50.00,0,-100.00,0,--,0,--,283,-16.02,70,-4.11,326,44.89,33,-81.67,0,-100.00,63,--,26,-42.22,26,-65.79
2007M03,"1,481",-3.83,686,-9.14,556,13.70,288,-12.73,45,-57.55,96,284.00,320,42.22,73,-52.29,97,-12.61,16,6.67,0,-100.00,7,--,0,-100.00,0,--,0,--,0,--,275,53.63,41,-18.00,84,-40.00,78,59.18,72,44.00,55,10.00,32,-61.45,32,-61.45
2007M04,"1,017",-0.39,"1,002",-43.80,372,-2.36,453,-36.73,54,-21.74,13,-82.89,112,-36.72,101,-60.24,137,55.68,100,-39.76,69,--,32,-44.83,0,--,25,-41.86,0,--,0,--,141,50.00,109,-48.58,86,-21.10,123,-33.51,0,-100.00,0,--,46,-36.99,46,-36.99
2007M05,"1,719",-3.54,"1,917",116.12,536,-6.13,408,69.29,54,-22.86,69,68.29,236,-14.18,333,16.03,250,0.81,109,--,71,69.05,81,--,50,35.14,19,--,0,--,0,--,276,-5.48,506,360.00,151,-5.03,271,141.96,48,118.18,74,146.67,47,-28.79,47,-28.79
2007M06,900,58.17,"3,676",10.49,159,-4.79,"1,253",18.32,34,183.33,123,-28.07,83,--,557,-7.01,37,32.14,472,76.12,0,-100.00,121,-19.87,30,-31.82,129,32.99,0,--,25,4.17,139,152.73,362,23.13,250,390.20,465,10.45,63,-5.97,64,-46.67,105,-14.63,105,-14.63
2007M07,"3,403",3.22,720,-48.79,"1,116",-5.50,289,-21.04,193,36.88,12,-81.25,622,13.92,187,-25.20,395,-3.89,42,-71.62,229,27.22,26,188.89,63,-5.97,0,-100.00,26,23.81,0,--,344,39.27,65,-71.37,309,-20.36,0,-100.00,33,-58.23,26,-62.32,73,102.78,73,102.78
2007M08,"2,064",-12.28,"2,053",25.26,537,-15.57,603,-1.63,17,-80.23,116,110.91,296,-31.64,160,22.14,138,-45.88,262,20.18,28,--,62,6.90,26,-46.94,19,0.00,0,--,0,--,257,-28.01,279,-1.41,313,-17.63,161,9.52,52,23.81,0,--,400,247.83,391,240.00
2007M09,"2,036",36.37,"1,021",-30.12,857,40.03,371,0.00,102,-5.56,25,-69.88,203,62.40,156,-21.21,124,-34.74,70,-43.09,66,32.00,78,-15.22,44,83.33,25,-47.92,0,--,0,--,325,127.27,100,-21.88,289,134.96,174,-38.52,0,-100.00,0,-100.00,26,-50.00,22,-57.69
2007M10,"1,699",8.22,"1,940",69.28,385,-3.75,465,15.67,82,"1,266.67",111,35.37,319,61.11,280,225.58,93,12.05,79,-19.39,53,-13.11,69,187.50,57,-8.06,27,--,0,--,0,--,187,-27.52,336,184.75,393,70.13,456,385.11,25,-74.23,20,-70.59,105,-39.66,97,-44.25
2007M11,"1,080",30.43,695,-2.11,500,133.64,304,39.45,74,-32.73,18,-71.43,77,13.24,94,-42.33,81,-23.58,52,116.67,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,162,-19.40,35,-78.40,140,218.18,119,750.00,0,--,27,-6.90,46,24.32,46,24.32
2007M12,283,-27.06,"4,172",4.61,95,-42.07,"1,359",8.46,0,-100.00,210,43.84,0,-100.00,650,-8.06,0,-100.00,396,-12.20,0,-100.00,155,-15.76,0,--,100,-22.48,0,--,19,0.00,86,290.91,597,19.88,0,--,539,20.04,50,0.00,100,4.17,52,-7.14,47,-16.07
2008M01,"3,777",4.08,449,-38.74,"1,194",-6.28,106,-31.61,225,27.84,0,-100.00,443,-14.97,12,-50.00,431,34.69,44,-44.30,229,-22.37,0,-100.00,65,-8.45,27,-32.50,33,10.00,0,--,459,23.06,114,-19.15,617,37.72,132,-40.00,67,-34.95,0,--,14,-22.22,14,-22.22
2008M02,"1,474",-2.83,919,37.57,327,12.37,274,38.38,44,0.00,20,-31.03,280,-1.75,128,16.36,121,-1.63,59,-1.67,53,-3.64,57,-27.85,52,-38.10,26,--,0,--,0,--,304,7.42,149,112.86,185,-43.25,100,203.03,49,--,49,-22.22,59,126.92,57,119.23
2008M03,"1,736",17.22,732,6.71,676,21.58,294,2.08,140,211.11,71,-26.04,128,-60.00,62,-15.07,140,44.33,0,-100.00,0,--,44,528.57,0,--,0,--,0,--,0,--,237,-13.82,30,-26.83,281,234.52,123,57.69,71,-1.39,45,-18.18,63,96.88,63,96.88
2008M04,808,-20.55,"1,498",49.50,272,-26.88,613,35.32,41,-24.07,70,438.46,139,24.11,248,145.54,106,-22.63,101,1.00,35,-49.28,19,-40.62,0,--,0,-100.00,0,--,0,--,41,-70.92,165,51.38,60,-30.23,172,39.84,0,--,0,--,114,147.83,110,139.13
2008M05,"2,207",28.39,"2,027",5.74,876,63.43,715,75.25,34,-37.04,155,124.64,319,35.17,157,-52.85,273,9.20,116,6.42,39,-45.07,55,-32.10,17,-66.00,18,-5.26,0,--,0,--,317,14.86,361,-28.66,256,69.54,349,28.78,43,-10.42,68,-8.11,33,-29.79,33,-29.79
2008M06,"1,366",51.78,"3,659",-0.46,359,125.79,992,-20.83,49,44.12,54,-56.10,76,-8.43,659,18.31,60,62.16,497,5.30,62,--,146,20.66,30,0.00,91,-29.46,0,--,24,-4.00,166,19.42,429,18.51,364,45.60,520,11.83,47,-25.40,101,57.81,153,45.71,146,39.05
2008M07,"4,007",17.75,991,37.64,"1,128",1.08,287,-0.69,252,30.57,41,241.67,653,4.98,112,-40.11,519,31.39,146,247.62,180,-21.40,29,11.54,63,0.00,0,--,27,3.85,0,--,430,25.00,151,132.31,522,68.93,90,--,97,193.94,0,-100.00,136,86.30,135,84.93
2008M08,"1,458",-29.36,"2,009",-2.14,460,-14.34,838,38.97,107,529.41,177,52.59,154,-47.97,162,1.25,142,2.90,215,-17.94,28,0.00,76,22.58,30,15.38,33,73.68,0,--,0,--,362,40.86,269,-3.58,127,-59.42,191,18.63,0,-100.00,0,--,48,-88.00,48,-87.72
2008M09,"2,553",25.39,"1,544",51.22,"1,032",20.42,484,30.46,106,3.92,79,216.00,429,111.33,280,79.49,199,60.48,110,57.14,102,54.55,35,-55.13,20,-54.55,28,12.00,0,--,0,--,314,-3.38,136,36.00,278,-3.81,295,69.54,0,--,26,--,73,180.77,71,222.73
2008M10,"1,212",-28.66,"1,274",-34.33,317,-17.66,310,-33.33,41,-50.00,71,-36.04,190,-40.44,186,-33.57,98,5.38,118,49.37,0,-100.00,42,-39.13,28,-50.88,0,-100.00,0,--,0,--,211,12.83,299,-11.01,277,-29.52,199,-56.36,0,-100.00,0,-100.00,50,-52.38,49,-49.48
2008M11,976,-9.63,970,39.57,387,-22.60,321,5.59,54,-27.03,42,133.33,92,19.48,109,15.96,108,33.33,134,157.69,36,--,33,--,0,--,27,--,0,--,0,--,106,-34.57,132,277.14,123,-12.14,108,-9.24,0,--,0,-100.00,70,52.17,64,39.13
2008M12,461,62.90,"4,460",6.90,180,89.47,"1,294",-4.78,0,--,149,-29.05,0,--,716,10.15,0,--,424,7.07,0,--,172,10.97,0,--,91,-9.00,0,--,0,-100.00,62,-27.91,667,11.73,92,--,763,41.56,48,-4.00,106,6.00,79,51.92,78,65.96
2009M01,"4,144",9.72,257,-42.76,"1,284",7.54,86,-18.87,194,-13.78,38,--,706,59.37,0,-100.00,378,-12.30,0,-100.00,356,55.46,30,--,95,46.15,0,-100.00,0,-100.00,0,--,385,-16.12,0,-100.00,606,-1.78,0,-100.00,85,26.87,48,--,55,292.86,55,292.86
2009M02,"2,128",44.37,689,-25.03,533,63.00,360,31.39,36,-18.18,25,25.00,250,-10.71,42,-67.19,233,92.56,55,-6.78,23,-56.60,57,0.00,122,134.62,0,-100.00,0,--,0,--,432,42.11,52,-65.10,391,111.35,58,-42.00,65,32.65,0,-100.00,43,-27.12,40,-29.82
2009M03,"1,764",1.61,"1,040",42.08,547,-19.08,282,-4.08,119,-15.00,69,-2.82,232,81.25,132,112.90,114,-18.57,0,--,60,--,46,4.55,0,--,28,--,0,--,0,--,166,-29.96,76,153.33,382,35.94,292,137.40,73,2.82,48,6.67,71,12.70,67,6.35
2009M04,"1,187",46.91,"2,503",67.09,238,-12.50,938,53.02,43,4.88,38,-45.71,165,18.71,291,17.34,98,-7.55,243,140.59,53,51.43,56,194.74,26,--,74,--,0,--,0,--,135,229.27,241,46.06,278,363.33,478,177.91,20,--,20,--,131,14.91,124,12.73
2009M05,"2,468",11.83,"1,879",-7.30,644,-26.48,298,-58.32,52,52.94,71,-54.19,237,-25.71,179,14.01,130,-52.38,102,-12.07,352,802.56,64,16.36,52,205.88,82,355.56,0,--,0,--,219,-30.91,268,-25.76,401,56.64,411,17.77,0,-100.00,49,-27.94,381,"1,054.55",355,975.76
2009M06,"1,914",40.12,"5,022",37.25,480,33.70,"1,221",23.08,39,-20.41,96,77.78,269,253.95,779,18.21,90,50.00,439,-11.67,67,8.06,490,235.62,0,-100.00,100,9.89,0,--,26,8.33,217,30.72,471,9.79,158,-56.59,746,43.46,48,2.13,115,13.86,546,256.86,539,269.18
2009M07,"4,137",3.24,"1,614",62.87,973,-13.74,363,26.48,195,-22.62,14,-65.85,586,-10.26,255,127.68,460,-11.37,85,-41.78,454,152.22,134,362.07,105,66.67,0,--,30,11.11,0,--,251,-41.63,189,25.17,662,26.82,227,152.22,102,5.15,40,--,319,134.56,307,127.41
2009M08,"3,264",123.87,"2,751",36.93,584,26.96,689,-17.78,128,19.63,147,-16.95,354,129.87,263,62.35,233,64.08,122,-43.26,217,675.00,242,218.42,74,146.67,28,-15.15,0,--,0,--,464,28.18,250,-7.06,377,196.85,247,29.32,61,--,0,--,772,"1,508.33",763,"1,489.58"
2009M09,"2,667",4.47,"2,109",36.59,658,-36.24,433,-10.54,94,-11.32,127,60.76,421,-1.86,187,-33.21,116,-41.71,158,43.64,188,84.31,209,497.14,54,170.00,78,178.57,0,--,0,--,295,-6.05,105,-22.79,494,77.70,474,60.68,42,--,42,61.54,305,317.81,296,316.90
2009M10,"1,440",18.81,"1,720",35.01,542,70.98,499,60.97,45,9.76,0,-100.00,179,-5.79,314,68.82,115,17.35,147,24.58,75,--,91,116.67,0,-100.00,27,--,0,--,0,--,134,-36.49,316,5.69,212,-23.47,193,-3.02,0,--,0,--,138,176.00,133,171.43
2009M11,"1,796",84.02,"1,714",76.70,436,12.66,363,13.08,0,-100.00,43,2.38,109,18.48,141,29.36,91,-15.74,104,-22.39,54,50.00,91,175.76,52,--,13,-51.85,0,--,0,--,309,191.51,266,101.52,390,217.07,327,202.78,70,--,90,--,285,307.14,276,331.25
2009M12,581,26.03,"4,550",2.02,86,-52.22,"1,093",-15.53,0,--,166,11.41,108,--,722,0.84,0,--,397,-6.37,0,--,294,70.93,0,--,143,57.14,0,--,0,--,30,-51.61,571,-14.39,101,9.78,822,7.73,18,-62.50,111,4.72,238,201.27,231,196.15
2010M01,"4,232",2.12,327,27.24,"1,106",-13.86,87,1.16,165,-14.95,0,-100.00,672,-4.82,105,--,510,34.92,58,--,330,-7.30,0,-100.00,107,12.63,0,--,0,--,0,--,412,7.01,0,--,786,29.70,0,--,112,31.76,48,0.00,32,-41.82,29,-47.27
2010M02,851,-60.01,961,39.48,149,-72.05,203,-43.61,31,-13.89,34,36.00,102,-59.20,95,126.19,0,-100.00,48,-12.73,37,60.87,123,115.79,0,-100.00,0,--,0,--,0,--,139,-67.82,169,225.00,274,-29.92,204,251.72,29,-55.38,0,--,90,109.30,85,112.50
2010M03,"2,381",34.98,"1,147",10.29,639,16.82,304,7.80,78,-34.45,66,-4.35,297,28.02,221,67.42,213,86.84,15,--,101,68.33,25,-45.65,22,--,0,-100.00,0,--,0,--,352,112.05,20,-73.68,434,13.61,255,-12.67,42,-42.47,42,-12.50,203,185.92,199,197.01
2010M04,"1,245",4.89,"1,998",-20.18,292,22.69,717,-23.56,96,123.26,85,123.68,172,4.24,320,9.97,64,-34.69,110,-54.73,27,-49.06,75,33.93,0,-100.00,0,-100.00,0,--,0,--,92,-31.85,149,-38.17,243,-12.59,290,-39.33,0,-100.00,0,-100.00,259,97.71,252,103.23
2010M05,"2,517",1.99,"1,561",-16.92,781,21.27,282,-5.37,60,15.38,16,-77.46,357,50.63,151,-15.64,175,34.62,85,-16.67,128,-63.64,53,-17.19,0,-100.00,79,-3.66,0,--,0,--,351,60.27,284,5.97,336,-16.21,288,-29.93,0,--,0,-100.00,329,-13.65,323,-9.01
2010M06,896,-53.19,"3,609",-28.14,273,-43.12,912,-25.31,0,-100.00,144,50.00,42,-84.39,617,-20.80,108,20.00,425,-3.19,18,-73.13,176,-64.08,29,--,14,-86.00,0,--,20,-23.08,79,-63.59,515,9.34,162,2.53,549,-26.41,47,-2.08,103,-10.43,138,-74.73,134,-75.14
