期間,噸數(千公噸)-合計_原始值,噸數(千公噸)-合計_年增率(%),延噸公里(千噸公里)-合計_原始值,延噸公里(千噸公里)-合計_年增率(%),平均每噸貨物運距(公里)-合計_原始值,平均每噸貨物運距(公里)-合計_年增率(%),噸數(千公噸)-台鐵_原始值,噸數(千公噸)-台鐵_年增率(%),延噸公里(千噸公里)-台鐵_原始值,延噸公里(千噸公里)-台鐵_年增率(%),平均每噸貨物運距(公里)-台鐵_原始值,平均每噸貨物運距(公里)-台鐵_年增率(%),貨運收入(千元)-台鐵_原始值,貨運收入(千元)-台鐵_年增率(%),噸數(千公噸)-生產事業機構_原始值,噸數(千公噸)-生產事業機構_年增率(%),延噸公里(千噸公里)-生產事業機構_原始值,延噸公里(千噸公里)-生產事業機構_年增率(%)
1999,"25,993",...,"1,314,912",...,50.6,...,"16,663",...,"1,278,985",...,76.8,...,"1,555,478",...,"9,330",...,"35,927",...
2000,"22,261",-14.36,"1,179,056",-10.33,53.0,4.70,"14,481",-13.09,"1,150,290",-10.06,79.4,3.48,"1,388,844",-10.71,"7,779",-16.62,"28,766",-19.93
2001,"19,287",-13.36,"1,009,863",-14.35,52.4,-1.14,"12,371",-14.57,"984,633",-14.40,79.6,0.20,"1,183,135",-14.81,"6,916",-11.10,"25,230",-12.29
