期間,本國銀行_原始值,本國銀行_年增率(%),本國銀行_原始值,本國銀行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),信用合作社_原始值,信用合作社_年增率(%),信用合作社_原始值,信用合作社_年增率(%)
2005M09,"195,555",143.86,"205,912",52.79,"6,460",303.75,"58,000","1,971.43",-,-,"8,290",56.86,"88,403",59.11,"3,466",28.37,"10,350",-23.33,"25,100",325.42,-,-,-,-
2005M10,"237,322",130.30,"192,060",50.51,"4,588",130.55,"88,692",705.19,50,-90.91,"6,505",47.17,"67,885",21.72,"5,350",56.66,"20,672",-,"37,910",154.43,-,-,-,-
2005M11,"248,372",146.51,"247,439",114.64,"3,891",157.68,"76,350",529.43,300,0.00,"4,920",24.56,"75,681",29.03,"4,400",-28.46,"29,205",-,"24,340",2.66,-,-,-,-
2005M12,"202,775",81.36,"192,510",62.76,"8,080",977.33,"51,998",200.22,-,-,"6,905",67.39,"87,906",78.91,"10,310",-2.24,"10,023",-,"47,061",299.84,-,-,-,-
2006M01,"268,966",120.75,"215,071",59.45,"2,530",-57.15,"70,248",207.90,100,-76.19,"5,940",74.71,"88,167",49.59,"8,854",50.96,"6,700",-,"66,350",229.44,-,-,-,-
2006M02,"254,248",113.13,"277,655",178.55,"2,276",97.91,"47,579",2.88,-,-,"6,500",38.59,"101,820",73.38,660,-84.88,"6,400",-,"32,350",31.83,-,-,-,-
2006M03,"236,238",55.37,"205,070",48.02,"5,791",293.95,"59,792",11.43,-,-,"5,290",1.54,"62,670",4.67,"6,952",145.65,"8,550",327.50,"36,145",132.49,-,-,-,-
2006M04,"276,452",85.23,"198,901",29.39,"7,230",23.17,"85,817",120.33,-,-,"4,830",-0.82,"66,846",-1.88,"6,117",178.93,"10,277",927.70,"65,140",162.62,-,-,-,-
2006M05,"273,353",99.56,"202,301",33.20,"1,700",-69.80,"83,216",155.85,-,-,"4,280",-17.85,"78,613",10.92,"4,787",145.11,"8,320",-,"67,402",203.20,-,-,-,-
2006M06,"265,735",76.97,"241,625",62.65,"5,837","4,390.00","59,936",12.20,100,-,"3,950",-25.19,"63,270",6.66,"1,021",-82.06,"10,490",-20.53,"38,900",294.12,-,-,-,-
2006M07,"203,737",15.88,"166,748",-1.08,"9,024",67.42,"55,293",-26.07,150,-,"6,550",-4.87,"56,008",-16.72,"1,694",-61.91,"9,586",-48.18,"48,220",292.99,-,-,-,-
2006M08,"176,683",-14.71,"186,659",2.82,"7,140",647.64,"29,327",-63.21,50,0.00,"6,680",9.24,"78,609",4.94,"3,376",-31.05,"7,800",-55.15,"44,240",56.91,-,-,-,-
2006M09,"204,846",4.75,"225,774",9.65,"22,207",243.76,"21,678",-62.62,-,-,"7,550",-8.93,"89,684",1.45,"3,585",3.43,"5,500",-46.86,"63,650",153.59,-,-,-,-
2006M10,"203,271",-14.35,"205,595",7.05,"25,410",453.84,"14,601",-83.54,-,-,"8,895",36.74,"81,661",20.29,"11,275",110.75,"5,400",-73.88,"75,376",98.83,-,-,-,-
2006M11,"155,232",-37.50,"168,210",-32.02,"10,040",158.03,"21,326",-72.07,-,-,"7,310",48.58,"67,329",-11.04,"6,555",48.98,"1,930",-93.39,"31,130",27.90,-,-,-,-
2006M12,"172,718",-14.82,"167,613",-12.93,"8,431",4.34,"11,286",-78.30,-,-,"6,570",-4.85,"74,042",-15.77,"5,052",-51.00,"1,200",-88.03,"65,870",39.97,-,-,-,-
2007M01,"167,629",-37.68,"173,336",-19.41,"16,680",559.29,"25,060",-64.33,-,-,"2,300",-61.28,"52,625",-40.31,"1,938",-78.11,"2,200",-67.16,"36,500",-44.99,-,-,-,-
2007M02,"173,213",-31.87,"193,408",-30.34,"16,327",617.36,"22,986",-51.69,-,-,"1,750",-73.08,"57,766",-43.27,"9,312","1,310.91","1,900",-70.31,"21,750",-32.77,-,-,-,-
2007M03,"144,375",-38.89,"199,974",-2.49,"9,005",55.50,"12,460",-79.16,-,-,"1,530",-71.08,"71,679",14.38,"2,625",-62.24,"7,260",-15.09,"15,730",-56.48,-,-,-,-
2007M04,"155,777",-43.65,"236,670",18.99,"42,505",487.90,"14,780",-82.78,-,-,"1,340",-72.26,"83,615",25.09,"2,477",-59.51,600,-94.16,"27,230",-58.20,-,-,-,-
2007M05,"133,496",-51.16,"190,930",-5.62,"29,540","1,637.65","30,850",-62.93,-,-,"1,200",-71.96,"74,945",-4.67,"5,651",18.05,100,-98.80,"9,450",-85.98,-,-,-,-
2007M06,"105,843",-60.17,"132,951",-44.98,"7,840",34.32,"17,650",-70.55,-,-,950,-75.95,"47,146",-25.48,"4,228",314.10,100,-99.05,"5,150",-86.76,-,-,-,-
2007M07,"116,471",-42.83,"129,141",-22.55,"3,950",-56.23,"25,310",-54.23,-,-,750,-88.55,"38,826",-30.68,"5,046",197.87,"5,200",-45.75,"4,200",-91.29,-,-,-,-
2007M08,"160,344",-9.25,"159,141",-14.74,"3,190",-55.32,"47,184",60.89,-,-,100,-98.50,"39,906",-49.23,"1,165",-65.49,"9,500",21.79,"5,350",-87.91,-,-,-,-
2007M09,"123,533",-39.69,"139,018",-38.43,"7,768",-65.02,"30,143",39.05,-,-,700,-90.73,"34,490",-61.54,"1,630",-54.53,"7,000",27.27,"1,300",-97.96,-,-,-,-
2007M10,"107,188",-47.27,"120,712",-41.29,"6,339",-75.05,"20,509",40.46,-,-,300,-96.63,"44,301",-45.75,"1,157",-89.74,"1,850",-65.74,"17,000",-77.45,-,-,-,-
2007M11,"159,146",2.52,"165,300",-1.73,"6,710",-33.17,"39,305",84.31,-,-,-,-,"51,259",-23.87,760,-88.41,"6,650",244.56,"18,400",-40.89,-,-,-,-
2007M12,"149,926",-13.20,"122,050",-27.18,"8,790",4.26,"44,840",297.31,-,-,550,-91.63,"34,597",-53.27,"4,273",-15.42,"7,350",512.50,"28,950",-56.05,-,-,-,-
2008M01,"133,043",-20.63,"106,832",-38.37,"5,440",-67.39,"40,785",62.75,-,-,-,-,"44,474",-15.49,"1,000",-48.40,"8,660",293.64,"43,000",17.81,-,-,-,-
2008M02,"163,182",-5.79,"153,735",-20.51,"15,530",-4.88,"62,080",170.08,-,-,-,-,"51,052",-11.62,"2,269",-75.63,"12,400",552.63,"24,080",10.71,-,-,-,-
2008M03,"112,328",-22.20,"98,499",-50.74,"4,085",-54.64,"40,865",227.97,-,-,-,-,"25,891",-63.88,"1,300",-50.48,"12,000",65.29,"13,640",-13.29,-,-,-,-
2008M04,"97,223",-37.59,"100,191",-57.67,"9,580",-77.46,"27,695",87.38,-,-,-,-,"20,933",-74.97,"1,095",-55.79,"10,245","1,607.50","9,000",-66.95,-,-,-,-
2008M05,"124,980",-6.38,"141,976",-25.64,"4,120",-86.05,"55,160",78.80,-,-,-,-,"39,136",-47.78,"2,370",-58.06,"40,770","40,670.00","9,500",0.53,-,-,-,-
2008M06,"89,880",-15.08,"95,140",-28.44,"3,878",-50.54,"41,918",137.50,-,-,-,-,"29,885",-36.61,215,-94.91,"21,555","21,455.00","7,925",53.88,-,-,-,-
2008M07,"88,838",-23.73,"116,035",-10.15,"1,025",-74.05,"40,392",59.59,-,-,-,-,"36,515",-5.95,"1,971",-60.94,"34,055",554.90,"2,035",-51.55,-,-,-,-
2008M08,"143,485",-10.51,"148,428",-6.73,"5,615",76.02,"44,595",-5.49,-,-,-,-,"47,493",19.01,"2,295",97.00,"18,845",98.37,"20,120",276.07,-,-,-,-
2008M09,"156,587",26.76,"145,954",4.99,"10,865",39.87,"25,730",-14.64,-,-,-,-,"46,874",35.91,"1,732",6.26,800,-88.57,"41,710","3,108.46",-,-,-,-
2008M10,"60,343",-43.70,"73,970",-38.72,"18,770",196.10,"16,055",-21.72,-,-,-,-,"22,295",-49.67,328,-71.65,"2,100",13.51,"13,155",-22.62,-,-,-,-
2008M11,"58,694",-63.12,"107,272",-35.10,"42,327",530.80,"15,439",-60.72,-,-,-,-,"33,000",-35.62,"1,060",39.47,205,-96.92,"10,455",-43.18,-,-,-,-
2008M12,"97,347",-35.07,"135,914",11.36,"25,047",184.95,"15,049",-66.44,-,-,-,-,"31,959",-7.62,340,-92.04,"6,260",-14.83,"9,310",-67.84,-,-,-,-
2009M01,"148,895",11.91,"156,785",46.76,"45,210",731.07,"37,372",-8.37,-,-,-,-,"30,653",-31.08,"1,481",48.10,15,-99.83,"29,135",-32.24,-,-,-,-
2009M02,"129,010",-20.94,"218,872",42.37,"73,779",375.07,"36,375",-41.41,-,-,-,-,"42,923",-15.92,550,-75.76,"40,020",222.74,"29,935",24.31,-,-,-,-
2009M03,"47,183",-58.00,"151,118",53.42,"66,049","1,516.87","27,891",-31.75,-,-,-,-,"33,427",29.11,"1,370",5.38,"42,320",252.67,"8,600",-36.95,-,-,-,-
2009M04,"69,552",-28.46,"195,142",94.77,"52,484",447.85,"38,511",39.05,-,-,-,-,"39,227",87.39,"2,000",82.65,"76,320",644.95,"1,930",-78.56,-,-,-,-
2009M05,"275,463",120.41,"278,485",96.15,"45,649","1,007.99","145,856",164.42,-,-,-,-,"50,705",29.56,500,-78.90,"59,495",45.93,"6,471",-31.88,-,-,-,-
2009M06,"240,085",167.12,"146,361",53.84,"23,885",515.91,"188,372",349.38,-,-,-,-,"22,451",-24.88,828,285.12,"50,915",136.21,"1,775",-77.60,-,-,-,-
2009M07,"199,361",124.41,"177,566",53.03,"32,105","3,032.20","124,605",208.49,-,-,-,-,"33,011",-9.60,"1,340",-32.01,"39,115",14.86,81,-96.02,-,-,-,-
2009M08,"186,472",29.96,"135,636",-8.62,"24,571",337.60,"134,905",202.51,-,-,-,-,"22,096",-53.48,923,-59.78,"43,215",129.32,"4,890",-75.70,-,-,-,-
2009M09,"222,263",41.94,"165,963",13.71,"31,954",194.10,"129,070",401.63,-,-,-,-,"29,861",-36.30,914,-47.23,"29,315","3,564.38","17,446",-58.17,-,-,-,-
2009M10,"234,847",289.19,"161,533",118.38,"24,045",28.10,"154,660",863.31,-,-,-,-,"28,750",28.95,768,134.15,"37,715","1,695.95","8,396",-36.18,-,-,-,-
2009M11,"199,406",239.74,"103,420",-3.59,"21,540",-49.11,"148,687",863.06,-,-,-,-,"30,933",-6.26,"1,497",41.23,"28,265","13,687.80","26,540",153.85,-,-,-,-
2009M12,"146,299",50.29,"82,509",-39.29,"13,111",-47.65,"97,160",545.62,-,-,-,-,"25,440",-20.40,"2,170",538.24,"13,115",109.50,"16,126",73.21,-,-,-,-
