期間,收受部門-其他貨幣機構_原始值,收受部門-其他貨幣機構_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%),存款部門-公營事業_原始值,存款部門-公營事業_年增率(%),存款部門-民營企業_原始值,存款部門-民營企業_年增率(%),存款部門-家庭及非營利團體_原始值,存款部門-家庭及非營利團體_年增率(%),存款部門-國外_原始值,存款部門-國外_年增率(%)
2000,"4,955,841",...,"16,306",...,"27,142",...,"98,383",...,"36,845",...,"1,179,396",...,"3,511,284",...,"86,486",...
2001,"5,646,219",13.93,"26,218",60.79,"63,790",135.03,"136,741",38.99,"22,325",-39.41,"1,095,514",-7.11,"4,204,092",19.73,"97,539",12.78
2002,"6,228,223",10.31,"24,670",-5.91,"44,243",-30.64,"153,284",12.10,"16,624",-25.54,"1,112,001",1.50,"4,771,302",13.49,"106,100",8.78
