期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%)
1984M01,"7,376",4.41,"4,672",2.49,"2,704",7.89,"1,289",0.01,865,-4.51,424,10.71,39,-8.04,34,-4.63,5,-24.79,"2,493",10.28,"1,416",9.83,"1,077",10.87,35,9.56,31,10.13,4,5.55,543,-8.98,492,-10.06,50,3.19,"1,330",6.66,777,5.66,553,8.10,383,1.19,334,2.48,49,-6.78,116,3.42,64,-1.65,52,10.45,90,11.58,54,13.87,36,8.32,802,3.13,424,5.17,377,0.92,257,3.13,181,3.19,76,2.99
1984M02,"7,271",5.19,"4,631",3.54,"2,640",8.21,"1,277",-4.26,860,-7.96,418,4.37,37,-19.57,32,-15.41,5,-39.50,"2,467",12.91,"1,421",11.91,"1,046",14.31,35,9.21,31,9.72,4,5.62,542,2.93,490,0.97,52,25.94,"1,312",9.69,770,8.53,542,11.37,380,2.18,322,2.75,57,-0.96,117,2.69,63,1.01,53,4.76,85,12.54,52,15.85,33,7.68,779,1.53,418,2.08,361,0.90,240,-9.17,172,-3.02,68,-21.71
1984M03,"7,214",5.26,"4,614",2.96,"2,600",9.63,"1,266",0.16,878,-2.75,388,7.42,37,-13.69,32,-11.40,5,-26.62,"2,447",11.14,"1,411",10.37,"1,036",12.20,33,3.95,29,4.14,4,2.64,521,1.38,468,-1.79,54,41.18,"1,288",6.84,768,5.61,520,8.73,385,2.43,324,1.00,61,10.74,117,11.00,63,8.79,54,13.71,81,-0.40,49,-2.86,32,3.63,805,4.58,426,1.27,379,8.57,235,-10.31,166,-9.11,68,-13.08
1984M04,"7,151",4.78,"4,576",2.75,"2,575",8.59,"1,253",2.90,874,1.53,380,6.19,38,-7.10,33,-2.95,5,-28.65,"2,473",9.94,"1,426",9.13,"1,047",11.08,34,6.27,30,6.32,4,5.93,500,-2.04,453,-2.93,47,7.47,"1,230",3.69,735,1.05,495,7.87,359,0.97,308,-0.43,51,10.21,110,5.29,61,5.05,49,5.60,82,-0.82,48,-3.58,34,3.42,797,3.55,415,0.75,382,6.78,274,-0.35,194,-3.75,80,8.93
1984M05,"7,202",4.42,"4,609",2.65,"2,592",7.71,"1,240",1.09,865,-0.05,375,3.79,86,79.85,76,91.35,10,22.28,"2,425",7.31,"1,381",5.90,"1,044",9.25,33,1.30,29,1.41,4,0.55,474,-9.44,436,-9.32,38,-10.75,"1,270",4.89,759,2.44,511,8.76,372,6.76,323,7.57,49,1.77,107,-1.20,62,-2.63,45,0.82,80,2.21,45,1.06,35,3.72,836,5.99,438,3.27,398,9.16,278,2.39,195,-1.35,83,12.45
1984M06,"7,308",4.28,"4,624",2.16,"2,684",8.14,"1,309",1.44,896,0.57,414,3.39,37,-9.42,32,-6.45,5,-24.94,"2,445",8.66,"1,388",6.58,"1,057",11.51,33,1.16,29,1.38,4,-0.42,476,-8.70,438,-9.63,38,3.46,"1,286",4.46,747,1.61,539,8.68,380,3.30,326,2.44,54,8.89,114,7.36,60,-0.12,54,17.14,84,15.96,47,15.13,37,17.05,853,3.89,444,3.18,409,4.67,291,6.23,216,8.07,74,1.22
1984M07,"7,416",3.89,"4,705",2.37,"2,710",6.65,"1,421",0.13,946,-2.20,475,5.13,38,-19.23,33,-22.50,5,16.86,"2,541",12.08,"1,482",11.50,"1,060",12.91,33,1.72,29,1.60,4,2.56,479,-10.06,440,-9.97,39,-11.10,"1,226",3.47,717,0.79,510,7.50,369,1.72,314,1.18,55,4.91,126,17.91,68,18.30,58,17.47,67,-2.39,40,7.04,27,-13.39,831,0.09,431,1.15,400,-1.03,284,-0.57,205,4.02,79,-10.85
1984M08,"7,330",1.99,"4,686",1.36,"2,643",3.13,"1,314",-5.67,917,-4.98,397,-7.23,36,-26.91,31,-28.98,5,-8.76,"2,565",12.47,"1,476",12.93,"1,088",11.85,34,0.25,29,0.04,4,1.80,502,-11.52,461,-11.11,41,-15.83,"1,250",2.00,733,-0.45,517,5.69,367,-0.64,313,-1.79,54,6.61,113,13.14,61,23.60,52,2.85,74,2.28,48,17.63,26,-17.55,792,-2.66,418,0.06,375,-5.52,284,0.38,198,1.27,86,-1.64
1984M09,"7,293",2.45,"4,672",1.66,"2,621",3.89,"1,226",-7.41,872,-6.58,354,-9.40,36,-27.58,31,-27.85,5,-25.74,"2,546",10.48,"1,460",10.90,"1,086",9.93,33,-1.41,29,-1.61,4,0.07,555,-4.19,508,-4.36,47,-2.26,"1,233",2.84,707,-2.57,526,11.11,369,2.04,314,1.10,55,7.74,112,1.54,63,9.04,49,-6.64,76,-0.27,47,7.25,29,-10.64,824,1.98,438,5.46,386,-1.70,283,3.84,203,7.44,80,-4.28
1984M10,"7,324",1.94,"4,700",1.56,"2,623",2.64,"1,241",-6.57,881,-4.85,360,-10.52,36,-27.12,31,-27.87,5,-21.96,"2,534",9.47,"1,463",11.19,"1,071",7.20,33,-2.02,29,-2.38,4,0.59,542,-7.07,499,-7.04,43,-7.39,"1,279",3.20,746,1.02,533,6.41,360,0.76,310,0.70,50,1.12,115,-0.78,63,0.69,51,-2.52,79,-7.08,44,-11.05,34,-1.42,843,2.54,446,1.89,397,3.27,263,2.62,188,4.06,75,-0.81
