期間,證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融債券及定期存單_原始值,證券投資--金融債券及定期存單_年增率(%),證券投資--公司債券_原始值,證券投資--公司債券_年增率(%),存放央行--支票存款_原始值,存放央行--支票存款_年增率(%),存放央行--定期存款_原始值,存放央行--定期存款_年增率(%),庫存現金_原始值,庫存現金_年增率(%),固定資產_原始值,固定資產_年增率(%),其他資產_原始值,其他資產_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),賠款準備_原始值,賠款準備_年增率(%),其他負債(淨額)_原始值,其他負債(淨額)_年增率(%),淨值_原始值,淨值_年增率(%)
2010M01,652,-0.46,700,-22.22,-,-,27,800.00,"13,954",4.52,-,-,522,-1.14,"53,544",-3.78,"69,399",-2.37,"2,405",4.47,"55,717",-3.11,"11,277",0.00
2010M02,651,-0.61,700,-22.22,-,-,3,0.00,"15,220",0.38,-,-,521,-1.14,"52,161",-2.93,"69,256",-2.43,"2,416",4.50,"55,563",-3.19,"11,277",0.00
2010M03,651,-0.46,700,0.00,-,-,18,38.46,"15,171",4.12,-,-,520,-1.14,"51,053",-4.88,"68,113",-2.88,"2,422",4.49,"54,414",-3.76,"11,277",0.00
2010M04,651,-0.46,700,0.00,-,-,4,33.33,"15,900",9.11,-,-,518,-1.33,"73,866",37.96,"91,639",30.92,"2,432",4.47,"77,930",38.19,"11,277",0.00
2010M05,651,-0.46,900,28.57,-,-,56,"1,300.00","14,919",2.15,-,-,518,-1.15,"71,934",34.58,"88,978",27.23,"2,443",4.54,"75,258",33.62,"11,277",0.00
2010M06,499,-23.47,"1,600",128.57,-,-,32,966.67,"17,150",17.03,-,-,518,-0.96,"69,061",29.64,"88,860",27.30,"2,453",4.56,"75,130",33.73,"11,277",0.00
2010M07,499,-23.47,"1,600",128.57,-,-,274,"6,750.00","16,902",10.78,-,-,517,-1.15,"68,420",24.95,"88,212",22.70,"2,463",4.59,"74,472",27.83,"11,277",0.00
2010M08,449,-31.13,"1,600",128.57,-,-,37,54.17,"16,227",0.02,-,-,516,-1.15,"63,083",17.60,"81,912",14.14,"2,473",4.61,"68,162",17.27,"11,277",0.00
2010M09,449,-31.13,"1,600",128.57,-,-,78,"1,460.00","16,446",1.61,-,-,516,-0.96,"62,182",16.09,"81,271",13.46,"2,480",4.64,"67,514",16.44,"11,277",0.00
2010M10,449,-31.13,"1,600",128.57,-,-,1,-66.67,"16,372",0.77,-,-,515,-1.34,"58,624",9.85,"77,561",8.49,"2,490",4.67,"63,794",10.30,"11,277",0.00
2010M11,449,-31.13,"1,600",128.57,-,-,72,35.85,"14,314",-9.33,-,-,515,-1.15,"55,059",3.84,"72,009",1.80,"2,499",4.65,"58,233",2.04,"11,277",0.00
2010M12,349,-46.47,"1,600",128.57,-,-,45,87.50,"11,626",-4.15,-,-,516,-1.34,"51,866",-1.89,"66,002",-1.33,"2,507",4.68,"52,218",-1.88,"11,277",0.00
2011M01,349,-46.47,"1,600",128.57,300,-,4,-85.19,"12,332",-11.62,-,-,515,-1.34,"53,298",-0.46,"68,398",-1.44,"2,526",5.03,"54,595",-2.01,"11,277",0.00
