期間,金融業拆款,商業本票--初級市場--1-30天,商業本票--初級市場--31-90天,商業本票--初級市場--91-180天,商業本票--次級市場--1-30天,商業本票--次級市場--31-90天,商業本票--次級市場--91-180天,可轉讓定期存單--次級市場--1-90天,可轉讓定期存單--次級市場--91-180天,銀行承兌匯票--次級市場--1-30天,銀行承兌匯票--次級市場--31-90天,銀行承兌匯票--次級市場--91-180天,國庫券--初級市場--1-91天,國庫券--初級市場--92-182天,國庫券--初級市場--183-364天,中央銀行定期存單--初級市場--1-30天,中央銀行定期存單--初級市場--31-91天,中央銀行定期存單--初級市場--92-182天,公債附條件交易利率--次級市場--1-30天,公債附條件交易利率--次級市場--31-90天,公債附條件交易利率--次級市場--91-180天
2005M09,1.365,1.44,1.48,1.70,1.31,1.34,1.42,1.32,1.35,1.27,1.27,1.23,-,-,-,1.34,1.44,1.51,1.24,1.30,1.30
2005M10,1.388,1.42,1.48,1.67,1.35,1.36,1.46,1.35,1.44,1.30,1.30,1.30,-,-,-,1.39,1.45,1.52,1.30,1.36,1.35
2005M11,1.387,1.39,1.53,1.68,1.35,1.39,1.46,1.37,1.39,1.38,1.32,1.38,-,-,1.54,1.39,1.45,1.52,1.32,1.38,1.35
2005M12,1.406,1.50,1.60,1.63,1.38,1.40,1.51,1.40,1.40,1.38,1.39,1.33,1.44,-,-,1.40,1.50,1.60,1.34,1.42,1.49
2006M01,1.446,1.49,1.64,1.70,1.41,1.43,1.47,1.42,1.51,1.39,1.44,1.40,-,-,-,1.45,1.52,1.60,1.34,1.40,1.39
2006M02,1.449,1.51,1.68,1.79,1.41,1.44,1.49,1.43,1.46,1.40,1.32,1.39,-,-,-,1.45,1.52,1.60,1.36,1.41,1.38
2006M03,1.450,1.54,1.72,1.84,1.45,1.44,1.59,1.44,1.56,1.41,1.48,1.37,-,-,-,1.45,1.55,1.64,1.36,1.43,1.48
2006M04,1.516,1.60,1.67,1.87,1.52,1.48,1.63,1.47,1.47,1.43,1.53,1.47,-,1.54,-,1.52,1.59,1.67,1.38,1.44,1.44
2006M05,1.517,1.52,1.67,1.84,1.48,1.50,1.68,1.48,1.50,1.47,1.54,1.67,-,-,-,1.52,1.59,1.67,1.39,1.44,1.45
2006M06,1.533,1.60,1.65,1.79,1.50,1.53,1.64,1.51,1.57,1.49,1.51,1.52,-,-,-,1.54,1.65,1.74,1.40,1.46,1.50
2006M07,1.586,1.60,1.72,1.82,1.54,1.55,1.68,1.54,1.62,1.52,1.56,1.68,-,-,-,1.59,1.66,1.74,1.40,1.47,1.47
2006M08,1.587,1.61,1.70,1.87,1.58,1.56,1.63,1.54,1.62,1.53,1.50,1.56,-,-,-,1.59,1.66,1.74,1.44,1.48,1.48
2006M09,1.595,1.65,1.76,1.94,1.58,1.58,1.68,1.58,1.62,1.54,1.58,1.85,-,-,-,1.60,1.68,1.74,1.49,1.52,1.53
2006M10,1.658,1.68,1.73,1.94,1.61,1.62,1.69,1.59,1.66,1.59,1.63,1.57,-,-,-,1.66,1.73,1.81,1.53,1.55,1.53
2006M11,1.663,1.67,1.79,1.94,1.63,1.65,1.74,1.60,1.68,1.58,1.69,1.66,-,-,-,1.66,1.73,1.81,1.54,1.57,1.54
2006M12,1.661,1.74,1.78,1.89,1.64,1.66,1.79,1.63,1.69,1.60,1.67,1.71,-,1.78,-,1.66,1.74,1.83,1.55,1.59,1.52
2007M01,1.689,1.75,1.81,1.92,1.67,1.67,1.79,1.63,1.74,1.66,1.64,1.68,-,-,-,1.69,1.76,1.84,1.57,1.61,1.58
2007M02,1.691,1.80,1.88,1.90,1.66,1.66,1.73,1.66,1.68,1.64,1.65,-,-,-,1.77,1.69,1.76,1.84,1.56,1.62,1.55
2007M03,1.703,1.76,1.83,1.92,1.68,1.69,1.74,1.67,1.74,1.67,1.69,1.73,-,-,-,1.69,1.76,1.84,1.59,1.62,1.61
2007M04,1.725,1.82,1.86,1.90,1.71,1.72,1.72,1.69,1.71,1.69,1.65,1.85,-,-,-,1.72,1.79,1.87,1.60,1.65,1.58
2007M05,2.132,1.86,1.86,1.92,1.82,1.82,1.80,1.76,1.77,1.74,1.73,1.76,-,-,-,1.72,1.79,1.87,1.67,1.70,1.61
2007M06,2.496,2.73,2.65,2.26,2.33,2.25,2.31,2.18,2.27,2.28,2.14,1.86,-,-,-,1.86,1.99,2.07,2.11,2.04,1.89
2007M07,2.006,2.29,2.36,2.31,1.98,1.97,2.09,1.92,2.04,1.93,1.90,1.63,-,-,-,1.94,1.99,2.07,1.79,1.91,1.83
2007M08,2.007,2.26,2.40,2.36,1.93,1.99,2.17,1.91,1.93,1.85,1.96,1.77,-,-,-,1.94,1.99,2.07,1.81,1.89,1.77
2007M09,2.019,2.31,2.41,2.25,1.94,1.99,2.01,1.92,1.94,1.91,1.91,-,-,-,-,1.96,2.05,2.14,1.80,1.88,1.81
2007M10,2.038,2.30,2.40,2.25,1.99,2.02,2.04,1.95,2.04,1.96,1.98,1.92,-,-,-,1.99,2.06,2.15,1.83,1.90,1.80
2007M11,2.038,2.30,2.36,2.38,1.98,2.04,2.08,1.94,2.02,1.97,1.97,2.02,-,-,-,1.99,2.06,2.15,1.87,1.93,1.87
2007M12,2.054,2.31,2.38,2.24,1.98,2.03,2.04,1.95,1.98,1.94,1.94,2.05,-,-,2.32,2.00,2.13,2.23,1.90,1.96,1.94
2008M01,2.088,2.27,2.34,2.17,2.00,2.05,2.05,1.97,1.99,1.99,2.00,-,-,2.16,2.24,2.05,2.13,2.23,1.89,1.96,1.93
2008M02,2.082,2.26,2.35,2.30,2.00,2.01,2.03,1.98,2.02,2.00,1.99,1.97,-,2.10,2.16,2.05,2.13,2.23,1.88,1.94,1.87
2008M03,2.084,2.24,2.33,2.30,2.00,2.04,2.05,1.98,2.14,2.00,2.00,-,-,-,2.10,2.05,2.13,2.23,1.81,1.87,1.89
2008M04,2.105,2.26,2.35,2.41,2.00,2.04,2.08,2.03,2.11,1.99,2.01,1.89,-,2.13,2.15,2.07,2.15,2.25,1.73,1.81,1.86
2008M05,2.101,2.27,2.36,2.46,2.00,2.03,2.08,2.00,2.08,1.98,2.05,2.01,-,-,-,2.07,2.15,2.25,1.70,1.81,1.88
2008M06,2.105,2.29,2.35,2.31,2.00,2.06,2.13,2.02,2.07,2.00,2.05,2.02,-,-,-,2.08,2.17,2.27,1.75,1.85,1.91
2008M07,2.166,2.27,2.32,2.33,2.03,2.07,2.13,2.04,2.21,2.02,2.03,1.97,-,-,-,2.12,2.21,2.31,1.77,1.85,1.88
2008M08,2.158,2.26,2.29,2.35,2.03,2.06,2.14,2.03,2.10,2.05,2.00,1.97,-,-,-,2.12,2.21,2.31,1.78,1.86,1.93
2008M09,2.092,2.25,2.30,2.35,2.01,2.03,2.04,2.00,2.01,1.98,1.97,1.99,-,-,-,2.11,2.20,2.30,1.79,1.87,1.88
2008M10,1.926,2.20,2.23,2.29,1.92,1.97,1.98,1.94,2.01,1.87,1.95,1.97,-,-,-,1.98,2.07,2.17,1.74,1.81,1.74
2008M11,1.410,2.04,2.05,2.17,1.57,1.64,1.86,1.60,1.65,1.63,1.67,1.80,-,-,1.89,1.67,1.77,1.90,1.48,1.54,1.56
2008M12,0.872,1.73,1.77,1.74,1.00,1.07,1.07,0.99,1.46,0.92,0.77,-,-,0.80,0.70,1.25,1.26,1.34,0.82,0.92,1.08
2009M01,0.233,1.27,1.32,1.62,0.42,0.44,0.57,0.46,0.51,0.52,0.28,-,0.66,-,0.40,0.69,0.76,0.87,0.28,0.37,0.53
2009M02,0.143,0.95,0.87,0.61,0.25,0.34,0.28,0.28,0.35,0.22,0.27,0.25,-,0.19,-,0.61,0.65,0.75,0.19,0.26,0.40
2009M03,0.137,0.63,0.86,0.67,0.19,0.19,0.20,0.18,0.17,0.21,0.26,0.12,-,-,0.20,0.57,0.61,0.71,0.15,0.21,0.34
2009M04,0.131,0.63,0.74,0.71,0.16,0.18,0.17,0.16,0.25,0.20,0.15,-,0.09,-,0.20,0.57,0.61,0.71,0.14,0.17,0.27
2009M05,0.097,0.62,0.67,0.73,0.16,0.16,0.25,0.20,0.33,0.20,0.15,-,-,0.12,-,0.57,0.61,0.71,0.14,0.17,0.23
2009M06,0.097,0.40,0.43,0.63,0.15,0.16,0.17,0.18,0.26,0.17,0.14,0.13,-,-,-,0.57,0.61,0.71,0.14,0.17,0.26
2009M07,0.100,0.39,0.51,0.66,0.15,0.16,0.20,0.21,0.38,0.16,0.18,-,-,-,-,0.57,0.61,0.71,0.13,0.17,0.23
2009M08,0.101,0.41,0.74,0.41,0.19,0.22,0.23,0.23,0.38,0.19,0.21,-,-,-,-,0.57,0.61,0.71,0.14,0.17,0.25
2009M09,0.100,0.37,0.45,0.80,0.19,0.24,0.29,0.23,0.36,0.18,0.27,-,0.14,0.14,-,0.57,0.61,0.71,0.14,0.19,0.23
2009M10,0.101,0.40,0.41,0.48,0.21,0.22,0.32,0.22,0.61,0.21,0.23,0.16,-,-,0.24,0.57,0.61,0.71,0.14,0.19,0.24
2009M11,0.104,0.42,0.57,0.74,0.22,0.24,0.34,0.26,0.35,0.21,0.18,0.25,0.18,-,0.26,0.57,0.61,0.71,0.14,0.21,0.21
2009M12,0.106,0.43,0.56,0.50,0.25,0.27,0.40,0.29,0.35,0.22,0.19,0.23,0.18,0.18,0.25,0.54,0.61,0.71,0.17,0.25,0.29
