期間,營造工程總指數_原始值,營造工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),(一)水泥及其製品類_原始值,(一)水泥及其製品類_年增率(%),(二)砂石及級配類_原始值,(二)砂石及級配類_年增率(%),(三)磚瓦瓷類_原始值,(三)磚瓦瓷類_年增率(%),(四)金屬製品類_原始值,(四)金屬製品類_年增率(%),(五)木材及其製品類_原始值,(五)木材及其製品類_年增率(%),(六)塑膠製品類_原始值,(六)塑膠製品類_年增率(%),(七)油漆塗裝類_原始值,(七)油漆塗裝類_年增率(%),(八)機電設備類_原始值,(八)機電設備類_年增率(%),(九)瀝青及其製品類_原始值,(九)瀝青及其製品類_年增率(%),(十)雜項類_原始值,(十)雜項類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),(一)工資類_原始值,(一)工資類_年增率(%),(二)機具設備租金類_原始值,(二)機具設備租金類_年增率(%),建築工程總指數_原始值,建築工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),按構造別分－鋼筋混凝土工程總指數_原始值,按構造別分－鋼筋混凝土工程總指數_年增率(%),按構造別分－鋼骨鋼筋混凝土工程總指數_原始值,按構造別分－鋼骨鋼筋混凝土工程總指數_年增率(%),按構造別分－鋼骨構造工程總指數_原始值,按構造別分－鋼骨構造工程總指數_年增率(%),土木工程總指數_原始值,土木工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),按工程別分－公路工程總指數_原始值,按工程別分－公路工程總指數_年增率(%),按工程別分－橋梁工程總指數_原始值,按工程別分－橋梁工程總指數_年增率(%),按工程別分－下水道工程總指數_原始值,按工程別分－下水道工程總指數_年增率(%),按工程別分－自來水工程總指數_原始值,按工程別分－自來水工程總指數_年增率(%),按工程別分－治水工程總指數_原始值,按工程別分－治水工程總指數_年增率(%),按工程別分－隧道工程總指數_原始值,按工程別分－隧道工程總指數_年增率(%),按工程別分－港灣工程總指數_原始值,按工程別分－港灣工程總指數_年增率(%)
1991M01,52.25,-,44.08,-,68.04,-,22.93,-,68.34,-,48.15,-,36.99,-,63.37,-,54.26,-,59.49,-,24.94,-,68.63,-,73.97,-,80.61,-,60.78,-,58.88,-,52.84,-,76.28,-,-,-,-,-,-,-,47.48,-,38.56,-,71.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M02,52.35,-,44.18,-,68.04,-,22.89,-,68.18,-,48.63,-,37.03,-,63.39,-,54.31,-,59.51,-,24.94,-,68.74,-,74.07,-,80.75,-,60.78,-,59.03,-,53.00,-,76.41,-,-,-,-,-,-,-,47.54,-,38.62,-,71.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M03,52.23,-,44.02,-,68.04,-,22.86,-,68.28,-,47.95,-,37.17,-,62.77,-,54.31,-,59.50,-,24.94,-,68.84,-,74.07,-,80.75,-,60.78,-,58.88,-,52.77,-,76.41,-,-,-,-,-,-,-,47.47,-,38.52,-,71.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M04,52.27,-,44.02,-,68.29,-,22.86,-,67.74,-,47.65,-,37.48,-,62.74,-,54.31,-,59.56,-,24.94,-,68.78,-,74.20,-,80.85,-,61.03,-,58.87,-,52.70,-,76.54,-,-,-,-,-,-,-,47.52,-,38.54,-,72.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M05,52.15,-,43.85,-,67.73,-,22.79,-,67.31,-,47.50,-,37.68,-,62.69,-,54.34,-,59.57,-,24.94,-,68.49,-,74.30,-,80.96,-,61.04,-,58.75,-,52.50,-,76.63,-,-,-,-,-,-,-,47.42,-,38.40,-,72.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M06,51.98,-,43.61,-,67.47,-,22.79,-,67.32,-,47.02,-,38.21,-,62.69,-,54.34,-,58.31,-,24.94,-,67.39,-,74.31,-,80.96,-,61.10,-,58.48,-,52.09,-,76.64,-,-,-,-,-,-,-,47.30,-,38.25,-,72.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M07,52.03,-,43.55,-,67.24,-,23.04,-,67.29,-,46.70,-,38.65,-,62.54,-,54.34,-,58.08,-,24.94,-,67.27,-,74.64,-,81.42,-,61.16,-,58.50,-,51.92,-,77.08,-,-,-,-,-,-,-,47.37,-,38.25,-,72.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M08,52.01,-,43.42,-,67.21,-,23.29,-,67.18,-,45.72,-,39.34,-,61.22,-,54.33,-,58.10,-,24.94,-,67.39,-,74.92,-,81.72,-,61.37,-,58.39,-,51.66,-,77.32,-,-,-,-,-,-,-,47.39,-,38.20,-,72.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M09,52.23,-,43.71,-,67.67,-,24.47,-,67.60,-,45.20,-,39.79,-,58.68,-,54.33,-,57.86,-,25.45,-,67.41,-,74.98,-,81.78,-,61.44,-,58.38,-,51.63,-,77.37,-,-,-,-,-,-,-,47.76,-,38.63,-,72.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M10,52.36,-,43.86,-,67.71,-,24.62,-,68.18,-,45.69,-,39.79,-,58.81,-,54.14,-,57.84,-,25.45,-,67.26,-,75.04,-,81.84,-,61.44,-,58.52,-,51.82,-,77.42,-,-,-,-,-,-,-,47.87,-,38.77,-,72.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M11,52.47,-,43.97,-,67.59,-,24.64,-,70.41,-,45.90,-,39.79,-,58.79,-,54.10,-,57.74,-,25.76,-,67.07,-,75.13,-,81.97,-,61.49,-,58.68,-,51.99,-,77.54,-,-,-,-,-,-,-,47.95,-,38.83,-,72.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991M12,52.48,-,43.94,-,67.41,-,24.67,-,71.08,-,45.55,-,40.63,-,58.45,-,52.67,-,57.97,-,25.76,-,66.80,-,75.27,-,82.17,-,61.51,-,58.74,-,52.01,-,77.68,-,-,-,-,-,-,-,47.95,-,38.78,-,73.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
