期間,總計,關稅,礦區稅,所得稅,所得稅-營利事業所得稅,所得稅-綜合所得稅,遺產稅,贈與稅,貨物稅,證券交易稅,期貨交易稅,營業稅,印花稅,使用牌照稅,土地稅,土地稅-田賦,土地稅-地價稅,土地稅-土地增值稅,房屋稅,娛樂稅,契稅,教育臨時捐,公賣利益(應繳庫數),菸酒稅,金融保險業營業稅,健康福利捐,特種貨物稅及勞務稅
1973,"60,727.197","14,363.409",5.176,"7,732.105","4,365.977","3,366.128",...,...,"11,419.081",64.201,-,"3,018.560","2,076.010",673.902,"4,568.743",...,"1,441.679","1,856.443","1,796.740",230.178,986.048,"2,092.137","7,634.459",-,-,-,-
1974,"88,853.830","24,904.405",3.547,"13,776.545","8,048.322","5,728.223",...,...,"13,879.208",103.426,-,"4,604.783","3,201.294",852.976,"5,356.518",...,"1,460.741","2,428.899","2,184.728",293.550,"1,338.492","2,839.967","7,939.048",-,-,-,-
1975,"97,503.608","23,527.409",5.230,"16,373.470","9,286.480","7,086.990",...,...,"14,017.951",136.972,-,"5,812.909","3,559.734","1,330.126","6,234.304",...,"1,438.097","2,616.505","2,896.239",353.271,"1,191.027","2,530.875","13,114.813",-,-,-,-
1976,"121,767.214","29,078.083",5.950,"18,372.787","10,892.165","7,480.622",...,...,"17,565.494",240.768,-,"7,105.363","4,436.049","1,291.551","11,310.941",...,"2,987.898","5,694.512","3,379.062",410.317,"1,848.607","3,434.310","14,784.334",-,-,-,-
1977,"139,305.220","32,023.475",6.274,"22,527.104","13,634.345","8,892.759",...,...,"19,538.369",232.368,-,"8,329.145","5,270.565","1,498.424","13,260.458",...,"3,950.408","6,697.745","3,912.346",486.490,"2,105.762","4,132.330","16,607.702",-,-,-,-
1978,"168,193.559","40,026.755",6.058,"27,348.635","16,492.700","10,855.935",...,...,"23,966.527",402.172,-,"9,734.979","6,269.291","1,768.103","15,731.889",...,"5,053.214","9,277.757","4,580.496",557.742,"2,408.334","4,592.351","19,145.151",-,-,-,-
1979,"220,521.220","53,597.233",14.048,"35,694.197","21,815.637","13,878.560",...,...,"32,760.708",778.387,-,"12,568.933","8,021.698","2,195.184","24,086.641",...,"9,256.929","13,962.539","5,772.351",705.483,"3,057.777","5,744.591","21,175.817",-,-,-,-
1980,"261,349.157","57,002.576",24.311,"45,051.676","26,240.594","18,811.082",...,...,"41,677.850",439.348,-,"16,478.533","10,179.668","4,586.263","26,999.020",...,"10,387.572","15,703.999","6,821.648",844.882,"3,477.340","7,149.745","24,162.374",-,-,-,-
1981,"315,049.495","57,781.019",26.384,"58,146.665","31,530.698","26,615.967",...,...,"49,201.863",692.302,-,"21,382.940","12,567.336","5,445.116","35,876.970",...,"10,524.491","24,266.407","9,499.344",965.266,"3,657.081","8,367.244","33,962.542",-,-,-,-
1982,"338,090.320","56,323.325",22.251,"65,542.353","33,410.918","32,131.435","1,544.275",385.268,"48,194.692",518.505,-,"24,229.781","13,223.819","6,105.255","41,142.871",...,"10,509.496","29,472.954","12,680.024","1,101.316","4,474.544","9,660.139","37,594.213",-,-,-,-
1983,"342,378.967","55,570.058",23.949,"65,016.314","28,994.020","36,022.294","1,838.210",255.510,"48,170.712",917.978,-,"25,288.030","13,722.859","6,582.006","41,050.733",...,"10,663.636","29,069.361","14,305.600","1,119.376","4,135.296","9,914.654","39,900.809",-,-,-,-
1984,"383,364.419","67,622.010",22.326,"67,956.709","33,850.432","34,106.277","2,455.213",290.237,"54,470.926","1,246.771",-,"28,795.991","16,185.835","7,368.290","47,196.123",...,"10,756.387","35,324.900","15,651.595","1,033.202","4,682.283","11,030.714","40,152.182",-,-,-,-
1985,"394,846.161","66,873.026",21.569,"75,888.574","36,685.697","39,202.877","2,473.550",357.184,"54,573.406",580.827,-,"30,654.021","16,531.148","8,076.424","46,093.937",...,"10,898.545","34,088.751","16,806.931",928.556,"4,934.259","11,632.907","41,737.600",-,-,-,-
