期間,對金融機構放款--居住民_原始值,對金融機構放款--居住民_年增率(%),對金融機構放款--非居住民_原始值,對金融機構放款--非居住民_年增率(%),證券投資_原始值,證券投資_年增率(%),對金融機構債權--小計_原始值,對金融機構債權--小計_年增率(%),對金融機構債權--外匯指定銀行_原始值,對金融機構債權--外匯指定銀行_年增率(%),對金融機構債權--OBU相互間_原始值,對金融機構債權--OBU相互間_年增率(%),對金融機構債權--國外金融機構_原始值,對金融機構債權--國外金融機構_年增率(%),其他資產_原始值,其他資產_年增率(%),資產合計=負債合計_原始值,資產合計=負債合計_年增率(%),非金融機構存款_原始值,非金融機構存款_年增率(%),對金融機構負債--小計_原始值,對金融機構負債--小計_年增率(%),對金融機構負債--國內金融機構_原始值,對金融機構負債--國內金融機構_年增率(%),對金融機構負債--OBU相互間_原始值,對金融機構負債--OBU相互間_年增率(%),對金融機構負債--國外金融機構_原始值,對金融機構負債--國外金融機構_年增率(%),證券發行_原始值,證券發行_年增率(%),其他負債_原始值,其他負債_年增率(%)
2001M05,"3,171",2.22,"13,226",3.54,"4,158",2.87,"28,831",47.07,"7,532",-1.74,"1,728",-8.38,"19,571",94.68,"1,422",-49.77,"50,808",19.96,"11,334",38.98,"37,303",19.89,"29,983",80.64,"1,728",-11.07,"5,592",-55.52,0,--,"2,171",-29.60
2001M06,"3,209",2.98,"13,192",2.86,"4,192",8.49,"31,192",54.20,"7,538",4.36,"1,730",-11.60,"21,924",98.44,"1,438",-37.07,"53,223",25.77,"11,444",35.79,"39,503",26.75,"31,899",80.78,"1,731",-11.91,"5,873",-49.18,0,--,"2,276",-16.45
2001M07,"3,192",0.66,"13,151",0.82,"4,325",13.37,"32,931",73.35,"7,643",2.62,"2,152",16.45,"23,136",138.49,"1,289",-49.33,"54,888",32.03,"11,645",32.07,"41,300",38.81,"33,489",106.58,"2,151",16.21,"5,660",-51.59,0,--,"1,943",-35.25
2001M08,"3,154",0.67,"12,877",-5.81,"4,259",12.02,"33,204",75.40,"8,717",22.81,"1,982",25.84,"22,505",119.41,"1,686",-39.40,"55,180",30.39,"12,091",31.01,"40,943",37.48,"33,032",93.95,"1,975",24.84,"5,936",-46.85,0,--,"2,146",-35.15
2001M09,"3,194",-0.03,"12,940",-4.64,"4,162",9.61,"33,932",70.28,"10,420",59.82,"1,784",25.28,"21,728",81.32,"1,494",-31.72,"55,722",30.57,"12,004",22.15,"41,512",38.29,"32,971",83.61,"1,779",24.15,"6,762",-36.37,0,--,"2,206",-22.10
2001M10,"3,109",-4.16,"12,664",-6.72,"4,156",9.60,"34,221",42.37,"8,959",1.54,"1,953",-9.12,"23,309",78.41,"1,371",-36.47,"55,521",18.62,"12,214",20.98,"41,246",21.76,"33,340",65.34,"1,944",-9.62,"5,962",-48.42,0,--,"2,061",-27.33
2001M11,"3,081",-4.26,"12,635",-7.25,"4,250",10.68,"32,673",33.62,"7,596",10.84,"2,058",31.25,"23,019",43.58,"1,432",-37.33,"54,071",14.03,"12,532",17.91,"39,344",16.23,"31,312",31.86,"2,061",31.11,"5,971",-30.02,0,--,"2,195",-25.34
2001M12,"2,985",-9.02,"12,736",-7.50,"4,206",9.79,"29,773",21.38,"7,601",28.24,"1,974",0.87,"20,198",21.35,"1,206",-37.45,"50,906",7.54,"12,429",16.66,"36,522",7.04,"29,610",10.79,"1,974",0.71,"4,938",-9.11,0,--,"1,955",-23.75
2002M01,"2,921",-10.40,"12,760",-7.09,"4,466",14.72,"29,697",17.27,"8,215",22.72,"2,171",5.03,"19,311",16.60,"1,390",-30.60,"51,234",6.27,"12,645",16.81,"36,649",4.77,"30,204",9.53,"2,163",5.05,"4,282",-19.90,0,--,"1,940",-19.37
2002M02,"2,873",-10.58,"12,510",-7.34,"4,653",15.20,"30,217",14.29,"8,095",16.17,"1,991",5.07,"20,131",14.54,"1,287",-30.21,"51,540",5.11,"12,900",21.01,"36,683",1.86,"29,628",4.66,"1,996",4.23,"5,059",-12.63,0,--,"1,957",-17.15
