期間,總人口數(千人)_原始值,總人口數(千人)_年增率(%),總人口數(千人)_原始值,總人口數(千人)_年增率(%),總人口數(千人)_原始值,總人口數(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%)
1996M03,"21,333",0.82,"10,976",0.74,"10,358",0.91,"15,867",1.69,"7,932",1.37,"7,935",2.01,"9,234",1.04,"5,631",-0.29,"3,603",3.19,"9,027",0.31,"5,491",-1.15,"3,536",2.65,207,48.54,140,51.50,67,42.74,74.38,-,72.27,-,76.61,-,43.28,-,51.31,-,34.78,-,58.20,-,71.00,-,45.40,-,42.31,-,50.03,-,34.13,-,56.89,-,69.23,-,44.55,-,97.76,-,97.52,-,98.13,-,2.24,-,2.48,-,1.87,-
1996M04,"21,339",0.78,"10,978",0.70,"10,361",0.86,"15,880",1.62,"7,936",1.46,"7,944",1.78,"9,222",0.71,"5,608",-0.61,"3,614",2.82,"9,018",0.02,"5,471",-1.43,"3,547",2.33,204,45.28,137,49.01,67,38.24,74.42,-,72.29,-,76.67,-,43.22,-,51.08,-,34.88,-,58.07,-,70.66,-,45.49,-,42.26,-,49.84,-,34.23,-,56.79,-,68.94,-,44.65,-,97.79,-,97.56,-,98.14,-,2.21,-,2.44,-,1.86,-
1996M05,"21,353",0.76,"10,984",0.68,"10,369",0.85,"15,903",1.61,"7,946",1.43,"7,957",1.80,"9,268",1.20,"5,585",-0.37,"3,682",3.68,"9,050",0.46,"5,445",-1.23,"3,605",3.12,218,46.11,140,50.94,78,38.12,74.48,-,72.34,-,76.74,-,43.40,-,50.85,-,35.51,-,58.28,-,70.29,-,46.28,-,42.38,-,49.57,-,34.77,-,56.91,-,68.53,-,45.30,-,97.65,-,97.49,-,97.89,-,2.35,-,2.51,-,2.11,-
1996M06,"21,371",0.78,"10,992",0.68,"10,379",0.88,"15,923",1.59,"7,957",1.40,"7,966",1.79,"9,254",1.18,"5,597",-0.31,"3,656",3.55,"9,013",0.33,"5,442",-1.26,"3,571",2.86,241,48.25,155,50.87,86,43.74,74.51,-,72.39,-,76.75,-,43.30,-,50.92,-,35.23,-,58.11,-,70.34,-,45.90,-,42.18,-,49.51,-,34.41,-,56.60,-,68.39,-,44.83,-,97.40,-,97.23,-,97.66,-,2.60,-,2.77,-,2.34,-
1996M07,"21,387",0.77,"10,999",0.68,"10,389",0.87,"15,941",1.54,"7,964",1.33,"7,977",1.76,"9,302",0.50,"5,654",-0.21,"3,649",1.63,"9,026",-0.54,"5,488",-1.33,"3,538",0.70,276,53.05,166,59.71,110,44.05,74.54,-,72.41,-,76.78,-,43.49,-,51.40,-,35.12,-,58.35,-,70.98,-,45.74,-,42.20,-,49.90,-,34.06,-,56.62,-,68.91,-,44.36,-,97.03,-,97.07,-,96.97,-,2.97,-,2.93,-,3.03,-
1996M08,"21,402",0.76,"11,005",0.67,"10,396",0.86,"15,959",1.51,"7,972",1.27,"7,987",1.74,"9,293",0.16,"5,669",-0.26,"3,624",0.81,"8,996",-0.97,"5,491",-1.57,"3,505",-0.01,297,52.80,178,69.65,119,33.04,74.57,-,72.43,-,76.83,-,43.42,-,51.51,-,34.86,-,58.23,-,71.12,-,45.37,-,42.03,-,49.90,-,33.71,-,56.37,-,68.89,-,43.88,-,96.81,-,96.86,-,96.72,-,3.19,-,3.14,-,3.28,-
1996M09,"21,416",0.74,"11,012",0.65,"10,404",0.84,"15,977",1.46,"7,980",1.24,"7,997",1.69,"9,350",1.39,"5,712",0.72,"3,638",2.46,"9,067",0.35,"5,538",-0.41,"3,528",1.57,284,51.43,173,57.89,110,42.29,74.60,-,72.47,-,76.86,-,43.66,-,51.87,-,34.97,-,58.52,-,71.58,-,45.50,-,42.34,-,50.30,-,33.91,-,56.75,-,69.40,-,44.12,-,96.97,-,96.97,-,96.97,-,3.03,-,3.03,-,3.03,-
1996M10,"21,433",0.74,"11,020",0.64,"10,413",0.84,"15,996",1.43,"7,988",1.21,"8,008",1.66,"9,353",1.09,"5,703",0.45,"3,650",2.09,"9,068",0.03,"5,527",-0.56,"3,541",0.96,285,52.44,176,48.05,109,60.11,74.63,-,72.49,-,76.90,-,43.64,-,51.76,-,35.05,-,58.47,-,71.40,-,45.58,-,42.31,-,50.16,-,34.01,-,56.69,-,69.19,-,44.22,-,96.95,-,96.91,-,97.02,-,3.05,-,3.09,-,2.98,-
1996M11,"21,450",0.72,"11,028",0.63,"10,422",0.82,"16,016",1.39,"7,995",1.16,"8,021",1.62,"9,402",1.60,"5,701",0.42,"3,701",3.47,"9,133",0.65,"5,529",-0.58,"3,604",2.60,269,49.24,172,47.93,97,51.62,74.67,-,72.50,-,76.96,-,43.83,-,51.70,-,35.51,-,58.70,-,71.31,-,46.14,-,42.58,-,50.14,-,34.58,-,57.03,-,69.16,-,44.93,-,97.14,-,96.98,-,97.39,-,2.86,-,3.02,-,2.61,-
1996M12,"21,471",0.79,"11,037",0.68,"10,434",0.90,"16,031",1.35,"8,001",1.13,"8,030",1.57,"9,428",1.68,"5,695",0.34,"3,733",3.81,"9,183",0.96,"5,535",-0.62,"3,648",3.46,245,38.99,160,50.34,85,21.68,74.66,-,72.49,-,76.96,-,43.91,-,51.60,-,35.78,-,58.81,-,71.18,-,46.49,-,42.77,-,50.15,-,34.96,-,57.28,-,69.18,-,45.43,-,97.40,-,97.19,-,97.72,-,2.60,-,2.81,-,2.28,-
