期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2002M02,"4,585",5.74,"24,935",38.74,509,65.26,"50,653",-3.81,"8,906",1.84,"15,849",12.84,"35,307",-20.22,459,216.55,"141,203",-0.88,"78,799",1.75,"82,037",-3.24,"-19,633",--
2002M03,"4,578",2.01,"23,941",25.19,435,4.57,"57,268",7.39,"9,074",8.89,"16,156",11.35,"33,832",-25.60,360,157.14,"145,644",-0.11,"80,694",3.32,"82,958",-1.68,"-18,008",--
2002M04,"5,412",18.48,"24,151",21.15,461,10.82,"59,074",11.63,"9,378",-3.50,"16,224",10.77,"35,031",-23.67,128,0.00,"149,859",1.10,"80,912",3.61,"82,442",-1.98,"-13,495",--
2002M05,"5,523",20.59,"25,182",20.00,803,97.78,"56,879",12.49,"10,365",-2.14,"16,232",10.81,"34,068",-23.61,130,-9.72,"149,182",1.82,"79,974",1.61,"82,880",2.08,"-13,672",--
2002M06,"5,494",18.81,"24,462",0.70,698,71.08,"57,504",16.83,"9,489",-10.23,"16,099",10.81,"31,390",-27.82,136,-4.90,"145,272",-1.36,"80,542",2.00,"83,241",2.19,"-18,511",--
2002M07,"5,570",17.02,"25,823",11.88,902,122.17,"60,010",20.48,"7,012",-33.49,"16,115",10.40,"31,271",-26.81,134,-4.96,"146,837",0.53,"81,158",2.85,"83,736",4.10,"-18,057",--
2002M08,"5,522",12.81,"24,469",7.64,"1,014",149.14,"61,354",20.94,"8,248",-23.35,"16,096",9.51,"30,049",-27.73,123,-14.58,"146,875",0.64,"80,914",2.99,"73,260",-9.31,"-7,299",--
2002M09,"5,473",11.38,"22,262",-8.63,"3,665",800.49,"50,868",3.78,"5,794",-40.75,"16,121",9.88,"30,854",-25.67,117,-13.97,"135,154",-6.66,"81,349",2.23,"72,758",-8.68,"-18,953",--
2002M10,"5,403",9.13,"22,778",-12.82,"1,621",303.23,"53,570",4.74,"7,067",-31.05,"16,880",15.03,"30,594",-24.23,118,-9.23,"138,031",-6.77,"81,216",2.24,"73,105",-7.80,"-16,290",--
2002M11,"5,338",6.97,"23,601",-16.17,831,107.75,"54,842",7.97,"7,447",-24.73,"16,845",14.65,"30,275",-21.52,120,-7.69,"139,299",-5.64,"81,502",3.03,"73,680",-6.68,"-15,883",--
2002M12,"5,269",12.25,"22,457",-17.51,598,67.51,"54,344",11.28,"10,433",10.75,"16,577",10.73,"31,848",-16.76,164,38.98,"141,690",-1.52,"81,542",3.11,"73,481",-9.25,"-13,333",--
2003M01,"5,240",10.32,"23,336",-8.05,647,-3.72,"54,497",9.94,"8,336",5.12,"18,200",16.01,"32,067",-15.62,140,-73.08,"142,463",-0.03,"82,370",3.97,"75,037",-7.86,"-14,944",--
2003M02,"5,170",12.76,"22,556",-9.54,733,44.01,"55,005",8.59,"9,085",2.01,"18,223",14.98,"31,965",-9.47,213,-53.59,"142,950",1.24,"82,392",4.56,"76,081",-7.26,"-15,523",--
2003M03,"5,177",13.08,"24,074",0.56,913,109.89,"56,731",-0.94,"7,473",-17.64,"18,491",14.45,"31,646",-6.46,223,-38.06,"144,728",-0.63,"84,305",4.47,"74,366",-10.36,"-13,943",--
2003M04,"5,163",-4.60,"24,414",1.09,932,102.17,"56,761",-3.92,"7,838",-16.42,"18,552",14.35,"31,046",-11.38,133,3.91,"144,839",-3.35,"84,336",4.23,"74,827",-9.24,"-14,324",--
2003M05,"5,153",-6.70,"24,313",-3.45,"1,046",30.26,"56,088",-1.39,"7,819",-24.56,"18,571",14.41,"30,599",-10.18,130,0.00,"143,719",-3.66,"84,239",5.33,"75,169",-9.30,"-15,689",--
2003M06,"5,371",-2.24,"24,646",0.75,998,42.98,"55,796",-2.97,"8,583",-9.55,"20,532",27.54,"30,553",-2.67,137,0.74,"146,616",0.93,"85,711",6.42,"74,956",-9.95,"-14,051",--
2003M07,"5,390",-3.23,"22,337",-13.50,"1,454",61.20,"57,915",-3.49,"9,468",35.03,"20,761",28.83,"29,675",-5.10,210,56.72,"147,210",0.25,"85,907",5.85,"75,998",-9.24,"-14,695",--
2003M08,"5,532",0.18,"21,936",-10.35,"1,105",8.97,"58,475",-4.69,"9,567",15.99,"21,009",30.52,"28,762",-4.28,130,5.69,"146,516",-0.24,"85,947",6.22,"76,423",4.32,"-15,854",--
2003M09,"5,546",1.33,"22,278",0.07,913,-75.09,"59,617",17.20,"9,806",69.24,"21,057",30.62,"29,078",-5.76,126,7.69,"148,421",9.82,"86,700",6.58,"76,839",5.61,"-15,118",--
2003M10,"5,797",7.29,"22,039",-3.24,"1,318",-18.69,"60,444",12.83,"10,570",49.57,"21,123",25.14,"29,591",-3.28,126,6.78,"151,008",9.40,"87,064",7.20,"77,765",6.37,"-13,821",--
