期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--未滿3個月_原始值,定期存款--未滿3個月_年增率(%),定期存款--未滿3個月_原始值,定期存款--未滿3個月_年增率(%),定期存款--滿3個月~未滿6個月_原始值,定期存款--滿3個月~未滿6個月_年增率(%),定期存款--滿3個月~未滿6個月_原始值,定期存款--滿3個月~未滿6個月_年增率(%),定期存款--滿6個月~未滿9個月_原始值,定期存款--滿6個月~未滿9個月_年增率(%),定期存款--滿6個月~未滿9個月_原始值,定期存款--滿6個月~未滿9個月_年增率(%),定期存款--滿9個月~未滿12個月_原始值,定期存款--滿9個月~未滿12個月_年增率(%),定期存款--滿9個月~未滿12個月_原始值,定期存款--滿9個月~未滿12個月_年增率(%),定期存款--1年期以上_原始值,定期存款--1年期以上_年增率(%),定期存款--1年期以上_原始值,定期存款--1年期以上_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲存存款--未滿2年_原始值,定期儲存存款--未滿2年_年增率(%),定期儲存存款--未滿2年_原始值,定期儲存存款--未滿2年_年增率(%),定期儲蓄存款--滿2年~未滿3年_原始值,定期儲蓄存款--滿2年~未滿3年_年增率(%),定期儲蓄存款--滿2年~未滿3年_原始值,定期儲蓄存款--滿2年~未滿3年_年增率(%),定期儲蓄存款--3年以上_原始值,定期儲蓄存款--3年以上_年增率(%),定期儲蓄存款--3年以上_原始值,定期儲蓄存款--3年以上_年增率(%)
2001M05,"1,584,950",-3.72,"3,258,606",-1.92,"122,798",-7.77,"244,090",-43.80,"331,393",-10.50,"454,874",-0.77,"700,511",6.73,"725,267",4.09,"73,131",-29.10,"123,058",-16.19,"357,117",-6.82,"1,711,316",7.90,"8,337,575",12.33,"5,966,512",9.09,"7,438,064",12.71,"5,081,761",8.77,"707,356",6.36,"604,088",10.01,"192,155",21.79,"280,662",13.12
2001M06,"1,544,667",-6.05,"3,235,634",-3.14,"120,804",-10.14,"246,708",-47.03,"320,206",-11.40,"437,515",-7.85,"676,932",5.10,"725,941",7.42,"71,964",-24.52,"120,224",-12.91,"354,761",-13.25,"1,705,245",7.50,"8,377,190",10.50,"6,002,800",8.95,"7,464,421",10.43,"5,117,567",8.64,"715,993",7.95,"603,536",9.81,"196,776",24.20,"281,697",13.03
2001M07,"1,491,846",-8.70,"3,201,542",-4.03,"119,382",-12.13,"243,083",-46.19,"313,875",-14.15,"426,511",-10.72,"639,322",-2.36,"718,521",5.74,"71,757",-18.93,"115,116",-9.83,"347,510",-10.71,"1,698,311",6.20,"8,423,759",10.75,"6,037,380",8.32,"7,487,050",10.39,"5,138,521",7.70,"734,116",10.52,"614,804",11.02,"202,593",27.04,"284,055",14.00
2001M08,"1,479,882",-9.58,"3,198,026",-4.59,"123,037",-8.87,"269,014",-30.15,"315,886",-12.66,"434,112",-14.13,"624,441",-5.64,"703,422",-2.79,"73,649",-13.14,"128,602",2.01,"342,869",-12.86,"1,662,876",3.18,"8,507,130",11.10,"6,101,948",8.69,"7,544,945",10.47,"5,180,997",7.92,"753,412",12.99,"634,868",12.46,"208,773",30.12,"286,083",14.88
2001M09,"1,482,424",-8.70,"3,205,165",-3.92,"125,539",-4.73,"296,796",-13.76,"321,127",-10.68,"457,736",-7.59,"622,161",-5.43,"684,688",-9.88,"77,124",-7.59,"137,840",9.60,"336,473",-13.96,"1,628,105",1.06,"8,576,079",11.30,"6,232,357",10.46,"7,586,908",10.33,"5,292,876",9.68,"771,740",15.66,"653,453",15.36,"217,431",34.23,"286,027",14.36
2001M10,"1,447,618",-9.85,"3,145,352",-4.71,"115,020",-12.64,"301,277",-9.92,"315,360",-11.01,"440,555",-12.24,"614,298",-5.51,"663,939",-11.95,"74,844",-6.83,"141,637",19.61,"328,096",-15.72,"1,597,945",0.38,"8,642,095",11.81,"6,264,400",10.98,"7,615,534",10.39,"5,354,633",10.88,"797,443",19.64,"671,055",19.16,"229,118",40.08,"238,711",-5.31
2001M11,"1,413,555",-11.49,"3,095,082",-6.94,"108,170",-20.44,"315,318",-10.38,"303,791",-13.99,"416,473",-19.06,"605,835",-6.25,"651,151",-14.65,"72,463",-5.12,"136,820",26.72,"323,296",-16.10,"1,575,322",-0.84,"8,774,040",13.28,"6,265,337",10.87,"7,707,802",11.47,"5,349,157",10.69,"823,780",23.78,"683,127",21.06,"242,458",46.79,"233,053",-8.38
2001M12,"1,374,883",-14.82,"3,023,960",-9.37,"101,954",-25.95,"319,300",-13.54,"289,723",-18.57,"392,685",-25.25,"593,718",-11.36,"650,025",-13.47,"69,244",-5.29,"121,167",28.13,"320,244",-15.21,"1,540,783",-3.47,"8,828,098",13.29,"6,252,363",10.20,"7,738,935",11.16,"5,322,157",9.70,"838,953",26.42,"695,333",23.22,"250,210",49.82,"234,874",-8.89
2002M01,"1,329,125",-18.81,"2,955,979",-10.90,"93,585",-28.21,"285,960",-10.96,"275,016",-23.90,"386,218",-27.32,"577,434",-18.10,"644,926",-15.05,"66,354",-3.17,"125,062",38.56,"316,736",-14.79,"1,513,812",-6.31,"8,805,637",10.79,"6,246,097",8.69,"7,699,289",8.35,"5,304,311",8.01,"850,218",27.56,"705,306",23.91,"256,130",45.92,"236,479",-11.17
2002M02,"1,312,900",-20.59,"2,904,364",-13.71,"91,961",-29.30,"278,016",-6.47,"270,725",-26.16,"397,169",-26.10,"570,905",-20.51,"646,707",-14.90,"68,035",-0.66,"132,998",30.80,"311,274",-15.83,"1,449,475",-13.18,"8,844,837",8.83,"6,275,451",7.35,"7,703,077",6.03,"5,312,431",6.54,"879,782",28.82,"724,729",23.51,"261,978",46.27,"238,290",-12.65
