期間,累計買賣超金額 (新臺幣億元)_投信,累計買賣超金額 (新臺幣億元)_自營商,累計買賣超金額 (新臺幣億元)_外資,交易金額比重(%)_投信,交易金額比重(%)_自營商,交易金額比重(%)_外資
2007,"1,554",158,741,2.7,2.9,19.6
2008,440,433,"-4,700",3.4,3.1,24.3
2009,-289,100,"4,801",2.7,2.3,16.4
2010,-678,27,"2,812",2.4,3.0,18.5
2011,94,-456,"-2,776",2.5,3.7,21.8
2012,-161,-22,"1,442",2.5,3.3,22.6
2013,-767,85,"2,430",2.1,4.6,24.6
