期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2010M01,"1,614,468",5.65,"688,664",-1.05,"3,947",-29.49,-,-,813,-55.74,"21,110",-0.79,"26,739",6.23,"722,299",14.26,-,-,"18,428",1.64,"132,468",3.58,"1,377,700",5.92,"7,650",24.55,"183,039",15.69,"420,863",16.31,"127,721",-3.55,"638,427",-0.58,"61,694",0.39,"1,172",70.60,-,-,"81,052",10.76,"92,850",0.94
2010M02,"1,617,039",4.51,"688,618",0.12,"2,071",-49.22,-,-,786,-37.82,"19,020",-10.22,"27,016",5.80,"735,804",11.39,-,-,"19,053",20.27,"124,671",-4.77,"1,383,603",4.99,"7,008",7.77,"183,479",11.80,"425,093",14.46,"128,574",-3.03,"639,449",-0.59,"58,070",-6.02,415,17.90,-,-,"82,034",9.33,"92,917",0.76
2010M03,"1,616,682",4.55,"688,633",0.60,"3,637",-7.97,-,-,852,-32.06,"15,945",-24.17,"26,920",5.30,"744,761",12.27,-,-,"16,324",3.35,"119,610",-8.59,"1,387,095",5.24,"6,221",12.58,"185,241",11.93,"427,009",14.13,"128,413",-2.09,"640,211",-0.24,"58,158",-1.24,229,-67.24,-,-,"78,046",2.37,"93,154",0.77
2010M04,"1,629,581",5.52,"689,771",0.65,"3,234",-4.23,-,-,867,-19.57,"16,542",-20.84,"26,876",5.64,"751,081",12.72,-,-,"16,913",2.24,"124,297",-0.83,"1,390,632",5.51,"6,284",10.85,"186,227",12.07,"429,966",14.47,"128,295",-1.38,"639,860",-0.09,"61,034",-0.12,361,-55.71,-,-,"83,828",17.09,"93,726",0.99
2010M05,"1,623,071",4.00,"692,262",0.91,"3,214",-9.72,-,-,650,-24.42,"14,781",-29.05,"26,931",5.72,"749,287",11.24,-,-,"16,725",4.48,"119,221",-11.24,"1,386,745",4.80,"6,470",3.67,"186,132",11.39,"426,369",11.96,"127,921",-1.18,"639,853",0.03,"60,593",-2.13,517,-40.02,-,-,"80,752",-0.81,"94,464",1.33
2010M06,"1,638,232",4.73,"696,734",1.39,"3,021",-5.27,-,-,787,-8.06,"19,771",-4.51,"27,733",8.71,"757,008",11.57,-,-,"16,354",7.32,"116,824",-12.15,"1,395,984",5.28,"6,362",8.40,"189,185",11.47,"432,795",12.98,"127,939",-0.08,"639,703",0.07,"67,653",3.77,641,24.71,-,-,"79,073",0.31,"94,881",1.25
2010M07,"1,653,343",5.33,"699,841",1.82,"2,533",-26.07,-,-,848,-1.51,"20,373",-1.15,"27,053",5.89,"766,474",11.04,-,-,"16,068",3.28,"120,153",-4.73,"1,408,416",5.26,"7,566",31.42,"191,296",11.06,"441,631",12.32,"128,315",1.17,"639,608",-0.07,"66,526",1.50,221,-19.64,-,-,"82,348",15.05,"95,832",1.70
2010M08,"1,649,917",4.98,"702,769",2.52,"2,614",-28.07,-,-,826,-4.62,"19,607",-4.65,"27,490",6.26,"763,721",10.01,-,-,"15,495",3.87,"117,395",-6.86,"1,409,251",5.23,"6,513",10.50,"193,028",11.46,"441,584",12.12,"128,820",1.24,"639,306",0.04,"64,122",-3.42,466,67.03,-,-,"79,420",12.42,"96,658",1.70
2010M09,"1,652,096",4.44,"704,044",2.43,"1,913",-49.30,-,-,786,-10.27,"20,008",-1.47,"27,694",6.80,"766,709",9.12,-,-,"16,262",5.24,"114,680",-8.64,"1,412,055",4.82,"6,511",8.57,"193,685",10.61,"443,719",11.04,"129,056",1.38,"639,084",0.00,"64,591",-3.35,672,151.69,-,-,"77,484",7.74,"97,294",1.68
2010M10,"1,662,003",4.21,"706,621",2.78,"1,860",-46.43,-,-,770,-13.68,"19,934",-3.05,"27,720",6.56,"769,734",9.21,-,-,"15,380",2.54,"119,984",-12.14,"1,416,804",4.57,"7,841",11.92,"193,756",10.07,"447,244",10.47,"128,707",0.82,"639,256",0.00,"63,797",-1.06,727,52.41,-,-,"82,672",4.10,"98,003",2.55
