期間,收受部門-其他貨幣機構_原始值,收受部門-其他貨幣機構_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%),存款部門-公營事業_原始值,存款部門-公營事業_年增率(%),存款部門-民營企業_原始值,存款部門-民營企業_年增率(%),存款部門-家庭及非營利團體_原始值,存款部門-家庭及非營利團體_年增率(%),存款部門-國外_原始值,存款部門-國外_年增率(%)
2003,"7,330,943",17.71,"36,513",48.01,"45,828",3.58,"211,250",37.82,"16,989",2.20,"1,203,550",8.23,"5,663,344",18.70,"153,469",44.65
2004,"8,198,778",11.84,"38,298",4.89,"66,224",44.51,"212,509",0.60,"14,251",-16.12,"1,379,075",14.58,"6,312,257",11.46,"176,164",14.79
2005,"8,737,912",6.58,"47,026",22.79,"60,181",-9.13,"230,034",8.25,"12,279",-13.84,"1,462,535",6.05,"6,729,495",6.61,"196,362",11.47
