期間,發行部門-其他金融機構_原始值,發行部門-其他金融機構_年增率(%),發行部門-公營事業_原始值,發行部門-公營事業_年增率(%),發行部門-民營企業_原始值,發行部門-民營企業_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2006,"162,995",2.02,"255,337",8.23,"733,116",-7.93,"340,879",10.26,"234,075",15.27,"454,323",-19.77,385,-24.35,"30,622",21.80,"75,996",-4.76,"15,169",89.90
2007,"155,638",-4.51,"291,040",13.98,"658,180",-10.22,"329,845",-3.24,"244,542",4.47,"393,772",-13.33,456,18.42,"27,467",-10.30,"72,921",-4.05,"35,856",136.38
2008,"190,090",22.14,"317,660",9.15,"631,264",-4.09,"374,275",13.47,"331,724",35.65,"304,302",-22.72,934,104.82,"34,981",27.36,"75,175",3.09,"17,623",-50.85
