期間,本國法人_原始值,本國法人_年增率(%),本國法人_原始值,本國法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%)
2003,"4,714.32",...,11.50,-,"3,856.24",...,9.40,-,"31,885.66",...,77.80,-,509.35,...,1.30,-
2004,"5,590.58",18.59,11.60,-,"5,258.97",36.38,10.90,-,"36,719.57",15.16,75.90,-,786.44,54.40,1.60,-
