期間,本國籍-合計_原始值,本國籍-合計_年增率(%),本國籍占總出生(%)_原始值,本國籍占總出生(%)_年增率(%),本國籍-男_原始值,本國籍-男_年增率(%),本國籍-女_原始值,本國籍-女_年增率(%),大陸港澳地區與外國籍-計_原始值,大陸港澳地區與外國籍-計_年增率(%),大陸港澳地區與外國籍-男_原始值,大陸港澳地區與外國籍-男_年增率(%),大陸港澳地區與外國籍-女_原始值,大陸港澳地區與外國籍-女_年增率(%),大陸港澳地區-計_原始值,大陸港澳地區-計_年增率(%),大陸港澳地區-男_原始值,大陸港澳地區-男_年增率(%),大陸港澳地區-女_原始值,大陸港澳地區-女_年增率(%),外國籍-計_原始值,外國籍-計_年增率(%),外國籍-男_原始值,外國籍-男_年增率(%),外國籍-女_原始值,外國籍-女_年增率(%)
2006,"180,556",0.68,88.31,-,"94,517",1.06,"86,039",0.26,"23,903",-9.83,"12,419",-10.34,"11,484",-9.27,"10,423",4.00,"5,479",4.98,"4,944",2.94,"13,480",-18.24,"6,940",-19.60,"6,540",-16.74
2007,"183,509",1.64,89.77,-,"95,896",1.46,"87,613",1.83,"20,905",-12.54,"11,002",-11.41,"9,903",-13.77,"10,117",-2.94,"5,328",-2.76,"4,789",-3.14,"10,788",-19.97,"5,674",-18.24,"5,114",-21.80
