期間,隔夜_加權平均,隔夜_最高,隔夜_最低,1週_加權平均,1週_最高,1週_最低,2週_加權平均,2週_最高,2週_最低,3週_加權平均,3週_最高,3週_最低,1個月_加權平均,1個月_最高,1個月_最低,2-6個月_加權平均,2-6個月_最高,2-6個月_最低,7個月-1年_加權平均,7個月-1年_最高,7個月-1年_最低,合計_加權平均,合計_最高,合計_最低
2001M05,4.037,4.200,3.900,-,5.500,3.900,-,5.500,3.875,-,4.500,3.975,-,5.500,3.850,-,4.650,4.000,-,4.650,4.000,-,5.500,3.850
2001M06,3.895,4.200,3.650,-,5.500,3.700,-,5.275,3.750,-,4.450,3.850,-,5.275,3.775,-,5.275,3.825,-,5.275,3.825,-,5.500,3.650
2001M07,3.686,5.500,3.600,-,5.500,3.600,-,5.275,3.600,-,4.200,3.675,-,5.275,3.650,-,5.275,3.650,-,5.275,3.650,-,5.500,3.600
2001M08,3.513,3.750,3.250,-,5.500,3.200,-,5.275,3.250,-,3.750,3.300,-,5.275,3.250,-,5.275,5.050,-,5.275,5.050,-,5.500,3.200
2001M09,3.173,3.600,2.725,-,5.275,2.900,-,5.275,2.900,-,3.450,2.900,-,5.275,2.900,-,5.275,5.050,-,5.275,5.050,-,5.275,2.725
2001M10,2.727,2.975,2.625,-,5.050,2.625,-,5.275,2.650,-,3.400,2.650,-,5.275,2.650,-,5.275,2.875,-,5.275,2.875,-,5.275,2.625
2001M11,2.486,2.700,2.400,-,5.050,2.375,-,5.275,2.400,-,5.050,2.400,-,5.275,2.400,-,5.275,2.400,-,5.275,2.400,-,5.275,2.375
2001M12,2.390,2.500,2.265,-,5.050,2.275,-,5.275,2.275,-,2.450,2.280,-,5.275,2.325,-,4.180,2.300,-,4.180,2.300,-,5.275,2.265
2002M01,2.299,2.400,2.200,-,5.050,2.230,-,5.275,2.250,-,5.050,2.265,-,5.275,2.275,-,3.250,2.320,-,3.250,2.320,-,5.275,2.200
2002M02,2.277,2.350,2.150,-,5.050,2.200,-,5.050,2.250,-,5.050,2.260,-,5.050,2.250,-,3.250,2.250,-,3.250,2.250,-,5.050,2.150
