期間,經常帳,經常帳--商品--出口f.o.b,經常帳--商品--進口f.o.b,經常帳--商品貿易淨額,經常帳--服務--收入,經常帳--服務--支出,經常帳--商品與服務收支淨額,經常帳--所得--收入,經常帳--所得--支出,經常帳--商品、服務與所得收支淨額,經常帳--經常移轉--收入,經常帳--經常移轉--支出,資本帳,資本帳--收入,資本帳--支出,合計--經常帳+資本帳,金融帳,金融帳--對外直接投資,金融帳--來台直接投資,金融帳--證券投資(資產),金融帳--證券投資(資產)--股權證券,金融帳--證券投資(資產)--債權證券,金融帳--證券投資(負債),金融帳--證券投資(負債)--股權證券,金融帳--證券投資(負債)--債權證券,金融帳--衍生性金融商品,金融帳--衍生性金融商品(資產),金融帳--衍生性金融商品(負債),其他投資(資產),其他投資(資產)--貨幣當局,其他投資(資產)--政府,其他投資(資產)--銀行,其他投資(資產)--其他部門,其他投資(負債),其他投資(負債)--貨幣當局,其他投資(負債)--政府,其他投資(負債)--銀行,其他投資(負債)--其他部門,合計--經常帳+資本帳+金融帳,誤差與遺漏淨額,合計--經常帳+資本帳+金融帳+誤差與遺漏淨額,準備與相關項目,準備與相關項目--準備資產,準備與相關項目--基金信用的使用及自基金之借款,準備與相關項目--特殊融資
1989Q2,"2,342","17,197","-13,210","3,987","1,708","-3,259","2,436","1,553","-1,066","2,923",389,-970,-9,...,-9,"2,333","-2,059","-2,202",543,-114,-103,-11,41,41,-,...,...,...,-670,...,-,622,"-1,292",343,...,-3,-175,521,274,-306,-32,32,32,-,-
1989Q3,"3,426","17,601","-12,740","4,861","1,859","-3,851","2,869","1,781",-669,"3,981",450,"-1,005",-10,...,-10,"3,416","-4,591","-1,504",380,-142,-67,-75,-24,-20,-4,...,...,...,"-3,967",...,-,"-2,592","-1,375",666,...,-8,592,82,"-1,175",-287,"-1,462","1,462","1,462",-,-
1989Q4,"2,919","16,570","-12,602","3,968","2,015","-3,708","2,275","1,881",-621,"3,535",421,"-1,037",-7,...,-7,"2,912","-5,156","-1,516",434,-483,-116,-367,61,-39,100,...,...,...,"-2,310",...,-,-702,"-1,608","-1,342",...,-13,"-2,224",895,"-2,244",428,"-1,816","1,816","1,816",-,-
1990Q1,"1,686","15,305","-12,862","2,443","1,615","-3,347",711,"1,677",-468,"1,920",389,-623,-13,...,-13,"1,673","-4,524","-1,821",82,-651,-117,-534,-57,-57,-,...,...,...,"-2,465",...,-,196,"-2,661",388,...,-8,-600,996,"-2,851",16,"-2,835","2,835","2,835",-,-
1990Q2,"2,283","16,668","-13,250","3,418","1,662","-3,573","1,507","1,813",-817,"2,503",390,-610,-39,...,-39,"2,244","-9,468","-2,359",394,-268,-176,-92,-56,-56,-,...,...,...,"-6,023",...,-2,"-2,062","-3,959","-1,156",...,-12,"-2,483","1,339","-7,224",340,"-6,884","6,884","6,884",-,-
1990Q3,"3,652","17,659","-12,689","4,970","1,755","-3,814","2,911","1,619",-650,"3,880",403,-631,-26,...,-26,"3,626","-1,367",-632,357,32,-154,186,44,48,-4,...,...,...,"-4,671",...,-,"-2,270","-2,401","3,503",...,-12,"2,268","1,247","2,259",262,"2,521","-2,521","-2,521",-,-
1990Q4,"3,302","17,812","-13,836","3,976","1,976","-3,924","2,028","1,808",-620,"3,216",462,-376,-78,...,-78,"3,224",209,-431,497,-50,-110,60,-,-,-,...,...,...,"-2,405",...,-,"-1,099","-1,306","2,598",...,36,"1,832",730,"3,433",-153,"3,280","-3,280","-3,280",-,-
1991Q1,"2,340","16,897","-14,329","2,568","1,896","-3,606",858,"1,898",-507,"2,249",440,-349,-78,...,-78,"2,262","1,698",-440,278,-167,-114,-53,27,27,-,...,...,...,"1,445",...,-,"2,255",-810,555,...,-8,49,514,"3,960",-57,"3,903","-3,903","-3,903",-,-
1991Q2,"3,109","19,388","-15,090","4,298","2,129","-4,269","2,158","1,700",-759,"3,099",438,-428,-104,...,-104,"3,005","-3,263",-537,326,-174,-106,-68,206,111,95,...,...,...,"-2,003",...,-29,-514,"-1,460","-1,081",...,-12,-863,-206,-258,77,-181,181,181,-,-
1991Q3,"2,727","20,336","-16,330","4,006","2,203","-4,767","1,442","1,835",-590,"2,687",446,-406,-128,...,-128,"2,599",-477,-536,390,-169,-114,-55,314,250,64,...,...,...,"-1,495",...,-,-125,"-1,370","1,019",...,-7,880,146,"2,122",247,"2,369","-2,369","-2,369",-,-
1991Q4,"4,292","19,960","-15,149","4,811","2,244","-4,261","2,794","1,996",-518,"4,272",478,-458,-133,...,-133,"4,159",-186,-542,277,-231,-179,-52,239,160,79,...,...,...,"-2,562",...,-1,-721,"-1,840","2,633",...,-12,"1,771",874,"3,973",-405,"3,568","-3,568","-3,568",-,-
1992Q1,"2,479","19,206","-15,947","3,259","2,286","-4,385","1,160","1,705",-443,"2,422",496,-439,-90,...,-90,"2,389",-50,-244,76,-171,-118,-53,191,191,-,-2,-,-2,-279,...,-15,"1,021","-1,285",379,...,-8,69,318,"2,339",184,"2,523","-2,523","-2,523",-,-
